,scana_male,scana_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.19913366,-0.31183,"('unsociable', 'sociable')",-0.19178383,-0.4318011,-0.1954587,-0.3718156,-0.1763569
1,-1.8767682,-2.0649803,"('unfriendly', 'friendly')",0.7765735,0.7014124,-0.5500973,-0.6817839,-0.1316866
2,0.21233128,0.12511638,"('unlikable', 'likable')",0.84171665,0.8376472,0.527024,0.4813818,-0.0456422
3,0.596399,0.7785712,"('repellent', 'pleasant')",0.9865848,0.8913919,0.7914919,0.8349816,0.0434897
4,-0.71509725,-0.7277628,"('disliked', 'liked')",-6.1731644,-6.0652566,-3.4441309,-3.3965096,0.0476213
5,-2.4734566,-2.5218995,"('distant', 'outgoing')",-1.0969895,-0.7888586,-1.785223,-1.6553791,0.1298439
6,-2.377004,-2.4259777,"('distant', 'open')",-1.2569027,-0.9849614,-1.8169533,-1.7054696,0.1114837
7,0.107202396,0.35929772,"('insensitive', 'sensitive')",-0.08505963,-0.08711179,0.0110714,0.136093,0.1250216
8,-1.1129591,-1.3685162,"('unaffectionate', 'affectionate')",0.27648267,0.19079308,-0.4182382,-0.5888616,-0.1706234
9,-1.5827732,-1.7392373,"('unaffectionate', 'caring')",0.5368819,0.57292056,-0.5229456,-0.5831584,-0.0602128
10,-0.12924592,0.031731546,"('unsympathetic', 'sympathetic')",-0.42638594,-0.5504728,-0.2778159,-0.2593706,0.0184453
11,0.089214,0.12099801,"('unhelpful', 'helpful')",2.0617251,2.0341268,1.0754696,1.0775623,0.0020927
12,-0.6050522,-0.42277268,"('unsupportive', 'supportive')",-2.1969771,-2.1501083,-1.4010147,-1.2864405,0.1145742
13,0.2803306,0.18792284,"('impolite', 'polite')",-0.6162406,-0.68784267,-0.167955,-0.2499599,-0.0820049
14,1.3490224,1.443943,"('antisocial', 'social')",0.38208443,0.09237704,0.8655534,0.76816,-0.0973934
15,-0.50847995,-0.74437416,"('boring', 'funny')",-0.039157208,-0.054825645,-0.2738186,-0.3995999,-0.1257813
16,-0.79287374,-0.8911073,"('unpopular', 'popular')",0.44420403,0.41655523,-0.1743349,-0.237276,-0.0629411
17,-0.11951192,-0.07561637,"('nasty', 'nice')",-0.44789246,-0.39729372,-0.2837022,-0.236455,0.0472472
18,-0.4494387,-0.4545012,"('disagreeable', 'welcoming')",-0.6807457,-0.7116914,-0.5650922,-0.5830963,-0.0180041
19,-1.8619919,-1.9413759,"('inhospitable', 'hospitable')",-0.8980629,-0.67122394,-1.3800274,-1.3062999,0.0737275
20,0.8091262,0.8230819,"('rough', 'thoughtful')",0.83009684,0.68859845,0.8196115,0.7558402,-0.0637713
