,mondelez_male,mondelez_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.1650977,-1.1859162,"('unsociable', 'sociable')",0.19427636,0.047335863,-0.57371783,-0.6782938,-0.5148464,-0.6056247,-0.0907783
1,0.33926588,0.34286723,"('unfriendly', 'friendly')",-0.4535291,-0.5698823,1.675992,1.4404372,0.5205763,0.4044741,-0.1161022
2,0.22990341,0.2654492,"('unlikable', 'likable')",1.1693872,1.2198377,0.6497449,0.7860409,0.6830118,0.7571092,0.0740974
3,-1.7300204,-1.6331911,"('repellent', 'pleasant')",-0.34965134,-0.3190474,-0.1677355,-0.046573143,-0.7491358,-0.6662706,0.0828652
4,0.9279679,0.94995344,"('disliked', 'liked')",0.16507332,0.18157971,-6.250927,-6.267243,-1.7192952,-1.7119033,0.0073919
5,1.7052404,1.6834949,"('distant', 'outgoing')",0.00042086095,0.03622371,0.26424164,0.1879367,0.6566343,0.6358851,-0.0207492
6,1.4822706,1.4796209,"('distant', 'open')",-0.028127104,-0.034226876,0.6749092,0.565175,0.7096842,0.6701897,-0.0394945
7,-1.2941809,-1.1975294,"('insensitive', 'sensitive')",-1.1419412,-1.1174738,-0.030468825,0.01860205,-0.822197,-0.7654671,0.0567299
8,0.11468777,0.054936618,"('unaffectionate', 'affectionate')",-0.6298798,-0.7646214,0.44144925,0.29370317,-0.0245809,-0.1386605,-0.1140796
9,-0.084387474,-0.09807699,"('unaffectionate', 'caring')",-0.17299402,-0.23556153,0.93865174,0.8826586,0.2270901,0.1830067,-0.0440834
10,-2.6538792,-2.6032145,"('unsympathetic', 'sympathetic')",-1.2951912,-1.3084813,-0.92299163,-0.9438832,-1.6240207,-1.6185265,0.0054942
11,-2.0247493,-1.9683466,"('unhelpful', 'helpful')",-0.27236626,-0.24632974,1.3132879,1.3654006,-0.3279426,-0.2830919,0.0448507
12,-0.5660134,-0.45230126,"('unsupportive', 'supportive')",-0.22015461,-0.08753728,-2.1491308,-2.1043663,-0.978433,-0.8814016,0.0970314
13,-0.43831822,-0.46404997,"('impolite', 'polite')",0.9256224,0.8494194,-0.30599493,-0.23105316,0.0604364,0.0514388,-0.0089976
14,-2.154977,-2.078905,"('antisocial', 'social')",0.14282471,0.1736031,-1.0486676,-0.94910777,-1.0202734,-0.9514699,0.0688035
15,0.39555228,0.31334248,"('boring', 'funny')",-0.30857965,-0.37471664,0.5854778,0.5622776,0.2241501,0.1669678,-0.0571823
16,1.6010659,1.618093,"('unpopular', 'popular')",0.89893,0.8665354,1.185148,1.1485754,1.2283813,1.211068,-0.0173133
17,-0.11226561,-0.06440164,"('nasty', 'nice')",-0.97679985,-0.95961386,-0.5091947,-0.45201063,-0.5327534,-0.4920087,0.0407447
18,0.21894991,0.2133975,"('disagreeable', 'welcoming')",0.5897869,0.6151518,-0.49983847,-0.5606601,0.1029661,0.0892964,-0.0136697
19,0.7488952,0.69822735,"('inhospitable', 'hospitable')",-0.52392274,-0.62762827,0.024356894,-0.02359229,0.0831098,0.0156689,-0.0674409
20,0.29288796,0.31546235,"('rough', 'thoughtful')",0.4644876,0.41279852,0.8454247,0.7718998,0.5342668,0.5000536,-0.0342132
21,-1.8052248,-1.7740939,"('immoral', 'moral')",-0.43260738,-0.44724688,-0.99721247,-0.9380152,-1.0783482,-1.0531186,0.0252296
22,-1.2600188,-1.2431183,"('untrustworthy', 'trustworthy')",-1.1161475,-1.1023717,-1.5953882,-1.5715804,-1.3238515,-1.3056901,0.0181614
23,-1.5469221,-1.5373416,"('insincere', 'sincere')",-0.81767404,-0.8472509,5.1670275,5.0806837,0.9341438,0.8986971,-0.0354467
24,-1.2905196,-1.3032389,"('dishonest', 'honest')",-1.0718814,-1.0809357,0.5200774,0.46849328,-0.6141078,-0.6385605,-0.0244527
25,1.012336,0.9931853,"('egoistic', 'altruistic')",0.4710939,0.4510829,1.4459945,1.393063,0.9764748,0.9457771,-0.0306977
26,0.06528374,0.033652764,"('hardhearted', 'benevolent')",0.29941708,0.30521044,1.372253,1.2563975,0.5789846,0.5317535,-0.0472311
27,-0.093998134,-0.09631813,"('hardhearted', 'softhearted')",-0.67017734,-0.7504469,1.087322,0.96360075,0.1077155,0.0389452,-0.0687703
