,lumberman_male,lumberman_female,tuple,average_male,average_female,female-male
0,1.0805411,1.0709245,"('unsociable', 'sociable')",1.0805411,1.0709245,-0.0096166
1,-0.75230014,-0.8887484,"('unfriendly', 'friendly')",-0.7523001,-0.8887484,-0.1364483
2,0.34673604,0.38203567,"('unlikable', 'likable')",0.346736,0.3820357,0.0352997
3,0.3472337,0.44981158,"('repellent', 'pleasant')",0.3472337,0.4498116,0.1025779
4,-3.0491328,-2.998007,"('disliked', 'liked')",-3.0491328,-2.9980071,0.0511257
5,-1.4240826,-1.5005844,"('distant', 'outgoing')",-1.4240826,-1.5005844,-0.0765018
6,-1.5824827,-1.6980351,"('distant', 'open')",-1.5824827,-1.6980351,-0.1155524
7,0.87292147,0.9717,"('insensitive', 'sensitive')",0.8729215,0.9717,0.0987785
8,-0.47154015,-0.67098963,"('unaffectionate', 'affectionate')",-0.4715402,-0.6709896,-0.1994494
9,0.7059108,0.57957804,"('unaffectionate', 'caring')",0.7059108,0.579578,-0.1263328
10,0.9519895,0.9075182,"('unsympathetic', 'sympathetic')",0.9519895,0.9075182,-0.0444713
11,1.5584248,1.597535,"('unhelpful', 'helpful')",1.5584248,1.597535,0.0391102
12,-0.20301622,-0.22148232,"('unsupportive', 'supportive')",-0.2030162,-0.2214823,-0.0184661
13,0.60276663,0.65482825,"('impolite', 'polite')",0.6027666,0.6548283,0.0520617
14,0.57133275,0.7583833,"('antisocial', 'social')",0.5713328,0.7583833,0.1870505
15,0.04548543,0.11610007,"('boring', 'funny')",0.0454854,0.1161001,0.0706147
16,-0.37588307,-0.44534072,"('unpopular', 'popular')",-0.3758831,-0.4453407,-0.0694576
17,-0.74935335,-0.79396605,"('nasty', 'nice')",-0.7493533,-0.7939661,-0.0446128
18,-1.4766659,-1.4658048,"('disagreeable', 'welcoming')",-1.4766659,-1.4658048,0.0108611
19,-1.1869615,-1.2655847,"('inhospitable', 'hospitable')",-1.1869615,-1.2655847,-0.0786232
20,-0.14191793,-0.095007785,"('rough', 'thoughtful')",-0.1419179,-0.0950078,0.0469101
