,nicor_male,nicor_female,tuple,inc_male,inc_female,average_male,average_female,female-male
52,-0.61162263,-0.6281068,"('irrational', 'rational')",-0.2409388,-0.29415542,-0.4262807,-0.4611311,-0.0348504
53,-1.2217646,-1.2072113,"('uncreative', 'creative')",0.46614155,0.39363638,-0.3778115,-0.4067875,-0.028976
54,-0.061507367,-0.04984223,"('incapable', 'capable')",0.890281,0.94705737,0.4143868,0.4486076,0.0342208
55,1.220362,1.0427938,"('incompetent', 'clever')",0.5148175,0.35511446,0.8675897,0.6989541,-0.1686356
56,1.9095956,1.6696665,"('impractical', 'practical')",0.62755215,0.5054586,1.2685739,1.0875626,-0.1810113
57,-0.30309823,-0.4664617,"('unimaginative', 'imaginative')",-2.0582104,-2.2184606,-1.1806543,-1.3424611,-0.1618068
58,0.4307356,0.35249773,"('undiscriminating', 'discriminating')",0.22847596,0.07500846,0.3296058,0.2137531,-0.1158527
59,0.12990916,0.26787144,"('foolish', 'wise')",0.13517904,0.22559112,0.1325441,0.2467313,0.1141872
60,1.4835707,1.3553597,"('inefficient', 'efficient')",0.7977032,0.7787007,1.1406369,1.0670302,-0.0736067
61,0.013889691,-0.1391405,"('illogical', 'logical')",0.29860592,0.09341783,0.1562478,-0.0228613,-0.1791091
62,1.8880975,1.9625797,"('incompetent', 'brilliant')",1.034589,1.2022595,1.4613433,1.5824196,0.1210763
63,0.4530084,0.47123006,"('unperceptive', 'insightful')",1.3241981,1.3540094,0.8886033,0.9126197,0.0240164
64,-0.15522599,-0.25133356,"('shy', 'confident')",-5.7901444,-5.7014766,-2.9726853,-2.9764051,-0.0037198
65,0.58382756,0.38291574,"('insecure', 'secure')",-0.16473073,-0.28766158,0.2095484,0.0476271,-0.1619213
66,-0.9220531,-0.92491674,"('inactive', 'active')",0.49051005,0.49406078,-0.2157715,-0.215428,0.0003435
67,0.6385265,0.5373829,"('doubtful', 'determined')",-0.10792144,-0.18715315,0.2653025,0.1751149,-0.0901876
68,-0.32106173,-0.30918443,"('dependent', 'independent')",-0.31266865,-0.35832757,-0.3168652,-0.333756,-0.0168908
69,-0.5638996,-0.48860168,"('lazy', 'industrious')",-0.49496636,-0.39429164,-0.529433,-0.4414467,0.0879863
70,1.145128,1.0966151,"('lethargic', 'energetic')",0.99536574,0.9665454,1.0702469,1.0315802,-0.0386667
71,-0.9116541,-0.8267855,"('diffident', 'self-confident')",0.16409922,0.17196661,-0.3737774,-0.3274094,0.046368
72,-0.3147633,-0.27664158,"('unambitious', 'ambitious')",-0.90734047,-0.8615264,-0.6110519,-0.569084,0.0419679
73,0.60731477,0.64027977,"('helpless', 'self-reliant')",-2.7678006,-2.643679,-1.0802429,-1.0016996,0.0785433
74,0.8258495,0.69092196,"('undedicated', 'dedicated')",0.12573871,-0.0554654,0.4757941,0.3177283,-0.1580658
75,-0.36045116,-0.20777977,"('meek', 'impulsive')",-0.5004907,-0.3633717,-0.4304709,-0.2855757,0.1448952
76,0.9415446,0.89177936,"('anxious', 'daring')",0.621061,0.64263374,0.7813028,0.7672065,-0.0140963
77,-0.10424999,-0.12695658,"('unmotivated', 'motivated')",-0.6231428,-0.5772337,-0.3636964,-0.3520951,0.0116013
78,-0.27586895,-0.18034464,"('nonresilient', 'resilient')",0.47301888,0.5762397,0.098575,0.1979475,0.0993725
79,-1.4459634,-1.4310118,"('wavering', 'unwavering')",-0.20266916,-0.1793375,-0.8243163,-0.8051746,0.0191417
80,0.96753585,0.9025919,"('dominated', 'dominating')",-0.94294834,-0.91820806,0.0122938,-0.0078081,-0.0201019
81,2.151727,1.9469293,"('submissive', 'aggressive')",0.20599747,0.20459025,1.1788622,1.0757598,-0.1031024
82,0.5611627,0.48301968,"('poor', 'rich')",5.5756564,5.52747,3.0684094,3.005245,-0.0631644
83,-0.3558601,-0.48190212,"('powerless', 'powerful')",-0.6959814,-0.8225859,-0.5259207,-0.652244,-0.1263233
84,0.43914565,0.42578205,"('inferior', 'superior')",0.98765916,1.0261675,0.7134024,0.7259748,0.0125724
85,-1.0159564,-0.9224758,"('insignificant', 'prestigious')",0.24441046,0.2355349,-0.385773,-0.3434705,0.0423025
86,-0.24076489,-0.5082436,"('uninfluential', 'influential')",0.17961705,-0.07897373,-0.0305739,-0.2936087,-0.2630348
87,0.76024747,0.68371767,"('unsuccessful', 'successful')",1.099029,1.0850881,0.9296382,0.8844029,-0.0452353
88,-0.5606255,-0.7237773,"('low', 'eminent')",0.4770522,0.32278606,-0.0417866,-0.2004956,-0.158709
