,american_male,american_female,tuple,international_male,international_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.99261606,-1.0551287,"('unsociable', 'sociable')",-1.2386796,-1.3724178,0.29495013,0.2101448,-0.64464456,-0.7754724,-0.6452475,-0.7482185,-0.102971
1,-0.7478959,-0.76711035,"('unfriendly', 'friendly')",0.16024941,0.010532774,-0.31526592,-0.401946,1.7048892,1.5684493,0.2004942,0.1024814,-0.0980128
2,0.49256685,0.5553837,"('unlikable', 'likable')",1.4303018,1.5444661,1.9027067,1.948917,0.8413575,0.9533228,1.1667333,1.2505224,0.0837891
3,-0.86797196,-0.67638606,"('repellent', 'pleasant')",-1.0437223,-0.96603507,0.6792855,0.75319105,0.15303288,0.23759565,-0.269844,-0.1629086,0.1069354
4,-0.20986825,-0.23110868,"('disliked', 'liked')",0.18625376,0.12749735,-0.54028535,-0.69131327,-5.9904637,-6.011559,-1.6385909,-1.7016209,-0.06303
5,-0.2386797,-0.29397443,"('distant', 'outgoing')",0.53238386,0.5244637,-1.1366979,-1.1829481,0.05993492,0.034547023,-0.1957647,-0.229478,-0.0337133
6,-0.0634916,-0.067248255,"('distant', 'open')",0.51178116,0.5017309,-1.4168717,-1.4846014,0.6683399,0.6283953,-0.0750605,-0.1054308,-0.0303703
7,0.15578254,0.20679426,"('insensitive', 'sensitive')",-0.60310644,-0.5936445,-0.01183653,0.13070083,0.79564697,0.7540556,0.0841216,0.1244766,0.040355
8,-0.64779097,-0.6447348,"('unaffectionate', 'affectionate')",0.10615447,0.020386055,-0.69248575,-0.74531513,0.5199456,0.41044593,-0.1785442,-0.2398045,-0.0612603
9,0.016303498,0.032252163,"('unaffectionate', 'caring')",0.049701955,-0.024826508,-0.29501018,-0.33927783,1.1182822,1.0344244,0.2223194,0.1756431,-0.0466763
10,-0.17969534,-0.10333595,"('unsympathetic', 'sympathetic')",-1.7959329,-1.784746,-0.6119397,-0.4743203,-0.33430207,-0.4025903,-0.7304676,-0.6912482,0.0392194
11,-0.08436798,-0.06428148,"('unhelpful', 'helpful')",-0.35851982,-0.3527432,-0.4731509,-0.40724653,1.5988876,1.565606,0.1707122,0.1853337,0.0146215
12,0.68424284,0.78586596,"('unsupportive', 'supportive')",0.15910742,0.24052064,0.84800774,0.99523616,-1.5879835,-1.5997608,0.0258437,0.1054655,0.0796218
13,-0.23522319,-0.261419,"('impolite', 'polite')",0.08673674,0.106393665,0.2708312,0.3144289,-0.29367587,-0.2896531,-0.0428328,-0.0325624,0.0102704
14,-0.35886547,-0.34180042,"('antisocial', 'social')",0.5026639,0.5026984,1.8414015,1.9398466,-0.5288154,-0.5419347,0.3640961,0.3897025,0.0256064
15,0.052756242,-0.02995094,"('boring', 'funny')",0.50133044,0.49618825,-0.9359491,-1.0032363,0.5398741,0.5053435,0.0395029,-0.0079139,-0.0474168
16,-1.2073134,-1.1772878,"('unpopular', 'popular')",0.28982493,0.17220114,-0.2555348,-0.25314748,0.6520617,0.6608545,-0.1302404,-0.1493449,-0.0191045
17,-0.2362675,-0.12182013,"('nasty', 'nice')",-0.73919785,-0.6352028,-1.0313907,-0.96316653,-0.27461994,-0.2529494,-0.570369,-0.4932847,0.0770843
18,0.74521273,0.85040104,"('disagreeable', 'welcoming')",1.0342673,1.0785381,-0.36768496,-0.32855356,-0.45126244,-0.5199673,0.2401331,0.2701046,0.0299715
19,0.1519267,0.21344677,"('inhospitable', 'hospitable')",-0.61254877,-0.56938714,-1.6489543,-1.7168059,-0.17782545,-0.13317427,-0.5718504,-0.5514801,0.0203703
20,0.121739216,0.2243352,"('rough', 'thoughtful')",0.5151963,0.57156956,1.1360735,1.2882369,1.0727044,1.1044861,0.7114284,0.7971569,0.0857285
21,-0.09907406,-0.09672306,"('immoral', 'moral')",-0.40455365,-0.39835864,0.2730046,0.36627787,-0.951568,-0.8975322,-0.2955478,-0.256584,0.0389638
