,thermometer_male,thermometer_female,tuple,average_male,average_female,female-male
0,-0.01455622,-0.1329687,"('unsociable', 'sociable')",-0.0145562,-0.1329687,-0.1184125
1,-0.30045345,-0.5634327,"('unfriendly', 'friendly')",-0.3004535,-0.5634327,-0.2629792
2,0.340319,0.3396167,"('unlikable', 'likable')",0.340319,0.3396167,-0.0007023
3,-1.216724,-1.0631195,"('repellent', 'pleasant')",-1.216724,-1.0631195,0.1536045
4,-1.6437175,-1.6417634,"('disliked', 'liked')",-1.6437175,-1.6417634,0.0019541
5,-0.99039376,-1.1856133,"('distant', 'outgoing')",-0.9903938,-1.1856133,-0.1952195
6,-1.0384371,-1.2036554,"('distant', 'open')",-1.0384371,-1.2036554,-0.1652183
7,-0.3879066,-0.29776156,"('insensitive', 'sensitive')",-0.3879066,-0.2977616,0.090145
8,-0.639474,-0.97196364,"('unaffectionate', 'affectionate')",-0.639474,-0.9719636,-0.3324896
9,-0.46828896,-0.69649106,"('unaffectionate', 'caring')",-0.468289,-0.6964911,-0.2282021
10,-1.0031106,-1.047047,"('unsympathetic', 'sympathetic')",-1.0031106,-1.047047,-0.0439364
11,0.2997486,0.27130902,"('unhelpful', 'helpful')",0.2997486,0.271309,-0.0284396
12,-0.9259846,-0.9076314,"('unsupportive', 'supportive')",-0.9259846,-0.9076314,0.0183532
13,0.40665907,0.41443282,"('impolite', 'polite')",0.4066591,0.4144328,0.0077737
14,-0.18764919,-0.0820421,"('antisocial', 'social')",-0.1876492,-0.0820421,0.1056071
15,0.8254102,0.5300605,"('boring', 'funny')",0.8254102,0.5300605,-0.2953497
16,0.04349768,-0.047920227,"('unpopular', 'popular')",0.0434977,-0.0479202,-0.0914179
17,-0.27368337,-0.2398188,"('nasty', 'nice')",-0.2736834,-0.2398188,0.0338646
18,-0.6374606,-0.5496565,"('disagreeable', 'welcoming')",-0.6374606,-0.5496565,0.0878041
19,-2.65523,-2.686457,"('inhospitable', 'hospitable')",-2.65523,-2.6864569,-0.0312269
20,-0.011634467,0.10893917,"('rough', 'thoughtful')",-0.0116345,0.1089392,0.1205737
21,-0.28874353,-0.12307368,"('immoral', 'moral')",-0.2887435,-0.1230737,0.1656698
22,-0.2823152,-0.2338926,"('untrustworthy', 'trustworthy')",-0.2823152,-0.2338926,0.0484226
23,0.95163983,0.94236034,"('insincere', 'sincere')",0.9516398,0.9423603,-0.0092795
24,-0.20643619,-0.21032026,"('dishonest', 'honest')",-0.2064362,-0.2103203,-0.0038841
25,0.257598,0.3541795,"('egoistic', 'altruistic')",0.257598,0.3541795,0.0965815
26,1.0577646,0.54198897,"('hardhearted', 'benevolent')",1.0577646,0.541989,-0.5157756
27,0.06639907,0.008203463,"('hardhearted', 'softhearted')",0.0663991,0.0082035,-0.0581956
