,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.753103,-1.8456717,"('unsociable', 'sociable')",0.4748411,0.40487042,-0.16786413,-0.32031965,-0.482042,-0.5870403,-0.1049983
1,-2.8950906,-2.9133685,"('unfriendly', 'friendly')",0.592991,0.52703005,1.2864572,1.1790044,-0.3385475,-0.4024447,-0.0638972
2,0.4803624,0.50344104,"('unlikable', 'likable')",1.103859,1.1378062,0.9451618,0.9638938,0.8431277,0.8683804,0.0252527
3,-0.5865926,-0.4308523,"('repellent', 'pleasant')",-1.3489243,-1.1479437,0.4899815,0.5309162,-0.4818451,-0.3492933,0.1325518
4,-0.13122113,-0.07201572,"('disliked', 'liked')",0.41780478,0.43362206,-6.7210445,-6.8411427,-2.1448202,-2.1598454,-0.0150252
5,-0.82665724,-0.79223657,"('distant', 'outgoing')",0.75610614,0.7741237,-0.53383267,-0.54035896,-0.2014613,-0.1861573,0.015304
6,-0.72382194,-0.63439155,"('distant', 'open')",0.51846474,0.56639135,-0.391037,-0.42044732,-0.1987981,-0.1628158,0.0359823
7,-0.27065584,-0.23760548,"('insensitive', 'sensitive')",0.045090392,0.09606097,0.29758316,0.30852887,0.0240059,0.0556614,0.0316555
8,-1.3989952,-1.4690393,"('unaffectionate', 'affectionate')",0.17830446,0.10386035,0.40856034,0.37451464,-0.2707101,-0.3302214,-0.0595113
9,-1.1802462,-1.2359233,"('unaffectionate', 'caring')",1.2446196,1.2097754,1.0266534,1.0324179,0.3636756,0.3354234,-0.0282522
10,-1.001793,-0.98642665,"('unsympathetic', 'sympathetic')",-0.5959252,-0.48943293,-0.5697256,-0.57279736,-0.7224813,-0.6828856,0.0395957
11,-0.37137666,-0.38847217,"('unhelpful', 'helpful')",0.2985338,0.3085217,1.5094546,1.585353,0.4788706,0.5018009,0.0229303
12,0.16467522,0.2739212,"('unsupportive', 'supportive')",2.164035,2.3179102,-1.8158888,-1.8075771,0.1709405,0.2614181,0.0904776
13,-0.32487062,-0.40846962,"('impolite', 'polite')",0.32607198,0.33160555,-0.5259468,-0.5476819,-0.1749152,-0.208182,-0.0332668
14,0.06689162,0.049330268,"('antisocial', 'social')",0.30833796,0.34140843,-0.001065285,-0.109999254,0.1247214,0.0935798,-0.0311416
15,0.012259286,-0.1187501,"('boring', 'funny')",0.7085513,0.56335247,-0.17795292,-0.17833474,0.1809525,0.0887559,-0.0921966
16,-0.93508756,-0.9455034,"('unpopular', 'popular')",-0.1338073,-0.08372058,0.03812827,0.00047065318,-0.3435889,-0.3429178,0.0006711
17,-0.5030046,-0.44238296,"('nasty', 'nice')",-0.5525865,-0.45046848,-0.5046109,-0.4404332,-0.5200673,-0.4444282,0.0756391
18,-0.35549778,-0.3733585,"('disagreeable', 'welcoming')",0.38615328,0.42353877,-0.38844764,-0.4815046,-0.119264,-0.1437748,-0.0245108
19,-0.95041925,-0.8926167,"('inhospitable', 'hospitable')",0.90995216,0.9172627,-0.48468474,-0.38770196,-0.1750506,-0.1210187,0.0540319
20,-0.07259649,-0.03597254,"('rough', 'thoughtful')",-0.09202929,-0.042914584,0.6605287,0.64565563,0.165301,0.1889228,0.0236218
21,0.30853122,0.30741233,"('immoral', 'moral')",0.72953296,0.7502365,-0.5186986,-0.48648304,0.1731219,0.1903886,0.0172667
22,-0.2262859,-0.17086613,"('untrustworthy', 'trustworthy')",-0.13411458,-0.13420467,-0.88957864,-0.96818006,-0.4166597,-0.4244169,-0.0077572
23,-1.0137516,-1.0655702,"('insincere', 'sincere')",0.65633154,0.6808939,5.5907936,5.5783153,1.7444579,1.7312129,-0.013245
24,-0.9830466,-1.0172377,"('dishonest', 'honest')",0.18218559,0.14481413,0.47849634,0.45419168,-0.1074549,-0.1394106,-0.0319557
25,-0.3984874,-0.44004422,"('egoistic', 'altruistic')",0.32757398,0.2718914,1.3736366,1.3423723,0.4342411,0.3914065,-0.0428346
26,-0.91990304,-0.9388219,"('hardhearted', 'benevolent')",1.5352504,1.5416466,1.6194191,1.5437799,0.7449222,0.7155348,-0.0293874
