,angiosperm_male,angiosperm_female,tuple,average_male,average_female,female-male
0,-1.079442,-1.3315464,"('unsociable', 'sociable')",-1.079442,-1.3315464,-0.2521044
1,0.8364559,0.6365028,"('unfriendly', 'friendly')",0.8364559,0.6365028,-0.1999531
2,-0.12512039,-0.103931464,"('unlikable', 'likable')",-0.1251204,-0.1039315,0.0211889
3,-2.063128,-2.0610256,"('repellent', 'pleasant')",-2.063128,-2.0610256,0.0021024
4,-0.57226264,-0.3986819,"('disliked', 'liked')",-0.5722626,-0.3986819,0.1735807
5,1.0096496,1.0569493,"('distant', 'outgoing')",1.0096496,1.0569493,0.0472997
6,1.245863,1.2314041,"('distant', 'open')",1.245863,1.2314041,-0.0144589
7,-1.2196467,-1.3609538,"('insensitive', 'sensitive')",-1.2196467,-1.3609538,-0.1413071
8,0.7301374,0.6056005,"('unaffectionate', 'affectionate')",0.7301374,0.6056005,-0.1245369
9,0.025175136,-0.10590289,"('unaffectionate', 'caring')",0.0251751,-0.1059029,-0.131078
10,-2.7042637,-2.947112,"('unsympathetic', 'sympathetic')",-2.7042637,-2.9471121,-0.2428484
11,-1.2528908,-1.4138676,"('unhelpful', 'helpful')",-1.2528908,-1.4138676,-0.1609768
12,-1.5076025,-1.5841131,"('unsupportive', 'supportive')",-1.5076025,-1.5841131,-0.0765106
13,-1.8130355,-2.0238407,"('impolite', 'polite')",-1.8130355,-2.0238407,-0.2108052
14,-1.0246764,-1.1091919,"('antisocial', 'social')",-1.0246764,-1.1091919,-0.0845155
15,1.598816,1.5726113,"('boring', 'funny')",1.598816,1.5726113,-0.0262047
16,-0.3599236,-0.17665178,"('unpopular', 'popular')",-0.3599236,-0.1766518,0.1832718
17,-0.10116991,0.038930815,"('nasty', 'nice')",-0.1011699,0.0389308,0.1401007
18,0.09325472,0.062078528,"('disagreeable', 'welcoming')",0.0932547,0.0620785,-0.0311762
19,-0.6881874,-0.64045674,"('inhospitable', 'hospitable')",-0.6881874,-0.6404567,0.0477307
20,-0.1949667,-0.1117613,"('rough', 'thoughtful')",-0.1949667,-0.1117613,0.0832054
21,-1.9727821,-2.0178492,"('immoral', 'moral')",-1.9727821,-2.0178492,-0.0450671
