,divorce_male,divorce_female,tuple,average_male,average_female,female-male
0,-0.10520348,-0.2925161,"('unsociable', 'sociable')",-0.1052035,-0.2925161,-0.1873126
1,1.822787,1.8922362,"('unfriendly', 'friendly')",1.822787,1.8922362,0.0694492
2,0.13089037,0.27973536,"('unlikable', 'likable')",0.1308904,0.2797354,0.148845
3,0.9569988,0.9221132,"('repellent', 'pleasant')",0.9569988,0.9221132,-0.0348856
4,-7.161267,-7.117107,"('disliked', 'liked')",-7.1612668,-7.1171069,0.0441599
5,0.035208203,0.2257576,"('distant', 'outgoing')",0.0352082,0.2257576,0.1905494
6,0.40503752,0.5735089,"('distant', 'open')",0.4050375,0.5735089,0.1684714
7,1.0479147,0.9220091,"('insensitive', 'sensitive')",1.0479147,0.9220091,-0.1259056
8,1.3972379,1.5523547,"('unaffectionate', 'affectionate')",1.3972379,1.5523547,0.1551168
9,1.7451177,1.9446334,"('unaffectionate', 'caring')",1.7451177,1.9446334,0.1995157
10,0.71238166,0.6363847,"('unsympathetic', 'sympathetic')",0.7123817,0.6363847,-0.075997
11,1.7334747,1.782564,"('unhelpful', 'helpful')",1.7334747,1.782564,0.0490893
12,-1.4092348,-1.2993569,"('unsupportive', 'supportive')",-1.4092348,-1.2993569,0.1098779
13,-0.024997927,-0.2164188,"('impolite', 'polite')",-0.0249979,-0.2164188,-0.1914209
14,-0.41616192,-0.6625793,"('antisocial', 'social')",-0.4161619,-0.6625793,-0.2464174
15,0.3697928,0.4306523,"('boring', 'funny')",0.3697928,0.4306523,0.0608595
16,-0.50128365,-0.34634978,"('unpopular', 'popular')",-0.5012836,-0.3463498,0.1549338
17,-0.022688612,0.12151189,"('nasty', 'nice')",-0.0226886,0.1215119,0.1442005
18,-0.4618457,-0.45460925,"('disagreeable', 'welcoming')",-0.4618457,-0.4546092,0.0072365
19,-0.42362416,-0.08981059,"('inhospitable', 'hospitable')",-0.4236242,-0.0898106,0.3338136
20,0.58082795,0.26241273,"('rough', 'thoughtful')",0.580828,0.2624127,-0.3184153
21,-0.46043286,-0.4728899,"('immoral', 'moral')",-0.4604329,-0.4728899,-0.012457
22,-0.6736792,-0.66360986,"('untrustworthy', 'trustworthy')",-0.6736792,-0.6636099,0.0100693
23,6.8530235,6.916233,"('insincere', 'sincere')",6.8530235,6.9162331,0.0632096
24,1.694393,1.6855375,"('dishonest', 'honest')",1.694393,1.6855375,-0.0088555
25,0.9731841,0.9482696,"('egoistic', 'altruistic')",0.9731841,0.9482696,-0.0249145
26,0.6710332,0.48374265,"('hardhearted', 'benevolent')",0.6710332,0.4837427,-0.1872905
27,2.104196,1.9861702,"('hardhearted', 'softhearted')",2.1041961,1.9861702,-0.1180259
28,1.1972919,1.0909269,"('disloyal', 'loyal')",1.1972919,1.0909269,-0.106365
29,-0.48335454,-0.6779904,"('unfair', 'fair')",-0.4833545,-0.6779904,-0.1946359
30,0.6761509,0.6464611,"('intolerant', 'tolerant')",0.6761509,0.6464611,-0.0296898
31,-1.1440091,-1.0114422,"('evil', 'good')",-1.1440091,-1.0114422,0.1325669
32,1.3456336,1.2072141,"('unkind', 'kind')",1.3456336,1.2072141,-0.1384195
33,-0.26180318,-0.1250946,"('wrong', 'right')",-0.2618032,-0.1250946,0.1367086
34,4.8033543,5.129632,"('mean', 'honorable')",4.8033543,5.129632,0.3262777
35,-0.881449,-0.8788225,"('corrupt', 'incorrupt')",-0.881449,-0.8788225,0.0026265
36,-0.612293,-0.4659557,"('hostile', 'amicable')",-0.612293,-0.4659557,0.1463373
37,1.1421471,1.1086017,"('fake', 'genuine')",1.1421471,1.1086017,-0.0335454
38,0.10729696,0.24960375,"('untruthful', 'truthful')",0.107297,0.2496037,0.1423067
39,0.2492388,0.21833283,"('exploitative', 'cooperative')",0.2492388,0.2183328,-0.030906
40,-1.1165023,-1.2827017,"('stingy', 'generous')",-1.1165023,-1.2827017,-0.1661994
41,0.11931987,0.022638328,"('unforgiving', 'forgiving')",0.1193199,0.0226383,-0.0966816
42,-2.8145185,-2.882761,"('unreliable', 'reliable')",-2.8145185,-2.882761,-0.0682425
43,1.0439621,1.0190697,"('irresponsible', 'responsible')",1.0439621,1.0190697,-0.0248924
44,-1.4752461,-1.6212214,"('prejudiced', 'unprejudiced')",-1.4752461,-1.6212214,-0.1459753
45,0.016576547,-0.08333309,"('incompetent', 'competent')",0.0165765,-0.0833331,-0.0999096
46,-0.890921,-1.0197237,"('uncompetitive', 'competitive')",-0.890921,-1.0197237,-0.1288027
47,5.109927,5.3415165,"('stupid', 'smart')",5.1099272,5.3415165,0.2315893
48,0.4587271,0.29488894,"('unintelligent', 'intelligent')",0.4587271,0.2948889,-0.1638382
49,0.35106447,0.4279923,"('unable', 'able')",0.3510645,0.4279923,0.0769278
50,-0.44771773,-0.3806554,"('clumsy', 'skillful')",-0.4477177,-0.3806554,0.0670623
51,0.7126108,0.61603,"('uneducated', 'educated')",0.7126108,0.61603,-0.0965808
52,0.17266639,0.2485269,"('irrational', 'rational')",0.1726664,0.2485269,0.0758605
53,0.067711,0.058051772,"('uncreative', 'creative')",0.067711,0.0580518,-0.0096592
54,1.0328532,1.3461617,"('incapable', 'capable')",1.0328532,1.3461617,0.3133085
55,0.44748867,0.22150546,"('incompetent', 'clever')",0.4474887,0.2215055,-0.2259832
56,0.11030792,0.15854087,"('impractical', 'practical')",0.1103079,0.1585409,0.048233
57,-2.7613413,-2.8549101,"('unimaginative', 'imaginative')",-2.7613413,-2.8549101,-0.0935688
58,0.16289933,0.0566866,"('undiscriminating', 'discriminating')",0.1628993,0.0566866,-0.1062127
59,0.26366884,0.45748878,"('foolish', 'wise')",0.2636688,0.4574888,0.19382
60,0.2485094,0.09598818,"('inefficient', 'efficient')",0.2485094,0.0959882,-0.1525212
61,0.4877431,0.19961824,"('illogical', 'logical')",0.4877431,0.1996182,-0.2881249
62,0.8728451,0.88779587,"('incompetent', 'brilliant')",0.8728451,0.8877959,0.0149508
63,0.20890291,0.28636628,"('unperceptive', 'insightful')",0.2089029,0.2863663,0.0774634
64,-6.7142286,-6.6904044,"('shy', 'confident')",-6.7142286,-6.6904044,0.0238242
65,-0.22553751,-0.27516237,"('insecure', 'secure')",-0.2255375,-0.2751624,-0.0496249
66,-0.4215824,-0.47811192,"('inactive', 'active')",-0.4215824,-0.4781119,-0.0565295
67,-0.5162329,-0.54548967,"('doubtful', 'determined')",-0.5162329,-0.5454897,-0.0292568
68,-0.6578369,-0.60003954,"('dependent', 'independent')",-0.6578369,-0.6000395,0.0577974
