,monument_male,monument_female,tuple,average_male,average_female,female-male
0,1.0695117,0.5940066,"('unsociable', 'sociable')",1.0695117,0.5940066,-0.4755051
1,0.56754017,0.53839755,"('unfriendly', 'friendly')",0.5675402,0.5383976,-0.0291426
2,0.03634978,0.16104777,"('unlikable', 'likable')",0.0363498,0.1610478,0.124698
3,0.72097313,0.7453077,"('repellent', 'pleasant')",0.7209731,0.7453077,0.0243346
4,-7.0451193,-7.4126005,"('disliked', 'liked')",-7.0451193,-7.4126005,-0.3674812
5,-2.0339396,-1.6854498,"('distant', 'outgoing')",-2.0339396,-1.6854498,0.3484898
6,-1.6504563,-1.3166798,"('distant', 'open')",-1.6504563,-1.3166798,0.3337765
7,1.8774529,1.531149,"('insensitive', 'sensitive')",1.8774529,1.531149,-0.3463039
8,0.3554806,0.5074794,"('unaffectionate', 'affectionate')",0.3554806,0.5074794,0.1519988
9,1.190604,1.3983793,"('unaffectionate', 'caring')",1.190604,1.3983793,0.2077753
10,1.6850752,1.5632999,"('unsympathetic', 'sympathetic')",1.6850752,1.5632999,-0.1217753
11,2.2520912,2.2975087,"('unhelpful', 'helpful')",2.2520912,2.2975087,0.0454175
12,-1.2126974,-1.4295652,"('unsupportive', 'supportive')",-1.2126974,-1.4295652,-0.2168678
13,0.7226358,0.50163174,"('impolite', 'polite')",0.7226358,0.5016317,-0.2210041
14,1.3806273,0.97825515,"('antisocial', 'social')",1.3806273,0.9782552,-0.4023721
15,0.7560353,0.5966267,"('boring', 'funny')",0.7560353,0.5966267,-0.1594086
16,-0.030880436,-0.18916306,"('unpopular', 'popular')",-0.0308804,-0.1891631,-0.1582827
17,-0.3501038,-0.32011962,"('nasty', 'nice')",-0.3501038,-0.3201196,0.0299842
18,-1.0935074,-1.0815661,"('disagreeable', 'welcoming')",-1.0935074,-1.0815661,0.0119413
19,-1.5921559,-1.409217,"('inhospitable', 'hospitable')",-1.5921559,-1.409217,0.1829389
20,0.8653119,0.8714905,"('rough', 'thoughtful')",0.8653119,0.8714905,0.0061786
21,0.71215963,0.6206912,"('immoral', 'moral')",0.7121596,0.6206912,-0.0914684
22,0.12438122,-0.10808617,"('untrustworthy', 'trustworthy')",0.1243812,-0.1080862,-0.2324674
23,6.723473,6.7659426,"('insincere', 'sincere')",6.7234731,6.7659426,0.0424695
24,1.7102213,1.702918,"('dishonest', 'honest')",1.7102213,1.7029181,-0.0073032
25,0.37668145,0.36168465,"('egoistic', 'altruistic')",0.3766814,0.3616847,-0.0149967
26,1.5579903,1.2080555,"('hardhearted', 'benevolent')",1.5579903,1.2080555,-0.3499348
27,0.46298808,0.6175159,"('hardhearted', 'softhearted')",0.4629881,0.6175159,0.1545278
28,1.6046088,1.548626,"('disloyal', 'loyal')",1.6046088,1.5486259,-0.0559829
29,-0.8950494,-1.0451459,"('unfair', 'fair')",-0.8950494,-1.0451459,-0.1500965
30,1.6340286,1.4352094,"('intolerant', 'tolerant')",1.6340286,1.4352094,-0.1988192
31,-2.4566457,-2.3361335,"('evil', 'good')",-2.4566457,-2.3361335,0.1205122
32,1.9046507,1.6396109,"('unkind', 'kind')",1.9046507,1.6396109,-0.2650398
33,-0.5499494,-0.6786136,"('wrong', 'right')",-0.5499494,-0.6786136,-0.1286642
34,4.6934943,4.9361086,"('mean', 'honorable')",4.6934943,4.9361086,0.2426143
35,-1.5743932,-1.5702648,"('corrupt', 'incorrupt')",-1.5743932,-1.5702648,0.0041284
