,perrigo_male,perrigo_female,tuple,co_male,co_female,plc_male,plc_female,average_male,average_female,female-male
0,-0.259145,-0.3841945,"('unsociable', 'sociable')",0.33596906,0.1048122,-0.6521666,-0.7572074,-0.1917808,-0.3455299,-0.1537491
1,-1.2631366,-1.186733,"('unfriendly', 'friendly')",-0.39889163,-0.47807786,2.3996363,2.2316363,0.2458693,0.1889418,-0.0569275
2,0.89678794,0.9497292,"('unlikable', 'likable')",1.802114,1.8607997,0.6651547,0.70675087,1.1213522,1.1724265,0.0510743
3,-0.64844084,-0.57694,"('repellent', 'pleasant')",0.42215997,0.42731914,-0.2331445,-0.042505875,-0.1531418,-0.0640422,0.0890996
4,0.62996054,0.640867,"('disliked', 'liked')",-0.27181202,-0.21991692,-5.6452575,-5.690986,-1.7623696,-1.7566787,0.0056909
5,-0.11890505,0.023537617,"('distant', 'outgoing')",-1.0691142,-0.8533013,0.3551099,0.29896355,-0.2776364,-0.1769334,0.100703
6,-0.37372482,-0.19778809,"('distant', 'open')",-1.3397855,-1.0929676,0.37556934,0.32759652,-0.4459803,-0.3210531,0.1249272
7,-0.59931445,-0.6290425,"('insensitive', 'sensitive')",-0.7309442,-0.8737545,0.4721988,0.5825859,-0.2860199,-0.306737,-0.0207171
8,-0.74747455,-0.69617826,"('unaffectionate', 'affectionate')",-0.9629164,-0.96388924,1.2663,1.093196,-0.1480303,-0.1889572,-0.0409269
9,-0.8366802,-0.80832136,"('unaffectionate', 'caring')",-0.834455,-0.9182184,1.7686377,1.6668733,0.0325008,-0.0198888,-0.0523896
10,-0.8420252,-0.95387095,"('unsympathetic', 'sympathetic')",-0.94479406,-1.1777124,-0.72254115,-0.63576984,-0.8364534,-0.9224511,-0.0859977
11,-0.55536526,-0.62067604,"('unhelpful', 'helpful')",-0.34763345,-0.539442,1.06447,1.0831001,0.0538238,-0.0256727,-0.0794965
12,-0.5884844,-0.5123697,"('unsupportive', 'supportive')",-0.26023465,-0.2353665,-1.6676123,-1.605725,-0.8387771,-0.7844871,0.05429
13,0.1886482,0.056413196,"('impolite', 'polite')",-0.19257788,-0.34427208,-0.6804861,-0.64931834,-0.2281386,-0.3123924,-0.0842538
14,0.27358267,0.2091714,"('antisocial', 'social')",1.504976,1.4016854,0.13425395,0.22895016,0.6376042,0.613269,-0.0243352
15,0.018030666,-0.04982195,"('boring', 'funny')",0.4198334,0.27580097,0.42685434,0.353175,0.2882395,0.1930513,-0.0951882
16,0.20256348,0.22708845,"('unpopular', 'popular')",-0.0094330385,0.008565353,0.32996202,0.21757412,0.1743641,0.151076,-0.0232881
17,0.32454324,0.4024052,"('nasty', 'nice')",0.12622242,0.116907254,-0.6869109,-0.7093648,-0.0787151,-0.0633508,0.0153643
18,0.3775927,0.49018022,"('disagreeable', 'welcoming')",-0.5009744,-0.3827329,-0.9118797,-0.9332982,-0.3450871,-0.2752836,0.0698035
19,-0.7476931,-0.6593047,"('inhospitable', 'hospitable')",-1.0372179,-1.0439596,-0.085853934,-0.17747435,-0.6235883,-0.6269129,-0.0033246
20,-0.41049245,-0.36503062,"('rough', 'thoughtful')",0.5095558,0.46581104,0.56153095,0.6018217,0.2201981,0.2342007,0.0140026
21,0.13204643,0.013098031,"('immoral', 'moral')",0.08428508,-0.085938334,-1.2822381,-1.0970442,-0.3553022,-0.3899615,-0.0346593
22,0.4631515,0.4638747,"('untrustworthy', 'trustworthy')",0.7305665,0.5974195,-1.073695,-0.976424,0.0400077,0.0282901,-0.0117176
