,steamroller_male,steamroller_female,tuple,average_male,average_female,female-male
0,-0.0904696,-0.07943797,"('unsociable', 'sociable')",-0.0904696,-0.079438,0.0110316
1,0.5175855,0.48917204,"('unfriendly', 'friendly')",0.5175855,0.489172,-0.0284135
2,0.12593524,0.1435765,"('unlikable', 'likable')",0.1259352,0.1435765,0.0176413
3,-0.45690784,-0.26717365,"('repellent', 'pleasant')",-0.4569078,-0.2671736,0.1897342
4,-3.7567098,-3.790283,"('disliked', 'liked')",-3.7567098,-3.790283,-0.0335732
5,-0.55620426,-0.6047521,"('distant', 'outgoing')",-0.5562043,-0.6047521,-0.0485478
6,-0.71518105,-0.7239838,"('distant', 'open')",-0.7151811,-0.7239838,-0.0088027
7,0.64088756,0.75004613,"('insensitive', 'sensitive')",0.6408876,0.7500461,0.1091585
8,0.37800968,0.33936122,"('unaffectionate', 'affectionate')",0.3780097,0.3393612,-0.0386485
9,0.40099916,0.40667477,"('unaffectionate', 'caring')",0.4009992,0.4066748,0.0056756
10,-0.30149397,-0.14040124,"('unsympathetic', 'sympathetic')",-0.301494,-0.1404012,0.1610928
11,0.63012373,0.68359923,"('unhelpful', 'helpful')",0.6301237,0.6835992,0.0534755
12,-0.9637244,-0.8078548,"('unsupportive', 'supportive')",-0.9637244,-0.8078548,0.1558696
13,0.31551737,0.32457453,"('impolite', 'polite')",0.3155174,0.3245745,0.0090571
14,0.30075017,0.33025548,"('antisocial', 'social')",0.3007502,0.3302555,0.0295053
15,0.22616477,0.07315439,"('boring', 'funny')",0.2261648,0.0731544,-0.1530104
16,-0.59418094,-0.5807212,"('unpopular', 'popular')",-0.5941809,-0.5807212,0.0134597
17,-0.14157256,-0.10621735,"('nasty', 'nice')",-0.1415726,-0.1062173,0.0353553
18,-0.70670587,-0.6661469,"('disagreeable', 'welcoming')",-0.7067059,-0.6661469,0.040559
19,-1.0750206,-1.0888331,"('inhospitable', 'hospitable')",-1.0750206,-1.0888331,-0.0138125
20,0.0666201,0.088811554,"('rough', 'thoughtful')",0.0666201,0.0888116,0.0221915
21,-0.07020659,0.038484804,"('immoral', 'moral')",-0.0702066,0.0384848,0.1086914
22,-0.5981125,-0.5592852,"('untrustworthy', 'trustworthy')",-0.5981125,-0.5592852,0.0388273
23,3.0707211,3.177602,"('insincere', 'sincere')",3.0707211,3.1776021,0.106881
24,0.36195353,0.32640153,"('dishonest', 'honest')",0.3619535,0.3264015,-0.035552
25,0.7357726,0.63860947,"('egoistic', 'altruistic')",0.7357726,0.6386095,-0.0971631
26,1.9285675,1.942162,"('hardhearted', 'benevolent')",1.9285675,1.942162,0.0135945
27,0.87855905,0.84346056,"('hardhearted', 'softhearted')",0.8785591,0.8434606,-0.0350985
28,0.28160253,0.24938105,"('disloyal', 'loyal')",0.2816025,0.2493811,-0.0322214
29,-0.56637096,-0.658396,"('unfair', 'fair')",-0.566371,-0.658396,-0.092025
30,0.7693141,0.7773173,"('intolerant', 'tolerant')",0.7693141,0.7773173,0.0080032
31,-1.469903,-1.4680185,"('evil', 'good')",-1.469903,-1.4680185,0.0018845
32,0.6739465,0.63248557,"('unkind', 'kind')",0.6739465,0.6324856,-0.0414609
33,-0.17504938,-0.26954275,"('wrong', 'right')",-0.1750494,-0.2695428,-0.0944934
34,1.9177175,2.118664,"('mean', 'honorable')",1.9177175,2.118664,0.2009465
35,-0.47433427,-0.6613755,"('corrupt', 'incorrupt')",-0.4743343,-0.6613755,-0.1870412
36,-0.9206277,-0.9804022,"('hostile', 'amicable')",-0.9206277,-0.9804022,-0.0597745
37,0.78217745,0.8024832,"('fake', 'genuine')",0.7821774,0.8024832,0.0203058
38,-0.356814,-0.3254288,"('untruthful', 'truthful')",-0.356814,-0.3254288,0.0313852
39,0.10775585,0.12502933,"('exploitative', 'cooperative')",0.1077558,0.1250293,0.0172735
40,-0.894317,-0.8974182,"('stingy', 'generous')",-0.894317,-0.8974182,-0.0031012
41,0.17404509,0.24882963,"('unforgiving', 'forgiving')",0.1740451,0.2488296,0.0747845
42,-1.5689366,-1.5073062,"('unreliable', 'reliable')",-1.5689366,-1.5073062,0.0616304
43,0.39940855,0.50064504,"('irresponsible', 'responsible')",0.3994085,0.500645,0.1012365
44,-0.87843055,-0.9155497,"('prejudiced', 'unprejudiced')",-0.8784305,-0.9155497,-0.0371192
45,-0.61406285,-0.4065489,"('incompetent', 'competent')",-0.6140628,-0.4065489,0.2075139
46,-0.47903386,-0.3330612,"('uncompetitive', 'competitive')",-0.4790339,-0.3330612,0.1459727
47,3.211539,3.317582,"('stupid', 'smart')",3.211539,3.3175819,0.1060429
48,-0.022635954,0.03197264,"('unintelligent', 'intelligent')",-0.022636,0.0319726,0.0546086
49,-0.58975977,-0.4618417,"('unable', 'able')",-0.5897598,-0.4618417,0.1279181
50,-0.7373615,-0.77617335,"('clumsy', 'skillful')",-0.7373615,-0.7761734,-0.0388119
51,-0.12564111,-0.15391333,"('uneducated', 'educated')",-0.1256411,-0.1539133,-0.0282722
52,-0.3933636,-0.61038977,"('irrational', 'rational')",-0.3933636,-0.6103898,-0.2170262
53,0.13530831,0.13828872,"('uncreative', 'creative')",0.1353083,0.1382887,0.0029804
54,-0.029004876,0.006373238,"('incapable', 'capable')",-0.0290049,0.0063732,0.0353781
55,0.1042665,0.2569186,"('incompetent', 'clever')",0.1042665,0.2569186,0.1526521
56,1.0350423,1.117758,"('impractical', 'practical')",1.0350423,1.117758,0.0827157
57,-1.8179775,-1.721428,"('unimaginative', 'imaginative')",-1.8179775,-1.721428,0.0965495
58,0.21811609,0.3072012,"('undiscriminating', 'discriminating')",0.2181161,0.3072012,0.0890851
59,-0.08771369,-0.18565518,"('foolish', 'wise')",-0.0877137,-0.1856552,-0.0979415
60,0.5029189,0.66509277,"('inefficient', 'efficient')",0.5029189,0.6650928,0.1621739
61,0.17762762,0.07349901,"('illogical', 'logical')",0.1776276,0.073499,-0.1041286
62,-0.29747134,-0.14172153,"('incompetent', 'brilliant')",-0.2974713,-0.1417215,0.1557498
63,-0.46496993,-0.2972026,"('unperceptive', 'insightful')",-0.4649699,-0.2972026,0.1677673
64,-2.9184291,-2.9660745,"('shy', 'confident')",-2.9184291,-2.9660745,-0.0476454
65,0.2561301,0.25637737,"('insecure', 'secure')",0.2561301,0.2563774,0.0002473
66,-0.34022373,-0.37923616,"('inactive', 'active')",-0.3402237,-0.3792362,-0.0390125
67,0.20328437,0.19414218,"('doubtful', 'determined')",0.2032844,0.1941422,-0.0091422
68,-1.0401186,-1.0928317,"('dependent', 'independent')",-1.0401186,-1.0928317,-0.0527131
69,-0.88115054,-0.9842221,"('lazy', 'industrious')",-0.8811505,-0.9842221,-0.1030716
70,-0.14337339,-0.032091595,"('lethargic', 'energetic')",-0.1433734,-0.0320916,0.1112818
71,0.25197065,0.3100613,"('diffident', 'self-confident')",0.2519706,0.3100613,0.0580907
72,0.6975481,0.71653014,"('unambitious', 'ambitious')",0.6975481,0.7165301,0.018982
73,-0.99661016,-1.0535209,"('helpless', 'self-reliant')",-0.9966102,-1.0535209,-0.0569107
74,0.29083234,0.3578526,"('undedicated', 'dedicated')",0.2908323,0.3578526,0.0670203
75,-0.6211482,-0.6526002,"('meek', 'impulsive')",-0.6211482,-0.6526002,-0.031452
76,-0.33158302,-0.2366685,"('anxious', 'daring')",-0.331583,-0.2366685,0.0949145
77,-1.1494529,-1.0125381,"('unmotivated', 'motivated')",-1.1494529,-1.0125381,0.1369148
78,-0.7836755,-0.6617982,"('nonresilient', 'resilient')",-0.7836755,-0.6617982,0.1218773
79,-0.9438826,-0.9873414,"('wavering', 'unwavering')",-0.9438826,-0.9873414,-0.0434588
80,0.37963626,0.38339347,"('dominated', 'dominating')",0.3796363,0.3833935,0.0037572
81,-0.32692328,-0.27768755,"('submissive', 'aggressive')",-0.3269233,-0.2776875,0.0492358
82,2.7267356,2.8242712,"('poor', 'rich')",2.7267356,2.8242712,0.0975356
83,0.0065261424,-0.008344799,"('powerless', 'powerful')",0.0065261,-0.0083448,-0.0148709
84,0.57842094,0.5232656,"('inferior', 'superior')",0.5784209,0.5232656,-0.0551553
85,-0.22724089,-0.2847031,"('insignificant', 'prestigious')",-0.2272409,-0.2847031,-0.0574622
86,0.05882273,0.07738671,"('uninfluential', 'influential')",0.0588227,0.0773867,0.018564
87,0.099601105,0.1432138,"('unsuccessful', 'successful')",0.0996011,0.1432138,0.0436127
88,-0.2914924,-0.31629395,"('low', 'eminent')",-0.2914924,-0.316294,-0.0248016
