,bank_male,bank_female,tuple,of_male,of_female,america_male,america_female,corp_male,corp_female,average_male,average_female,female-male
0,0.37840384,0.45096532,"('unsociable', 'sociable')",-1.1475517,-1.2146218,-0.9415206,-1.051529,-0.6604111,-0.8246466,-0.5927699,-0.659958,-0.0671881
1,1.6819652,1.5933998,"('unfriendly', 'friendly')",-0.79591316,-0.8158146,0.63291615,0.60979533,1.6531665,1.6492541,0.7930337,0.7591586,-0.0338751
2,1.8588108,1.9403387,"('unlikable', 'likable')",0.95604813,1.1087842,1.3406261,1.422217,0.99921626,1.0890468,1.2886753,1.3900967,0.1014214
3,-0.3974059,-0.19818524,"('repellent', 'pleasant')",-1.1806575,-1.0673761,-1.012022,-0.91709894,0.74087054,0.7709639,-0.4623038,-0.3529241,0.1093797
4,-0.36084193,-0.51135254,"('disliked', 'liked')",0.97702086,1.0102531,0.59708893,0.6055861,-7.1208057,-7.200991,-1.4768845,-1.5241261,-0.0472416
5,0.7658769,0.67989755,"('distant', 'outgoing')",0.095327586,0.009345685,0.6659802,0.62893134,-0.24386752,-0.18091981,0.3208293,0.2843137,-0.0365156
6,0.5526006,0.5735881,"('distant', 'open')",-0.13059154,-0.16335154,1.0713034,1.0848145,0.23249571,0.27592573,0.431452,0.4427442,0.0112922
7,0.6453829,0.9142975,"('insensitive', 'sensitive')",-0.8609988,-0.7770258,-0.5568741,-0.5382361,0.47372097,0.48540074,-0.0746923,0.0211091,0.0958014
8,0.8789987,0.79725665,"('unaffectionate', 'affectionate')",-0.07871913,-0.014215527,0.6140391,0.6463764,0.89318967,0.9236005,0.5768771,0.5882545,0.0113774
9,1.7530764,1.7799988,"('unaffectionate', 'caring')",-0.6859011,-0.6456541,0.5751706,0.57837766,1.567705,1.642245,0.8025128,0.8387418,0.036229
10,-0.44596773,-0.10061216,"('unsympathetic', 'sympathetic')",-1.7409213,-1.6454172,-0.6368016,-0.597689,-0.56486905,-0.5830083,-0.8471398,-0.7316816,0.1154582
11,0.12126754,0.2800276,"('unhelpful', 'helpful')",-1.4881899,-1.400998,-0.21503006,-0.19874616,1.6815567,1.8234265,0.0249011,0.1259275,0.1010264
12,1.0225036,1.2788227,"('unsupportive', 'supportive')",0.029920224,0.32120904,0.5329623,0.59834564,-2.2012599,-2.1828218,-0.1539684,0.0038889,0.1578573
13,0.71776235,0.8739203,"('impolite', 'polite')",-1.0862579,-1.1220651,-0.41900405,-0.5113831,-1.2087805,-1.2564676,-0.49907,-0.5039989,-0.0049289
