,corning_male,corning_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.2055768,0.009905443,"('unsociable', 'sociable')",-0.22791258,-0.45094475,-0.0111679,-0.2205197,-0.2093518
1,-1.4032848,-1.5723304,"('unfriendly', 'friendly')",1.7862092,1.6999238,0.1914622,0.0637967,-0.1276655
2,0.47524306,0.5216549,"('unlikable', 'likable')",0.3505112,0.44648594,0.4128771,0.4840704,0.0711933
3,-0.2895694,-0.21651268,"('repellent', 'pleasant')",0.13771456,0.21994817,-0.0759274,0.0017177,0.0776451
4,-0.0064699035,-0.101872474,"('disliked', 'liked')",-6.689007,-6.825958,-3.3477383,-3.4639151,-0.1161768
5,-1.1252397,-1.01011,"('distant', 'outgoing')",-0.3034707,-0.25655448,-0.7143552,-0.6333323,0.0810229
6,-1.284208,-1.0868804,"('distant', 'open')",0.16617785,0.19539109,-0.5590151,-0.4457447,0.1132704
7,-0.041041154,-0.044460382,"('insensitive', 'sensitive')",0.6082992,0.5996416,0.283629,0.2775906,-0.0060384
8,-0.5061747,-0.5746971,"('unaffectionate', 'affectionate')",1.0379447,0.9579421,0.265885,0.1916225,-0.0742625
9,-0.4779256,-0.5659651,"('unaffectionate', 'caring')",1.1335329,1.1437323,0.3278036,0.2888836,-0.03892
10,0.35340637,0.27829325,"('unsympathetic', 'sympathetic')",0.086801805,-0.008177299,0.2201041,0.135058,-0.0850461
11,-0.15881425,-0.22549145,"('unhelpful', 'helpful')",1.9432619,1.9878079,0.8922238,0.8811582,-0.0110656
12,-0.06859442,-0.006524168,"('unsupportive', 'supportive')",-1.7026979,-1.729809,-0.8856462,-0.8681666,0.0174796
13,0.707319,0.60236126,"('impolite', 'polite')",-0.43219894,-0.47965738,0.13756,0.0613519,-0.0762081
14,0.32577264,0.24216035,"('antisocial', 'social')",-0.5135747,-0.5964588,-0.093901,-0.1771492,-0.0832482
15,-0.49278092,-0.596806,"('boring', 'funny')",0.38168827,0.3306832,-0.0555463,-0.1330614,-0.0775151
16,-1.0024402,-0.93341964,"('unpopular', 'popular')",0.22753319,0.29390574,-0.3874535,-0.319757,0.0676965
17,-0.25630242,-0.18526094,"('nasty', 'nice')",-0.26756805,-0.18813176,-0.2619352,-0.1866964,0.0752388
18,-0.8533926,-0.70764834,"('disagreeable', 'welcoming')",-0.29920423,-0.28983676,-0.5762984,-0.4987426,0.0775558
19,-0.37790364,-0.28703716,"('inhospitable', 'hospitable')",0.05268353,0.13702045,-0.1626101,-0.0750084,0.0876017
20,0.21068162,0.2001655,"('rough', 'thoughtful')",1.3132674,1.3203948,0.7619745,0.7602801,-0.0016944
21,0.4995309,0.5189605,"('immoral', 'moral')",-0.49058515,-0.42716423,0.0044729,0.0458981,0.0414252
22,-0.05973848,-0.08547659,"('untrustworthy', 'trustworthy')",-0.97845525,-1.0559599,-0.5190969,-0.5707183,-0.0516214
23,-0.42610806,-0.5045644,"('insincere', 'sincere')",5.9971757,6.014757,2.7855339,2.7550964,-0.0304375
24,-0.03243978,-0.057738937,"('dishonest', 'honest')",1.0136187,0.98324496,0.4905895,0.462753,-0.0278365
25,-0.09306698,-0.1372849,"('egoistic', 'altruistic')",1.2600913,1.2595636,0.5835122,0.5611393,-0.0223729
26,-0.3502137,-0.56587374,"('hardhearted', 'benevolent')",1.7738655,1.6574473,0.7118258,0.5457868,-0.166039
27,-0.1981633,-0.11148139,"('hardhearted', 'softhearted')",1.6963257,1.6496161,0.7490812,0.7690673,0.0199861
28,0.10445976,-0.12281659,"('disloyal', 'loyal')",1.2045021,1.0438969,0.6544809,0.4605402,-0.1939407
29,-0.24161412,-0.2852823,"('unfair', 'fair')",-0.084098116,-0.26045406,-0.1628561,-0.2728682,-0.1100121
30,1.1571012,1.0707687,"('intolerant', 'tolerant')",1.4081118,1.4315573,1.2826065,1.251163,-0.0314435
31,-1.5041687,-1.4497194,"('evil', 'good')",-0.9710771,-0.9961507,-1.237623,-1.2229351,0.0146879
