,monument_male,monument_female,tuple,average_male,average_female,female-male
0,0.79993606,0.41140038,"('unsociable', 'sociable')",0.7999361,0.4114004,-0.3885357
1,0.44665018,0.54081917,"('unfriendly', 'friendly')",0.4466502,0.5408192,0.094169
2,-0.0448139,-0.07637413,"('unlikable', 'likable')",-0.0448139,-0.0763741,-0.0315602
3,0.5304917,0.49838048,"('repellent', 'pleasant')",0.5304917,0.4983805,-0.0321112
4,-7.4051485,-7.669282,"('disliked', 'liked')",-7.4051485,-7.669282,-0.2641335
5,-2.0423658,-1.9012922,"('distant', 'outgoing')",-2.0423658,-1.9012922,0.1410736
6,-1.5198548,-1.33876,"('distant', 'open')",-1.5198548,-1.33876,0.1810948
7,1.9693835,1.7607422,"('insensitive', 'sensitive')",1.9693835,1.7607422,-0.2086413
8,0.505401,0.6153429,"('unaffectionate', 'affectionate')",0.505401,0.6153429,0.1099419
9,1.334592,1.479526,"('unaffectionate', 'caring')",1.334592,1.479526,0.144934
10,1.8957123,1.7221315,"('unsympathetic', 'sympathetic')",1.8957123,1.7221315,-0.1735808
11,2.225098,2.11045,"('unhelpful', 'helpful')",2.2250979,2.11045,-0.1146479
12,-1.1448522,-1.3204921,"('unsupportive', 'supportive')",-1.1448522,-1.3204921,-0.1756399
13,0.51821446,0.20114337,"('impolite', 'polite')",0.5182145,0.2011434,-0.3170711
14,1.2962811,1.0119097,"('antisocial', 'social')",1.2962811,1.0119097,-0.2843714
15,0.6326965,0.4384359,"('boring', 'funny')",0.6326965,0.4384359,-0.1942606
16,-0.73768944,-0.7450078,"('unpopular', 'popular')",-0.7376894,-0.7450078,-0.0073184
17,-0.3038669,-0.32127705,"('nasty', 'nice')",-0.3038669,-0.3212771,-0.0174102
18,-0.92491066,-0.95937955,"('disagreeable', 'welcoming')",-0.9249107,-0.9593796,-0.0344689
19,-1.0813248,-1.0293387,"('inhospitable', 'hospitable')",-1.0813248,-1.0293387,0.0519861
20,0.9580349,0.96708554,"('rough', 'thoughtful')",0.9580349,0.9670855,0.0090506
21,0.8346384,0.6273034,"('immoral', 'moral')",0.8346384,0.6273034,-0.207335
22,-0.03582431,-0.2732804,"('untrustworthy', 'trustworthy')",-0.0358243,-0.2732804,-0.2374561
23,7.054394,7.048888,"('insincere', 'sincere')",7.0543938,7.0488882,-0.0055056
24,1.7882391,1.6608458,"('dishonest', 'honest')",1.7882391,1.6608458,-0.1273933
25,0.30474877,0.37895888,"('egoistic', 'altruistic')",0.3047488,0.3789589,0.0742101
