,smoke_male,smoke_female,tuple,average_male,average_female,female-male
0,0.30799615,0.20459576,"('unsociable', 'sociable')",0.3079962,0.2045958,-0.1034004
1,1.3782942,1.4290762,"('unfriendly', 'friendly')",1.3782942,1.4290762,0.050782
2,0.72263134,0.8233323,"('unlikable', 'likable')",0.7226313,0.8233323,0.100701
3,1.1898609,1.278563,"('repellent', 'pleasant')",1.1898609,1.278563,0.0887021
4,-6.8181834,-6.752015,"('disliked', 'liked')",-6.8181834,-6.7520151,0.0661683
5,-0.24499395,-0.13094766,"('distant', 'outgoing')",-0.244994,-0.1309477,0.1140463
6,-0.06019645,0.06762114,"('distant', 'open')",-0.0601965,0.0676211,0.1278176
7,1.6946023,1.660638,"('insensitive', 'sensitive')",1.6946023,1.660638,-0.0339643
8,0.934739,0.9597108,"('unaffectionate', 'affectionate')",0.934739,0.9597108,0.0249718
9,1.3991685,1.4759086,"('unaffectionate', 'caring')",1.3991685,1.4759086,0.0767401
10,1.7656488,1.7508882,"('unsympathetic', 'sympathetic')",1.7656488,1.7508882,-0.0147606
11,2.190064,2.1889,"('unhelpful', 'helpful')",2.190064,2.1889,-0.001164
12,-0.7296139,-0.69319737,"('unsupportive', 'supportive')",-0.7296139,-0.6931974,0.0364165
13,0.4133792,0.3041288,"('impolite', 'polite')",0.4133792,0.3041288,-0.1092504
14,0.3628006,0.20400196,"('antisocial', 'social')",0.3628006,0.204002,-0.1587986
15,0.20120896,0.24591835,"('boring', 'funny')",0.201209,0.2459183,0.0447093
16,-0.77250904,-0.6553989,"('unpopular', 'popular')",-0.772509,-0.6553989,0.1171101
17,-0.20970875,-0.17610504,"('nasty', 'nice')",-0.2097088,-0.176105,0.0336038
18,-0.19253424,-0.21809937,"('disagreeable', 'welcoming')",-0.1925342,-0.2180994,-0.0255652
19,-0.1701427,-0.08935194,"('inhospitable', 'hospitable')",-0.1701427,-0.0893519,0.0807908
20,0.7910373,0.70538825,"('rough', 'thoughtful')",0.7910373,0.7053882,-0.0856491
21,0.6093238,0.6107759,"('immoral', 'moral')",0.6093238,0.6107759,0.0014521
22,0.19087294,0.11922382,"('untrustworthy', 'trustworthy')",0.1908729,0.1192238,-0.0716491
23,6.709037,6.709911,"('insincere', 'sincere')",6.7090368,6.7099109,0.0008741
24,2.4003568,2.3980083,"('dishonest', 'honest')",2.4003568,2.3980083,-0.0023485
25,0.23412041,0.20112002,"('egoistic', 'altruistic')",0.2341204,0.20112,-0.0330004
26,-0.010675728,0.006323099,"('hardhearted', 'benevolent')",-0.0106757,0.0063231,0.0169988
27,1.559988,1.5132271,"('hardhearted', 'softhearted')",1.559988,1.5132271,-0.0467609
28,1.328345,1.3273008,"('disloyal', 'loyal')",1.3283449,1.3273008,-0.0010441
29,-0.24023409,-0.36373055,"('unfair', 'fair')",-0.2402341,-0.3637305,-0.1234964
30,1.0742216,0.96590877,"('intolerant', 'tolerant')",1.0742216,0.9659088,-0.1083128
31,-1.5981218,-1.5583259,"('evil', 'good')",-1.5981218,-1.5583259,0.0397959
32,1.438523,1.3856878,"('unkind', 'kind')",1.4385231,1.3856878,-0.0528353
33,-0.6965652,-0.63194966,"('wrong', 'right')",-0.6965652,-0.6319497,0.0646155
34,4.2729063,4.4104943,"('mean', 'honorable')",4.2729063,4.4104943,0.137588
35,-1.1991813,-1.2395169,"('corrupt', 'incorrupt')",-1.1991813,-1.2395169,-0.0403356
36,-1.4003559,-1.3164655,"('hostile', 'amicable')",-1.4003559,-1.3164655,0.0838904
37,1.2112602,1.1994445,"('fake', 'genuine')",1.2112602,1.1994445,-0.0118157
38,0.24029718,0.1823549,"('untruthful', 'truthful')",0.2402972,0.1823549,-0.0579423
39,0.13334446,0.12311207,"('exploitative', 'cooperative')",0.1333445,0.1231121,-0.0102324
40,-0.79698014,-0.82738703,"('stingy', 'generous')",-0.7969801,-0.827387,-0.0304069
41,-0.09157484,-0.15246451,"('unforgiving', 'forgiving')",-0.0915748,-0.1524645,-0.0608897
42,-1.2672502,-1.2832669,"('unreliable', 'reliable')",-1.2672502,-1.2832669,-0.0160167
43,1.7436023,1.6491295,"('irresponsible', 'responsible')",1.7436023,1.6491295,-0.0944728
44,-1.4858125,-1.6171855,"('prejudiced', 'unprejudiced')",-1.4858125,-1.6171855,-0.131373
45,0.7858907,0.77006394,"('incompetent', 'competent')",0.7858907,0.7700639,-0.0158268
46,0.10253415,0.13018309,"('uncompetitive', 'competitive')",0.1025342,0.1301831,0.0276489
47,5.3699737,5.5164833,"('stupid', 'smart')",5.3699737,5.5164833,0.1465096
48,1.228751,1.1838034,"('unintelligent', 'intelligent')",1.2287509,1.1838034,-0.0449475
49,0.45036379,0.61002254,"('unable', 'able')",0.4503638,0.6100225,0.1596587
50,0.24395688,0.3911807,"('clumsy', 'skillful')",0.2439569,0.3911807,0.1472238
51,1.2535101,1.2261341,"('uneducated', 'educated')",1.2535101,1.2261341,-0.027376
