,advansix_male,advansix_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.0808394,-1.229754,"('unsociable', 'sociable')",-0.40733367,-0.5816499,-0.7440865,-0.9057019,-0.1616154
1,-1.7985237,-1.9518156,"('unfriendly', 'friendly')",1.7319503,1.5656502,-0.0332867,-0.1930827,-0.159796
2,0.7226795,0.77635324,"('unlikable', 'likable')",0.6542209,0.7558742,0.6884502,0.7661138,0.0776636
3,-0.2269499,-0.13266113,"('repellent', 'pleasant')",0.0019652694,0.02353771,-0.1124923,-0.0545617,0.0579306
4,-0.36692017,-0.44939092,"('disliked', 'liked')",-6.1691427,-6.198821,-3.2680314,-3.324106,-0.0560746
5,-1.2849278,-1.2787555,"('distant', 'outgoing')",-0.059714008,-0.020521075,-0.6723209,-0.6496383,0.0226826
6,-1.5695131,-1.5740585,"('distant', 'open')",0.37446368,0.40501562,-0.5975247,-0.5845215,0.0130032
7,-0.44140768,-0.38074526,"('insensitive', 'sensitive')",0.15561761,0.18030378,-0.142895,-0.1002207,0.0426743
8,-1.7237858,-1.732396,"('unaffectionate', 'affectionate')",0.7714282,0.7042625,-0.4761788,-0.5140668,-0.037888
9,-1.9439402,-1.9704163,"('unaffectionate', 'caring')",0.896911,0.867421,-0.5235146,-0.5514977,-0.0279831
10,-1.0796874,-1.030684,"('unsympathetic', 'sympathetic')",-0.7089542,-0.7549738,-0.8943208,-0.8928289,0.0014919
11,-0.101587236,-0.052248195,"('unhelpful', 'helpful')",1.6562754,1.7519051,0.7773441,0.8498284,0.0724843
12,-0.9088434,-0.7637047,"('unsupportive', 'supportive')",-2.2206018,-2.1430912,-1.5647225,-1.453398,0.1113245
13,-0.28649238,-0.3350629,"('impolite', 'polite')",-0.59122956,-0.56818813,-0.438861,-0.4516255,-0.0127645
14,0.14884107,0.17708741,"('antisocial', 'social')",-0.5676823,-0.649805,-0.2094206,-0.2363588,-0.0269382
15,-0.14302105,-0.2576306,"('boring', 'funny')",0.73198867,0.689134,0.2944838,0.2157517,-0.0787321
