,virginal_male,virginal_female,tuple,average_male,average_female,female-male
0,0.04479957,0.19229755,"('unsociable', 'sociable')",0.0447996,0.1922975,0.1474979
1,-0.2618962,-0.3386663,"('unfriendly', 'friendly')",-0.2618962,-0.3386663,-0.0767701
2,0.0047568083,0.11043854,"('unlikable', 'likable')",0.0047568,0.1104385,0.1056817
3,0.046229422,0.3054004,"('repellent', 'pleasant')",0.0462294,0.3054004,0.259171
4,-3.3498137,-3.4100714,"('disliked', 'liked')",-3.3498137,-3.4100714,-0.0602577
5,-0.44322878,-0.48652825,"('distant', 'outgoing')",-0.4432288,-0.4865282,-0.0432994
6,-0.5748143,-0.63327324,"('distant', 'open')",-0.5748143,-0.6332732,-0.0584589
7,0.49997637,0.7183092,"('insensitive', 'sensitive')",0.4999764,0.7183092,0.2183328
8,0.48615864,0.37779227,"('unaffectionate', 'affectionate')",0.4861586,0.3777923,-0.1083663
9,0.15990058,0.19715804,"('unaffectionate', 'caring')",0.1599006,0.197158,0.0372574
10,-0.17436172,0.13983798,"('unsympathetic', 'sympathetic')",-0.1743617,0.139838,0.3141997
11,0.29414842,0.44073367,"('unhelpful', 'helpful')",0.2941484,0.4407337,0.1465853
12,-1.1296003,-1.0266662,"('unsupportive', 'supportive')",-1.1296003,-1.0266662,0.1029341
13,-0.29698905,-0.29037458,"('impolite', 'polite')",-0.2969891,-0.2903746,0.0066145
14,0.38406783,0.46230617,"('antisocial', 'social')",0.3840678,0.4623062,0.0782384
15,-0.19391522,-0.34752715,"('boring', 'funny')",-0.1939152,-0.3475271,-0.1536119
16,-0.39401028,-0.32358822,"('unpopular', 'popular')",-0.3940103,-0.3235882,0.0704221
17,0.2049661,0.27960283,"('nasty', 'nice')",0.2049661,0.2796028,0.0746367
18,-0.3237128,-0.22544894,"('disagreeable', 'welcoming')",-0.3237128,-0.2254489,0.0982639
19,-1.1862522,-1.0726515,"('inhospitable', 'hospitable')",-1.1862522,-1.0726515,0.1136007
20,0.404768,0.4144409,"('rough', 'thoughtful')",0.404768,0.4144409,0.0096729
21,0.29495355,0.53352076,"('immoral', 'moral')",0.2949536,0.5335208,0.2385672
22,0.023108393,0.15718405,"('untrustworthy', 'trustworthy')",0.0231084,0.157184,0.1340756
23,2.6910722,2.99498,"('insincere', 'sincere')",2.6910722,2.9949801,0.3039079
24,0.510666,0.49208206,"('dishonest', 'honest')",0.510666,0.4920821,-0.0185839
25,0.5281377,0.3558335,"('egoistic', 'altruistic')",0.5281377,0.3558335,-0.1723042
26,0.28427717,0.23244478,"('hardhearted', 'benevolent')",0.2842772,0.2324448,-0.0518324
27,1.0424577,0.7938907,"('hardhearted', 'softhearted')",1.0424577,0.7938907,-0.248567
28,0.5667356,0.6609699,"('disloyal', 'loyal')",0.5667356,0.6609699,0.0942343
29,-0.162691,-0.41833872,"('unfair', 'fair')",-0.162691,-0.4183387,-0.2556477
30,0.5837225,0.6710495,"('intolerant', 'tolerant')",0.5837225,0.6710495,0.087327
31,-1.6715683,-1.7204581,"('evil', 'good')",-1.6715683,-1.7204581,-0.0488898
32,0.9158051,0.9941282,"('unkind', 'kind')",0.9158051,0.9941282,0.0783231
33,0.1420401,-0.093574405,"('wrong', 'right')",0.1420401,-0.0935744,-0.2356145
34,2.2308729,2.5291817,"('mean', 'honorable')",2.2308729,2.5291817,0.2983088
35,-0.3082071,-0.7086548,"('corrupt', 'incorrupt')",-0.3082071,-0.7086548,-0.4004477
36,-1.1342826,-1.255436,"('hostile', 'amicable')",-1.1342826,-1.2554359,-0.1211533
37,0.06202484,0.11392322,"('fake', 'genuine')",0.0620248,0.1139232,0.0518984
38,-0.24909316,-0.10014534,"('untruthful', 'truthful')",-0.2490932,-0.1001453,0.1489479
39,0.57632774,0.5013501,"('exploitative', 'cooperative')",0.5763277,0.5013501,-0.0749776
40,-1.0798889,-1.0854869,"('stingy', 'generous')",-1.0798889,-1.0854869,-0.005598
41,0.22925764,0.41006672,"('unforgiving', 'forgiving')",0.2292576,0.4100667,0.1808091
42,-0.9483057,-0.70672745,"('unreliable', 'reliable')",-0.9483057,-0.7067274,0.2415783
43,0.33370206,0.5225986,"('irresponsible', 'responsible')",0.3337021,0.5225986,0.1888965
44,-0.39805576,-0.43447897,"('prejudiced', 'unprejudiced')",-0.3980558,-0.434479,-0.0364232
45,-0.41383243,-0.0993869,"('incompetent', 'competent')",-0.4138324,-0.0993869,0.3144455
46,-0.44996706,-0.2763172,"('uncompetitive', 'competitive')",-0.4499671,-0.2763172,0.1736499
47,1.8123065,1.941232,"('stupid', 'smart')",1.8123065,1.941232,0.1289255
48,0.16253734,0.24296433,"('unintelligent', 'intelligent')",0.1625373,0.2429643,0.080427
49,0.3139285,0.41245088,"('unable', 'able')",0.3139285,0.4124509,0.0985224
50,0.055773847,0.12183872,"('clumsy', 'skillful')",0.0557738,0.1218387,0.0660649
51,-0.5129174,-0.45434257,"('uneducated', 'educated')",-0.5129174,-0.4543426,0.0585748
52,-0.8383821,-1.1249943,"('irrational', 'rational')",-0.8383821,-1.1249943,-0.2866122
53,-1.0549406,-1.0101265,"('uncreative', 'creative')",-1.0549406,-1.0101265,0.0448141
54,0.053937603,0.12880307,"('incapable', 'capable')",0.0539376,0.1288031,0.0748655
55,0.29017562,0.50989324,"('incompetent', 'clever')",0.2901756,0.5098932,0.2197176
56,0.66812044,0.9378622,"('impractical', 'practical')",0.6681204,0.9378622,0.2697418
57,-1.7706357,-1.6432216,"('unimaginative', 'imaginative')",-1.7706357,-1.6432216,0.1274141
58,-0.36619708,-0.29551882,"('undiscriminating', 'discriminating')",-0.3661971,-0.2955188,0.0706783
59,-0.2508568,-0.43918514,"('foolish', 'wise')",-0.2508568,-0.4391851,-0.1883283
60,0.95626307,1.2623563,"('inefficient', 'efficient')",0.9562631,1.2623563,0.3060932
61,0.62513655,0.50516963,"('illogical', 'logical')",0.6251366,0.5051696,-0.119967
62,0.481102,0.62292945,"('incompetent', 'brilliant')",0.481102,0.6229295,0.1418275
63,-0.18198596,0.021915836,"('unperceptive', 'insightful')",-0.181986,0.0219158,0.2039018
64,-2.9333336,-3.037221,"('shy', 'confident')",-2.9333336,-3.037221,-0.1038874
65,0.28406858,0.37921134,"('insecure', 'secure')",0.2840686,0.3792113,0.0951427
66,-0.78792053,-0.82626027,"('inactive', 'active')",-0.7879205,-0.8262603,-0.0383398
67,0.034557275,0.101809785,"('doubtful', 'determined')",0.0345573,0.1018098,0.0672525
68,-0.6653486,-0.7030476,"('dependent', 'independent')",-0.6653486,-0.7030476,-0.037699
69,-0.39657235,-0.6286615,"('lazy', 'industrious')",-0.3965724,-0.6286615,-0.2320891
70,0.3662202,0.59071124,"('lethargic', 'energetic')",0.3662202,0.5907112,0.224491
71,0.18918212,0.19280308,"('diffident', 'self-confident')",0.1891821,0.1928031,0.003621
72,-0.07362756,-0.08709,"('unambitious', 'ambitious')",-0.0736276,-0.08709,-0.0134624
73,-1.5141873,-1.6404252,"('helpless', 'self-reliant')",-1.5141873,-1.6404252,-0.1262379
74,0.40912974,0.5246993,"('undedicated', 'dedicated')",0.4091297,0.5246993,0.1155696
75,-1.0397223,-1.0596032,"('meek', 'impulsive')",-1.0397223,-1.0596032,-0.0198809
76,0.5716161,0.766361,"('anxious', 'daring')",0.5716161,0.766361,0.1947449
77,-0.89532644,-0.681978,"('unmotivated', 'motivated')",-0.8953264,-0.681978,0.2133484
78,0.11955424,0.14814937,"('nonresilient', 'resilient')",0.1195542,0.1481494,0.0285952
79,-0.098768935,0.03167656,"('wavering', 'unwavering')",-0.0987689,0.0316766,0.1304455
80,0.22844785,0.23434049,"('dominated', 'dominating')",0.2284479,0.2343405,0.0058926
81,-0.5952128,-0.46762446,"('submissive', 'aggressive')",-0.5952128,-0.4676245,0.1275883
82,1.7800472,2.0869071,"('poor', 'rich')",1.7800472,2.0869071,0.3068599
83,-0.11333453,-0.10392099,"('powerless', 'powerful')",-0.1133345,-0.103921,0.0094135
84,0.44139576,0.24858251,"('inferior', 'superior')",0.4413958,0.2485825,-0.1928133
85,-0.36360675,-0.55923015,"('insignificant', 'prestigious')",-0.3636068,-0.5592301,-0.1956233
86,-0.32263026,-0.2282655,"('uninfluential', 'influential')",-0.3226303,-0.2282655,0.0943648
87,0.14499916,0.14371094,"('unsuccessful', 'successful')",0.1449992,0.1437109,-0.0012883
88,-0.4495921,-0.44967318,"('low', 'eminent')",-0.4495921,-0.4496732,-8.11e-05
