,space_male,space_female,tuple,average_male,average_female,female-male
0,-0.32177222,-0.31302142,"('unsociable', 'sociable')",-0.3217722,-0.3130214,0.0087508
1,1.8261974,1.7159113,"('unfriendly', 'friendly')",1.8261974,1.7159113,-0.1102861
2,0.22576168,0.33579567,"('unlikable', 'likable')",0.2257617,0.3357957,0.110034
3,0.55145156,0.8157636,"('repellent', 'pleasant')",0.5514516,0.8157636,0.264312
4,-6.924839,-6.9826684,"('disliked', 'liked')",-6.924839,-6.9826684,-0.0578294
5,-0.29543403,-0.2585976,"('distant', 'outgoing')",-0.295434,-0.2585976,0.0368364
6,0.11752111,0.13407658,"('distant', 'open')",0.1175211,0.1340766,0.0165555
7,0.791568,1.0225817,"('insensitive', 'sensitive')",0.791568,1.0225817,0.2310137
8,1.6520233,1.533993,"('unaffectionate', 'affectionate')",1.6520233,1.533993,-0.1180303
9,2.076573,2.1849253,"('unaffectionate', 'caring')",2.0765729,2.1849253,0.1083524
10,0.44663095,0.5616035,"('unsympathetic', 'sympathetic')",0.446631,0.5616035,0.1149725
11,1.9620683,2.1578038,"('unhelpful', 'helpful')",1.9620683,2.1578038,0.1957355
12,-1.2399827,-1.1461089,"('unsupportive', 'supportive')",-1.2399827,-1.1461089,0.0938738
13,-0.3574297,-0.23583883,"('impolite', 'polite')",-0.3574297,-0.2358388,0.1215909
14,-0.25097176,-0.2302472,"('antisocial', 'social')",-0.2509718,-0.2302472,0.0207246
15,0.22591579,0.14166592,"('boring', 'funny')",0.2259158,0.1416659,-0.0842499
16,0.039999366,0.060283482,"('unpopular', 'popular')",0.0399994,0.0602835,0.0202841
17,0.102465466,0.13133708,"('nasty', 'nice')",0.1024655,0.1313371,0.0288716
18,-0.35874534,-0.394291,"('disagreeable', 'welcoming')",-0.3587453,-0.394291,-0.0355457
19,-0.37755066,-0.3434653,"('inhospitable', 'hospitable')",-0.3775507,-0.3434653,0.0340854
20,0.6269752,0.44945008,"('rough', 'thoughtful')",0.6269752,0.4494501,-0.1775251
21,-0.36309594,-0.18829826,"('immoral', 'moral')",-0.3630959,-0.1882983,0.1747976
22,-1.0659617,-0.8520057,"('untrustworthy', 'trustworthy')",-1.0659617,-0.8520057,0.213956
23,6.560687,6.7859955,"('insincere', 'sincere')",6.5606871,6.7859955,0.2253084
24,1.5065308,1.6710377,"('dishonest', 'honest')",1.5065308,1.6710377,0.1645069
25,1.2181557,1.1368423,"('egoistic', 'altruistic')",1.2181557,1.1368423,-0.0813134
26,1.1133013,0.7119548,"('hardhearted', 'benevolent')",1.1133013,0.7119548,-0.4013465
27,1.8462341,1.6936578,"('hardhearted', 'softhearted')",1.8462341,1.6936578,-0.1525763
28,1.527342,1.3841687,"('disloyal', 'loyal')",1.527342,1.3841687,-0.1431733
29,-0.5605053,-0.73302704,"('unfair', 'fair')",-0.5605053,-0.733027,-0.1725217
30,0.6894111,0.7801258,"('intolerant', 'tolerant')",0.6894111,0.7801258,0.0907147
31,-0.74272346,-0.9485816,"('evil', 'good')",-0.7427235,-0.9485816,-0.2058581
32,1.3859849,1.2446815,"('unkind', 'kind')",1.3859849,1.2446815,-0.1413034
33,0.3939212,0.3135179,"('wrong', 'right')",0.3939212,0.3135179,-0.0804033
34,4.809285,5.0952973,"('mean', 'honorable')",4.8092852,5.0952973,0.2860121
35,-0.74516463,-0.95215756,"('corrupt', 'incorrupt')",-0.7451646,-0.9521576,-0.206993
36,-0.3705207,-0.61417586,"('hostile', 'amicable')",-0.3705207,-0.6141759,-0.2436552
37,0.8331523,0.84453446,"('fake', 'genuine')",0.8331523,0.8445345,0.0113822
38,0.5306263,0.567714,"('untruthful', 'truthful')",0.5306263,0.567714,0.0370877
39,0.4233064,0.44732314,"('exploitative', 'cooperative')",0.4233064,0.4473231,0.0240167
40,-1.3760995,-1.4089104,"('stingy', 'generous')",-1.3760995,-1.4089104,-0.0328109
41,0.5804564,0.3047358,"('unforgiving', 'forgiving')",0.5804564,0.3047358,-0.2757206
42,-3.0217423,-2.745466,"('unreliable', 'reliable')",-3.0217423,-2.745466,0.2762763
43,0.5523156,0.73489356,"('irresponsible', 'responsible')",0.5523156,0.7348936,0.182578
44,-1.730664,-1.7428048,"('prejudiced', 'unprejudiced')",-1.730664,-1.7428048,-0.0121408
45,-0.10952601,-0.026361536,"('incompetent', 'competent')",-0.109526,-0.0263615,0.0831645
46,-1.2406648,-1.1150687,"('uncompetitive', 'competitive')",-1.2406648,-1.1150687,0.1255961
47,4.9950404,5.149711,"('stupid', 'smart')",4.9950404,5.1497111,0.1546707
48,0.9651871,0.8671132,"('unintelligent', 'intelligent')",0.9651871,0.8671132,-0.0980739
49,0.13005854,0.29700333,"('unable', 'able')",0.1300585,0.2970033,0.1669448
50,-0.11576711,-0.097604,"('clumsy', 'skillful')",-0.1157671,-0.097604,0.0181631
51,0.5524722,0.5796,"('uneducated', 'educated')",0.5524722,0.5796,0.0271278
52,0.3010642,0.13828741,"('irrational', 'rational')",0.3010642,0.1382874,-0.1627768
53,0.3234036,0.25493902,"('uncreative', 'creative')",0.3234036,0.254939,-0.0684646
54,1.1638136,1.3396512,"('incapable', 'capable')",1.1638136,1.3396512,0.1758376
55,0.46054566,0.615949,"('incompetent', 'clever')",0.4605457,0.615949,0.1554033
56,0.24077661,0.48284096,"('impractical', 'practical')",0.2407766,0.482841,0.2420644
57,-2.6369078,-2.658035,"('unimaginative', 'imaginative')",-2.6369078,-2.658035,-0.0211272
58,0.08579622,0.10290905,"('undiscriminating', 'discriminating')",0.0857962,0.1029091,0.0171129
59,0.2748155,0.26277146,"('foolish', 'wise')",0.2748155,0.2627715,-0.012044
60,0.23512907,0.48536167,"('inefficient', 'efficient')",0.2351291,0.4853617,0.2502326
61,0.66366166,0.45001385,"('illogical', 'logical')",0.6636617,0.4500138,-0.2136479
62,0.86590916,1.2238511,"('incompetent', 'brilliant')",0.8659092,1.2238511,0.3579419
63,0.36069113,0.49779385,"('unperceptive', 'insightful')",0.3606911,0.4977939,0.1371028
64,-7.0792394,-6.8576117,"('shy', 'confident')",-7.0792394,-6.8576117,0.2216277
65,-0.46185362,-0.20643328,"('insecure', 'secure')",-0.4618536,-0.2064333,0.2554203
66,-0.5301118,-0.6168425,"('inactive', 'active')",-0.5301118,-0.6168425,-0.0867307
67,-0.36452582,-0.4044951,"('doubtful', 'determined')",-0.3645258,-0.4044951,-0.0399693
68,-0.90390587,-0.8264565,"('dependent', 'independent')",-0.9039059,-0.8264565,0.0774494
69,-1.6463808,-1.7987924,"('lazy', 'industrious')",-1.6463808,-1.7987924,-0.1524116
70,0.25693926,0.5451364,"('lethargic', 'energetic')",0.2569393,0.5451364,0.2881971
71,0.53457904,0.58530974,"('diffident', 'self-confident')",0.534579,0.5853097,0.0507307
72,0.76106083,0.9919747,"('unambitious', 'ambitious')",0.7610608,0.9919747,0.2309139
73,-2.9438443,-2.6343713,"('helpless', 'self-reliant')",-2.9438443,-2.6343713,0.309473
74,0.32783225,0.23430982,"('undedicated', 'dedicated')",0.3278323,0.2343098,-0.0935225
75,-1.2207425,-1.1245496,"('meek', 'impulsive')",-1.2207425,-1.1245496,0.0961929
76,-0.020696858,0.021772768,"('anxious', 'daring')",-0.0206969,0.0217728,0.0424697
77,-1.2994406,-1.1018124,"('unmotivated', 'motivated')",-1.2994406,-1.1018124,0.1976282
78,-0.526566,-0.6393096,"('nonresilient', 'resilient')",-0.526566,-0.6393096,-0.1127436
79,0.073199525,-0.015387762,"('wavering', 'unwavering')",0.0731995,-0.0153878,-0.0885873
80,-0.20094109,-0.1567335,"('dominated', 'dominating')",-0.2009411,-0.1567335,0.0442076
81,-0.6259287,-0.48973602,"('submissive', 'aggressive')",-0.6259287,-0.489736,0.1361927
82,6.032502,6.3267326,"('poor', 'rich')",6.0325022,6.3267326,0.2942304
83,-0.42502093,-0.40328,"('powerless', 'powerful')",-0.4250209,-0.40328,0.0217409
84,0.36033374,0.35578185,"('inferior', 'superior')",0.3603337,0.3557819,-0.0045518
85,-0.13136329,-0.45990327,"('insignificant', 'prestigious')",-0.1313633,-0.4599033,-0.32854
86,0.72275317,0.5785586,"('uninfluential', 'influential')",0.7227532,0.5785586,-0.1441946
87,0.3670016,0.5760494,"('unsuccessful', 'successful')",0.3670016,0.5760494,0.2090478
88,-0.028612394,-0.043941047,"('low', 'eminent')",-0.0286124,-0.043941,-0.0153286
