,cheek_male,cheek_female,tuple,average_male,average_female,female-male
0,0.036611885,0.07632308,"('unsociable', 'sociable')",0.0366119,0.0763231,0.0397112
1,0.9057088,0.8241968,"('unfriendly', 'friendly')",0.9057088,0.8241968,-0.081512
2,-0.21237856,-0.14794841,"('unlikable', 'likable')",-0.2123786,-0.1479484,0.0644302
3,0.62237406,0.7037109,"('repellent', 'pleasant')",0.6223741,0.7037109,0.0813368
4,-7.4212537,-7.6209,"('disliked', 'liked')",-7.4212537,-7.6209002,-0.1996465
5,-0.95074713,-0.98740864,"('distant', 'outgoing')",-0.9507471,-0.9874086,-0.0366615
6,-0.30986375,-0.44375682,"('distant', 'open')",-0.3098637,-0.4437568,-0.1338931
7,1.0122763,1.0708205,"('insensitive', 'sensitive')",1.0122763,1.0708205,0.0585442
8,0.8719154,0.7364544,"('unaffectionate', 'affectionate')",0.8719154,0.7364544,-0.135461
9,1.1419848,1.1429114,"('unaffectionate', 'caring')",1.1419848,1.1429114,0.0009266
10,1.2477814,1.2980595,"('unsympathetic', 'sympathetic')",1.2477814,1.2980595,0.0502781
11,1.3243271,1.3924494,"('unhelpful', 'helpful')",1.3243271,1.3924494,0.0681223
12,-1.9022709,-1.9256448,"('unsupportive', 'supportive')",-1.9022709,-1.9256448,-0.0233739
13,-0.05738948,0.04635507,"('impolite', 'polite')",-0.0573895,0.0463551,0.1037446
14,0.6610306,0.687998,"('antisocial', 'social')",0.6610306,0.687998,0.0269674
15,0.08905936,0.0063304007,"('boring', 'funny')",0.0890594,0.0063304,-0.082729
16,-0.7448638,-0.7450688,"('unpopular', 'popular')",-0.7448638,-0.7450688,-0.000205
17,-0.34866506,-0.31882852,"('nasty', 'nice')",-0.3486651,-0.3188285,0.0298366
18,-0.28072813,-0.33370763,"('disagreeable', 'welcoming')",-0.2807281,-0.3337076,-0.0529795
19,-0.983539,-1.0800072,"('inhospitable', 'hospitable')",-0.983539,-1.0800072,-0.0964682
20,0.9651853,0.9383651,"('rough', 'thoughtful')",0.9651853,0.9383651,-0.0268202
21,-0.3156246,-0.17839599,"('immoral', 'moral')",-0.3156246,-0.178396,0.1372286
22,-0.23923163,-0.23113963,"('untrustworthy', 'trustworthy')",-0.2392316,-0.2311396,0.008092
