,sunedison_male,sunedison_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.65444374,-0.8398097,"('unsociable', 'sociable')",-0.019551547,-0.1988742,-0.3369977,-0.5193419,-0.1823442
1,-2.5922759,-2.5977907,"('unfriendly', 'friendly')",1.2736738,1.020538,-0.659301,-0.7886264,-0.1293254
2,0.05813047,0.12150315,"('unlikable', 'likable')",0.52957636,0.6046056,0.2938534,0.3630544,0.069201
3,-0.18633701,-0.019286755,"('repellent', 'pleasant')",0.06825371,0.17241867,-0.0590416,0.076566,0.1356076
4,-0.6992129,-0.70901114,"('disliked', 'liked')",-5.3608456,-5.355056,-3.0300293,-3.0320334,-0.0020041
5,-1.7979711,-1.6346177,"('distant', 'outgoing')",-0.64612484,-0.66577405,-1.222048,-1.1501958,0.0718522
6,-2.2974193,-2.0748086,"('distant', 'open')",-0.3678721,-0.47275963,-1.3326457,-1.2737842,0.0588615
7,-0.23905863,-0.12046186,"('insensitive', 'sensitive')",0.6963825,0.728802,0.228662,0.3041701,0.0755081
8,-2.0185552,-1.9392277,"('unaffectionate', 'affectionate')",0.42921537,0.26360282,-0.7946699,-0.8378124,-0.0431425
9,-2.094173,-2.006644,"('unaffectionate', 'caring')",0.7339948,0.63322693,-0.6800891,-0.6867086,-0.0066195
10,-0.86203104,-0.8691531,"('unsympathetic', 'sympathetic')",0.037581906,-0.074080065,-0.4122246,-0.4716166,-0.059392
11,-0.29236302,-0.29752156,"('unhelpful', 'helpful')",1.852845,1.8986342,0.780241,0.8005563,0.0203153
12,-1.0368106,-0.8220159,"('unsupportive', 'supportive')",-1.4158155,-1.3520889,-1.2263131,-1.0870523,0.1392608
13,0.31801528,0.19955447,"('impolite', 'polite')",-0.07648179,0.007587485,0.1207667,0.103571,-0.0171957
14,0.6033708,0.6426979,"('antisocial', 'social')",0.05407906,0.09053597,0.3287249,0.3666169,0.037892
15,0.08496479,-0.07400074,"('boring', 'funny')",0.58842784,0.5545814,0.3366963,0.2402903,-0.096406
16,-0.6119046,-0.58759964,"('unpopular', 'popular')",0.2945593,0.41574618,-0.1586727,-0.0859267,0.072746
17,-0.5287291,-0.44548532,"('nasty', 'nice')",-0.5617133,-0.5245159,-0.5452212,-0.4850006,0.0602206
18,-0.19599016,0.026957668,"('disagreeable', 'welcoming')",-0.47600412,-0.51940465,-0.3359971,-0.2462235,0.0897736
19,-1.449338,-1.3429946,"('inhospitable', 'hospitable')",-0.4881642,-0.5292855,-0.9687511,-0.9361401,0.032611
20,0.27722633,0.43314856,"('rough', 'thoughtful')",1.1561315,1.1049217,0.7166789,0.7690351,0.0523562
21,0.30627877,0.15985909,"('immoral', 'moral')",-0.2830034,-0.2524167,0.0116377,-0.0462788,-0.0579165
22,-0.08185381,0.03122941,"('untrustworthy', 'trustworthy')",-0.7201482,-0.72742784,-0.401001,-0.3480992,0.0529018
23,-0.07663202,-0.05833628,"('insincere', 'sincere')",4.9666953,4.939582,2.4450316,2.4406228,-0.0044088
24,-0.55036885,-0.54875726,"('dishonest', 'honest')",0.55321336,0.5306517,0.0014223,-0.0090528,-0.0104751
25,-1.066507,-0.981846,"('egoistic', 'altruistic')",1.2153828,1.1116548,0.0744379,0.0649044,-0.0095335
26,-0.19087958,-0.22271007,"('hardhearted', 'benevolent')",1.5583421,1.3381121,0.6837313,0.557701,-0.1260303
27,-0.9828205,-0.6979717,"('hardhearted', 'softhearted')",0.88074034,0.79038066,-0.0510401,0.0462045,0.0972446
28,-0.71426857,-0.82499427,"('disloyal', 'loyal')",0.7576463,0.62199116,0.0216889,-0.1015016,-0.1231905
29,-0.54831064,-0.5238763,"('unfair', 'fair')",-0.70275056,-0.8506729,-0.6255306,-0.6872746,-0.061744
30,1.1400187,1.1069099,"('intolerant', 'tolerant')",1.9148068,1.8683397,1.5274128,1.4876248,-0.039788
31,-1.7823622,-1.7381134,"('evil', 'good')",-1.3597476,-1.4759783,-1.5710549,-1.6070459,-0.035991
32,-0.20507026,-0.20711362,"('unkind', 'kind')",0.7637197,0.6207526,0.2793247,0.2068195,-0.0725052
33,-0.36610824,-0.36887562,"('wrong', 'right')",-0.5683275,-0.62551826,-0.4672179,-0.4971969,-0.029979
34,-0.1130835,-0.07300773,"('mean', 'honorable')",5.130692,5.237261,2.5088043,2.5821266,0.0733223
35,-0.89277637,-0.9180017,"('corrupt', 'incorrupt')",-0.3704869,-0.5065544,-0.6316316,-0.7122781,-0.0806465
36,-1.9583856,-1.934657,"('hostile', 'amicable')",-0.31691715,-0.55384886,-1.1376513,-1.2442529,-0.1066016
37,-0.0043212883,0.05311652,"('fake', 'genuine')",0.34549206,0.3076007,0.1705854,0.1803586,0.0097732
38,-1.013994,-1.0131059,"('untruthful', 'truthful')",-0.110218436,-0.034975473,-0.5621062,-0.5240407,0.0380655
39,0.5834192,0.601216,"('exploitative', 'cooperative')",0.08353775,0.07273213,0.3334785,0.3369741,0.0034956
40,-0.16423972,-0.09013745,"('stingy', 'generous')",-1.0629495,-1.0663986,-0.6135947,-0.5782681,0.0353266
41,-0.13013907,-0.1750456,"('unforgiving', 'forgiving')",0.22752458,0.13534865,0.0486928,-0.0198485,-0.0685413
42,0.6210625,0.7880475,"('unreliable', 'reliable')",-2.3959043,-2.3161662,-0.8874209,-0.7640593,0.1233616
