,satellite_male,satellite_female,tuple,average_male,average_female,female-male
0,0.116604954,-0.0968903,"('unsociable', 'sociable')",0.116605,-0.0968903,-0.2134953
1,1.314522,1.3013241,"('unfriendly', 'friendly')",1.314522,1.3013241,-0.0131979
2,0.6190576,0.73098385,"('unlikable', 'likable')",0.6190576,0.7309839,0.1119263
3,0.71003,0.93652195,"('repellent', 'pleasant')",0.71003,0.9365219,0.2264919
4,-7.193946,-7.2221785,"('disliked', 'liked')",-7.1939459,-7.2221785,-0.0282326
5,-0.510285,-0.33625185,"('distant', 'outgoing')",-0.510285,-0.3362519,0.1740331
6,-0.27640536,-0.03257771,"('distant', 'open')",-0.2764054,-0.0325777,0.2438277
7,0.37468016,0.49253067,"('insensitive', 'sensitive')",0.3746802,0.4925307,0.1178505
8,1.2429236,1.2525845,"('unaffectionate', 'affectionate')",1.2429236,1.2525845,0.0096609
9,1.6597253,1.754657,"('unaffectionate', 'caring')",1.6597253,1.754657,0.0949317
10,0.90656304,1.0590125,"('unsympathetic', 'sympathetic')",0.906563,1.0590125,0.1524495
11,2.0672328,2.0675814,"('unhelpful', 'helpful')",2.0672328,2.0675814,0.0003486
12,-1.5905781,-1.6103201,"('unsupportive', 'supportive')",-1.5905781,-1.6103201,-0.019742
13,0.17324618,0.01913651,"('impolite', 'polite')",0.1732462,0.0191365,-0.1541097
14,-0.3460776,-0.47953087,"('antisocial', 'social')",-0.3460776,-0.4795309,-0.1334533
15,0.32213497,0.19091567,"('boring', 'funny')",0.322135,0.1909157,-0.1312193
16,-0.13286312,-0.122760035,"('unpopular', 'popular')",-0.1328631,-0.12276,0.0101031
17,-0.17824458,-0.1623588,"('nasty', 'nice')",-0.1782446,-0.1623588,0.0158858
18,-0.7901686,-0.84381926,"('disagreeable', 'welcoming')",-0.7901686,-0.8438193,-0.0536507
19,-0.72331846,-0.55037093,"('inhospitable', 'hospitable')",-0.7233185,-0.5503709,0.1729476
20,0.7921993,0.61654,"('rough', 'thoughtful')",0.7921993,0.61654,-0.1756593
21,-0.33997226,-0.16885334,"('immoral', 'moral')",-0.3399723,-0.1688533,0.171119
