,typewriter_male,typewriter_female,tuple,average_male,average_female,female-male
0,-0.5134,-0.50314295,"('unsociable', 'sociable')",-0.5134,-0.503143,0.010257
1,1.2384924,1.0648437,"('unfriendly', 'friendly')",1.2384924,1.0648437,-0.1736487
2,-0.1261667,-0.07444688,"('unlikable', 'likable')",-0.1261667,-0.0744469,0.0517198
3,-0.61104876,-0.49420375,"('repellent', 'pleasant')",-0.6110488,-0.4942037,0.1168451
4,-3.8257236,-3.9494739,"('disliked', 'liked')",-3.8257236,-3.9494739,-0.1237503
5,0.37782446,0.29861706,"('distant', 'outgoing')",0.3778245,0.2986171,-0.0792074
6,0.46407342,0.39519522,"('distant', 'open')",0.4640734,0.3951952,-0.0688782
7,-0.13025539,0.017075965,"('insensitive', 'sensitive')",-0.1302554,0.017076,0.1473314
8,0.767037,0.61966985,"('unaffectionate', 'affectionate')",0.767037,0.6196699,-0.1473671
9,1.0819997,0.9984625,"('unaffectionate', 'caring')",1.0819997,0.9984625,-0.0835372
10,-0.80576336,-0.66926676,"('unsympathetic', 'sympathetic')",-0.8057634,-0.6692668,0.1364966
11,0.27237567,0.42891112,"('unhelpful', 'helpful')",0.2723757,0.4289111,0.1565354
12,-1.0355526,-0.97798055,"('unsupportive', 'supportive')",-1.0355526,-0.9779806,0.057572
13,-0.37649757,-0.2453286,"('impolite', 'polite')",-0.3764976,-0.2453286,0.131169
14,-0.98155826,-0.95557797,"('antisocial', 'social')",-0.9815583,-0.955578,0.0259803
15,0.7127627,0.5984834,"('boring', 'funny')",0.7127627,0.5984834,-0.1142793
16,-0.17950277,-0.27180642,"('unpopular', 'popular')",-0.1795028,-0.2718064,-0.0923036
17,0.089467205,0.14297596,"('nasty', 'nice')",0.0894672,0.142976,0.0535088
18,-0.8475808,-0.8734668,"('disagreeable', 'welcoming')",-0.8475808,-0.8734668,-0.025886
19,-0.5560832,-0.5643539,"('inhospitable', 'hospitable')",-0.5560832,-0.5643539,-0.0082707
20,0.4485923,0.5018804,"('rough', 'thoughtful')",0.4485923,0.5018804,0.0532881
21,-0.9230509,-0.70989364,"('immoral', 'moral')",-0.9230509,-0.7098936,0.2131573
22,-0.88177776,-0.8462766,"('untrustworthy', 'trustworthy')",-0.8817778,-0.8462766,0.0355012
23,3.0427513,3.1900284,"('insincere', 'sincere')",3.0427513,3.1900284,0.1472771
24,0.8126007,0.8667535,"('dishonest', 'honest')",0.8126007,0.8667535,0.0541528
25,1.1773258,1.0865583,"('egoistic', 'altruistic')",1.1773258,1.0865583,-0.0907675
