,prince_male,prince_female,tuple,average_male,average_female,female-male
0,0.21420643,0.2761448,"('unsociable', 'sociable')",0.2142064,0.2761448,0.0619384
1,0.8298783,0.812178,"('unfriendly', 'friendly')",0.8298783,0.812178,-0.0177003
2,0.05717862,0.052481864,"('unlikable', 'likable')",0.0571786,0.0524819,-0.0046967
3,0.46557796,0.5345264,"('repellent', 'pleasant')",0.465578,0.5345264,0.0689484
4,-7.384714,-7.605432,"('disliked', 'liked')",-7.3847141,-7.605432,-0.2207179
5,-0.81752956,-0.8848807,"('distant', 'outgoing')",-0.8175296,-0.8848807,-0.0673511
6,-0.30573493,-0.44488195,"('distant', 'open')",-0.3057349,-0.4448819,-0.139147
7,1.055114,1.2490139,"('insensitive', 'sensitive')",1.055114,1.2490139,0.1938999
8,1.3074112,1.176133,"('unaffectionate', 'affectionate')",1.3074112,1.176133,-0.1312782
9,1.6342863,1.651237,"('unaffectionate', 'caring')",1.6342863,1.651237,0.0169507
10,0.9766914,1.0859224,"('unsympathetic', 'sympathetic')",0.9766914,1.0859224,0.109231
11,1.4532442,1.6998178,"('unhelpful', 'helpful')",1.4532442,1.6998178,0.2465736
12,-1.7485524,-1.6850408,"('unsupportive', 'supportive')",-1.7485524,-1.6850408,0.0635116
13,-0.3039306,-0.1289052,"('impolite', 'polite')",-0.3039306,-0.1289052,0.1750254
14,0.5162951,0.55296373,"('antisocial', 'social')",0.5162951,0.5529637,0.0366686
15,0.036547866,-0.06869072,"('boring', 'funny')",0.0365479,-0.0686907,-0.1052386
16,-0.68282527,-0.6919404,"('unpopular', 'popular')",-0.6828253,-0.6919404,-0.0091151
17,-0.2684691,-0.25887364,"('nasty', 'nice')",-0.2684691,-0.2588736,0.0095955
18,-0.46063256,-0.53172207,"('disagreeable', 'welcoming')",-0.4606326,-0.5317221,-0.0710895
19,-0.62816745,-0.63323367,"('inhospitable', 'hospitable')",-0.6281675,-0.6332337,-0.0050662
20,0.66670513,0.6739296,"('rough', 'thoughtful')",0.6667051,0.6739296,0.0072245
21,-0.46039522,-0.27966455,"('immoral', 'moral')",-0.4603952,-0.2796645,0.1807307
22,-0.35200065,-0.40299544,"('untrustworthy', 'trustworthy')",-0.3520007,-0.4029954,-0.0509947
