,centimeter_male,centimeter_female,tuple,average_male,average_female,female-male
0,-0.442993,-0.59076655,"('unsociable', 'sociable')",-0.442993,-0.5907665,-0.1477735
1,0.122146964,-0.06661844,"('unfriendly', 'friendly')",0.122147,-0.0666184,-0.1887654
2,0.011544346,0.023795648,"('unlikable', 'likable')",0.0115443,0.0237956,0.0122513
3,-0.5823029,-0.5082562,"('repellent', 'pleasant')",-0.5823029,-0.5082562,0.0740467
4,-3.6063762,-3.7002127,"('disliked', 'liked')",-3.6063762,-3.7002127,-0.0938365
5,-1.2708265,-1.2798481,"('distant', 'outgoing')",-1.2708265,-1.2798481,-0.0090216
6,-1.2914803,-1.2998031,"('distant', 'open')",-1.2914803,-1.2998031,-0.0083228
7,0.47122437,0.48437628,"('insensitive', 'sensitive')",0.4712244,0.4843763,0.0131519
8,0.28445506,0.12890291,"('unaffectionate', 'affectionate')",0.2844551,0.1289029,-0.1555522
9,0.3444148,0.20151027,"('unaffectionate', 'caring')",0.3444148,0.2015103,-0.1429045
10,-0.32983294,-0.35809994,"('unsympathetic', 'sympathetic')",-0.3298329,-0.3580999,-0.028267
11,0.8136391,0.79391366,"('unhelpful', 'helpful')",0.8136391,0.7939137,-0.0197254
12,-1.3183584,-1.3953464,"('unsupportive', 'supportive')",-1.3183584,-1.3953464,-0.076988
13,-0.5002303,-0.5340826,"('impolite', 'polite')",-0.5002303,-0.5340826,-0.0338523
14,-0.37865505,-0.4273684,"('antisocial', 'social')",-0.378655,-0.4273684,-0.0487134
15,0.42150152,0.27611884,"('boring', 'funny')",0.4215015,0.2761188,-0.1453827
16,-0.44595674,-0.47716698,"('unpopular', 'popular')",-0.4459567,-0.477167,-0.0312103
17,-0.24048012,-0.27774897,"('nasty', 'nice')",-0.2404801,-0.277749,-0.0372689
18,-0.57535666,-0.62261343,"('disagreeable', 'welcoming')",-0.5753567,-0.6226134,-0.0472567
19,-1.1321821,-1.1166551,"('inhospitable', 'hospitable')",-1.1321821,-1.1166551,0.015527
20,0.74257886,0.7901556,"('rough', 'thoughtful')",0.7425789,0.7901556,0.0475767
21,-0.2331599,-0.22074981,"('immoral', 'moral')",-0.2331599,-0.2207498,0.0124101
22,-0.50543785,-0.53268516,"('untrustworthy', 'trustworthy')",-0.5054379,-0.5326852,-0.0272473
23,3.0339696,3.003508,"('insincere', 'sincere')",3.0339696,3.0035081,-0.0304615
24,-0.06356457,-0.14280488,"('dishonest', 'honest')",-0.0635646,-0.1428049,-0.0792403
25,0.055232905,-0.023085732,"('egoistic', 'altruistic')",0.0552329,-0.0230857,-0.0783186
26,0.90679353,0.7487844,"('hardhearted', 'benevolent')",0.9067935,0.7487844,-0.1580091
27,1.0282643,1.0347662,"('hardhearted', 'softhearted')",1.0282643,1.0347662,0.0065019
28,1.1486704,0.9877961,"('disloyal', 'loyal')",1.1486704,0.9877961,-0.1608743
29,-0.5929428,-0.60090816,"('unfair', 'fair')",-0.5929428,-0.6009082,-0.0079654
30,0.46102366,0.44797933,"('intolerant', 'tolerant')",0.4610237,0.4479793,-0.0130444
31,-1.0504013,-1.0375872,"('evil', 'good')",-1.0504013,-1.0375872,0.0128141
32,0.29596817,0.1957559,"('unkind', 'kind')",0.2959682,0.1957559,-0.1002123
33,-0.16717595,-0.28283376,"('wrong', 'right')",-0.1671759,-0.2828338,-0.1156579
34,2.103372,2.2419658,"('mean', 'honorable')",2.1033721,2.2419658,0.1385937
35,0.04573742,-0.043299656,"('corrupt', 'incorrupt')",0.0457374,-0.0432997,-0.0890371
36,-0.6166045,-0.6927754,"('hostile', 'amicable')",-0.6166045,-0.6927754,-0.0761709
37,0.71589404,0.7227161,"('fake', 'genuine')",0.715894,0.7227161,0.0068221
38,-0.030765519,-0.09307322,"('untruthful', 'truthful')",-0.0307655,-0.0930732,-0.0623077
39,0.8646876,0.9124678,"('exploitative', 'cooperative')",0.8646876,0.9124678,0.0477802
40,-0.9855406,-1.0978678,"('stingy', 'generous')",-0.9855406,-1.0978678,-0.1123272
41,0.2645169,0.16984513,"('unforgiving', 'forgiving')",0.2645169,0.1698451,-0.0946718
42,-1.5934169,-1.4979584,"('unreliable', 'reliable')",-1.5934169,-1.4979584,0.0954585
43,-0.06487843,0.0056911707,"('irresponsible', 'responsible')",-0.0648784,0.0056912,0.0705696
44,-1.141509,-1.0582836,"('prejudiced', 'unprejudiced')",-1.1415091,-1.0582836,0.0832255
45,-0.37141308,-0.39330095,"('incompetent', 'competent')",-0.3714131,-0.393301,-0.0218879
46,-0.7784113,-0.7002325,"('uncompetitive', 'competitive')",-0.7784113,-0.7002325,0.0781788
47,2.0188947,2.0998552,"('stupid', 'smart')",2.0188947,2.0998552,0.0809605
48,0.64517957,0.66340584,"('unintelligent', 'intelligent')",0.6451796,0.6634058,0.0182262
49,0.0006200783,0.17255639,"('unable', 'able')",0.0006201,0.1725564,0.1719363
50,0.0045350445,0.023436096,"('clumsy', 'skillful')",0.004535,0.0234361,0.0189011
51,-0.34610558,-0.4171936,"('uneducated', 'educated')",-0.3461056,-0.4171936,-0.071088
52,-0.935638,-1.1162074,"('irrational', 'rational')",-0.935638,-1.1162074,-0.1805694
53,-0.93929076,-0.9365779,"('uncreative', 'creative')",-0.9392908,-0.9365779,0.0027129
54,-0.066901684,-0.11021239,"('incapable', 'capable')",-0.0669017,-0.1102124,-0.0433107
55,0.33292618,0.38439772,"('incompetent', 'clever')",0.3329262,0.3843977,0.0514715
56,0.47276187,0.45953894,"('impractical', 'practical')",0.4727619,0.4595389,-0.013223
57,-2.3122308,-2.347759,"('unimaginative', 'imaginative')",-2.3122308,-2.347759,-0.0355282
58,0.37126157,0.39011163,"('undiscriminating', 'discriminating')",0.3712616,0.3901116,0.01885
59,-0.60749406,-0.6301279,"('foolish', 'wise')",-0.6074941,-0.6301279,-0.0226338
60,0.54022413,0.6325423,"('inefficient', 'efficient')",0.5402241,0.6325423,0.0923182
61,-0.13136846,-0.25985286,"('illogical', 'logical')",-0.1313685,-0.2598529,-0.1284844
62,0.22706217,0.28993958,"('incompetent', 'brilliant')",0.2270622,0.2899396,0.0628774
63,-0.2629732,-0.19476762,"('unperceptive', 'insightful')",-0.2629732,-0.1947676,0.0682056
64,-3.5729828,-3.5847414,"('shy', 'confident')",-3.5729828,-3.5847414,-0.0117586
65,0.264759,0.3055799,"('insecure', 'secure')",0.264759,0.3055799,0.0408209
66,-0.9487965,-0.9786776,"('inactive', 'active')",-0.9487965,-0.9786776,-0.0298811
