,broadcom_male,broadcom_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.1140056,-1.1691066,"('unsociable', 'sociable')",-0.42282367,-0.52477044,-0.7684146,-0.8469385,-0.0785239
1,-0.4811406,-0.69330645,"('unfriendly', 'friendly')",2.1221137,2.040532,0.8204865,0.6736128,-0.1468737
2,0.5844387,0.59080696,"('unlikable', 'likable')",0.47489336,0.5676504,0.529666,0.5792286,0.0495626
3,-0.16243175,-0.089864254,"('repellent', 'pleasant')",-0.06817353,-0.039555244,-0.1153026,-0.0647098,0.0505928
4,0.021600513,-0.11985496,"('disliked', 'liked')",-6.2220354,-6.4046855,-3.1002173,-3.2622702,-0.1620529
5,-0.49733996,-0.54976815,"('distant', 'outgoing')",-0.0130908415,-0.012485903,-0.2552154,-0.281127,-0.0259116
6,-0.66976285,-0.7039843,"('distant', 'open')",0.6664529,0.613144,-0.001655,-0.0454202,-0.0437652
7,-0.6019179,-0.5724518,"('insensitive', 'sensitive')",0.45497647,0.45095718,-0.0734707,-0.0607473,0.0127234
8,-0.65234625,-0.7764909,"('unaffectionate', 'affectionate')",1.1261877,1.0262228,0.2369207,0.1248659,-0.1120548
9,-0.5951796,-0.68184274,"('unaffectionate', 'caring')",1.2089043,1.168635,0.3068623,0.2433961,-0.0634662
10,-0.84577256,-0.78732204,"('unsympathetic', 'sympathetic')",-0.75304353,-0.7705197,-0.7994081,-0.7789209,0.0204872
11,-0.5051475,-0.4425202,"('unhelpful', 'helpful')",1.1526548,1.2378498,0.3237536,0.3976648,0.0739112
12,-0.51430964,-0.45032045,"('unsupportive', 'supportive')",-2.0472252,-2.0539775,-1.2807674,-1.252149,0.0286184
13,-0.7528882,-0.6848625,"('impolite', 'polite')",-0.8961322,-0.86272484,-0.8245102,-0.7737937,0.0507165
14,0.7941824,0.8226881,"('antisocial', 'social')",-0.544727,-0.57863533,0.1247277,0.1220264,-0.0027013
15,-0.068713784,-0.18704307,"('boring', 'funny')",0.6980466,0.6555265,0.3146664,0.2342417,-0.0804247
16,-0.6842666,-0.7256572,"('unpopular', 'popular')",0.37574726,0.3579586,-0.1542597,-0.1838493,-0.0295896
17,-0.34472123,-0.3194236,"('nasty', 'nice')",-0.3759794,-0.31241667,-0.3603503,-0.3159201,0.0444302
