,nxp_male,nxp_female,tuple,semiconductors_male,semiconductors_female,n_male,n_female,v_male,v_female,average_male,average_female,female-male
0,-0.6106286,-0.73094213,"('unsociable', 'sociable')",0.0757675,0.02049452,0.86865425,0.7776346,0.53388935,0.48701343,0.2169206,0.1385501,-0.0783705
1,-2.2040782,-2.3697853,"('unfriendly', 'friendly')",-0.14868565,-0.5175213,-1.4320557,-1.4508269,0.12631488,-0.1398944,-0.9146262,-1.1195071,-0.2048809
2,0.8744726,0.86541975,"('unlikable', 'likable')",1.25437,1.2341335,1.3071636,1.3876547,0.97584,1.0156621,1.1029615,1.1257175,0.022756
3,0.23660755,0.25018033,"('repellent', 'pleasant')",-0.45176303,-0.38313133,1.4926915,1.5353547,0.5183621,0.7004935,0.4489745,0.5257243,0.0767498
4,0.13932854,0.13803566,"('disliked', 'liked')",0.014678527,0.014458198,0.47937107,0.63441974,-4.1851106,-4.1320024,-0.8879331,-0.8362722,0.0516609
5,-0.9103005,-0.86473995,"('distant', 'outgoing')",-0.81941926,-0.85757333,-0.8207149,-0.6313934,-1.0667793,-1.0398132,-0.9043034,-0.84838,0.0559234
6,-1.2543453,-1.1792727,"('distant', 'open')",-1.0293652,-1.1289334,-0.68189603,-0.4780951,-0.44363257,-0.5000507,-0.8523098,-0.821588,0.0307218
7,-0.74705166,-0.7804995,"('insensitive', 'sensitive')",-0.34526855,-0.2933675,-0.8678334,-0.8641026,-0.027938277,-0.08702196,-0.497023,-0.5062479,-0.0092249
8,-1.7115551,-1.8721495,"('unaffectionate', 'affectionate')",-0.2815873,-0.53258663,-1.3179379,-1.3711677,-0.6592722,-0.9405963,-0.9925881,-1.179125,-0.1865369
9,-1.6213934,-1.7850684,"('unaffectionate', 'caring')",-0.13536622,-0.39012897,-0.6132069,-0.6527792,0.63439655,0.44836867,-0.4338925,-0.594902,-0.1610095
10,-1.2434013,-1.3443681,"('unsympathetic', 'sympathetic')",-1.1431012,-1.1509116,0.12930398,0.076110065,0.13935915,0.052075036,-0.5294598,-0.5917736,-0.0623138
11,0.35039917,0.31483853,"('unhelpful', 'helpful')",0.9826997,1.0193393,0.9743967,0.9490773,2.302074,2.224179,1.1523924,1.1268585,-0.0255339
12,-0.667297,-0.6585981,"('unsupportive', 'supportive')",0.07603945,0.16259018,0.2565006,0.36524493,-0.6069248,-0.6029294,-0.2354204,-0.1834231,0.0519973
13,-0.47097325,-0.43139458,"('impolite', 'polite')",0.43801808,0.58213353,-0.11275196,-0.1592738,-0.10362187,-0.061107688,-0.0623323,-0.0174106,0.0449217
14,0.5028301,0.44886413,"('antisocial', 'social')",0.6462166,0.70827216,1.4749826,1.3755599,0.11919432,0.19659218,0.6858059,0.6823221,-0.0034838
15,0.6031414,0.55897516,"('boring', 'funny')",0.067073084,0.0069200657,0.3709261,0.36623436,0.20314562,0.17477491,0.3110716,0.2767261,-0.0343455
16,0.22013834,0.12971571,"('unpopular', 'popular')",0.30035618,0.18599415,-0.13479058,-0.1192005,1.1541535,1.1499641,0.3849643,0.3366184,-0.0483459
17,-0.07064625,-0.013834912,"('nasty', 'nice')",-0.6001164,-0.44274223,0.08863953,0.15805532,0.13055699,0.1905048,-0.1128915,-0.0270043,0.0858872
18,-0.88365734,-0.90532815,"('disagreeable', 'welcoming')",-0.07507259,-0.14500833,-0.6024451,-0.5510183,-0.73329014,-0.85609555,-0.5736163,-0.6143626,-0.0407463
19,-1.0638984,-1.0521648,"('inhospitable', 'hospitable')",-0.5748095,-0.62106556,-0.5044446,-0.42495292,-0.025916792,-0.027980052,-0.5422673,-0.5315409,0.0107264
20,-0.33000702,-0.40061933,"('rough', 'thoughtful')",0.25158188,0.23042998,0.24951786,0.20581448,-0.33683404,-0.45413232,-0.0414353,-0.1046268,-0.0631915
21,-0.17969832,-0.23991452,"('immoral', 'moral')",-0.149701,-0.13075855,0.80741847,0.72722906,0.8511667,0.94075537,0.3322965,0.3243278,-0.0079687
22,-0.11115512,-0.17935196,"('untrustworthy', 'trustworthy')",-0.19007984,-0.23280993,-0.09703567,-0.11588262,-0.33911982,-0.34393877,-0.1843476,-0.2179958,-0.0336482
23,-0.94201577,-1.0526195,"('insincere', 'sincere')",-0.06225176,-0.11342241,0.06299558,0.025174249,4.182081,4.0603514,0.8102023,0.7298709,-0.0803314
24,-0.5256249,-0.53207713,"('dishonest', 'honest')",-1.4318566,-1.4330131,-0.8743226,-0.8968334,-0.12107542,-0.27865064,-0.7382199,-0.7851436,-0.0469237
25,-1.4091939,-1.4580833,"('egoistic', 'altruistic')",0.5208927,0.3727265,-0.025455877,-0.09437584,0.22787023,0.12735897,-0.1714717,-0.2630934,-0.0916217
26,-0.87825406,-0.94588387,"('hardhearted', 'benevolent')",0.44656944,0.32449588,0.10169461,0.10193785,0.15221646,-0.0810577,-0.0444434,-0.150127,-0.1056836
27,-1.5506837,-1.6218942,"('hardhearted', 'softhearted')",-1.0674512,-1.0985917,-1.4773536,-1.5961506,0.5577222,0.26051876,-0.8844416,-1.0140295,-0.1295879
28,-0.43893474,-0.61545825,"('disloyal', 'loyal')",0.33136493,0.11936632,0.43023255,0.25140715,1.5580368,1.2139571,0.4701749,0.2423181,-0.2278568
29,-0.095227346,-0.18451937,"('unfair', 'fair')",-1.5357716,-1.5793382,-0.16999242,-0.17701529,0.5279928,0.4886822,-0.3182496,-0.3630477,-0.0447981
30,0.15930247,0.086935714,"('intolerant', 'tolerant')",0.451071,0.47431368,-0.6066238,-0.56795585,-0.2618757,-0.23020968,-0.0645315,-0.059229,0.0053025
31,-1.2573707,-1.1864834,"('evil', 'good')",-0.5029162,-0.5157069,-1.4375912,-1.158672,-0.82729185,-0.9153525,-1.0062925,-0.9440537,0.0622388
32,-0.3351177,-0.50587904,"('unkind', 'kind')",0.40761253,0.29581487,0.13498959,-0.11798467,1.1204482,0.9268748,0.3319831,0.1497065,-0.1822766
33,0.30127096,0.22152036,"('wrong', 'right')",0.4163323,0.27808097,0.46128005,0.4109164,-0.03687079,-0.08344156,0.2855031,0.206769,-0.0787341
34,-0.35231844,-0.19932608,"('mean', 'honorable')",-0.11855163,0.06187649,-0.1295829,0.0785307,2.9166424,3.0653841,0.5790474,0.7516163,0.1725689
35,0.08945925,0.004175999,"('corrupt', 'incorrupt')",-0.23494542,-0.3528887,-0.8393005,-1.0068269,-0.622394,-0.747377,-0.4017952,-0.5257291,-0.1239339
36,-0.30727315,-0.40642852,"('hostile', 'amicable')",0.09226731,-0.16772166,-0.949221,-0.91552114,0.08881384,-0.022593886,-0.2688532,-0.3780663,-0.1092131
37,-0.4743872,-0.5292184,"('fake', 'genuine')",-0.49737495,-0.5543622,-0.20072241,-0.3143185,-0.1116977,-0.21994191,-0.3210456,-0.4044603,-0.0834147
38,-0.7779804,-0.7732192,"('untruthful', 'truthful')",-0.06276234,-0.07345115,-0.37731943,-0.29330438,0.36620864,0.31279504,-0.2129634,-0.2067949,0.0061685
39,0.74116415,0.78815985,"('exploitative', 'cooperative')",0.76756173,0.9123796,0.20185207,0.27534872,0.36024347,0.4082302,0.5177054,0.5960296,0.0783242
40,-0.053328834,-0.09437512,"('stingy', 'generous')",0.2649762,0.26044974,0.3477563,0.4069837,-1.3549542,-1.4013759,-0.1988876,-0.2070794,-0.0081918
41,-0.9549299,-0.9906509,"('unforgiving', 'forgiving')",-0.10912783,-0.108035475,-0.6562588,-0.55346084,0.26294678,0.16231117,-0.3643425,-0.372459,-0.0081165
42,0.11334851,0.19904782,"('unreliable', 'reliable')",-0.88323253,-0.6897708,0.14860836,0.39561206,-2.8618264,-2.6573005,-0.8707755,-0.6881028,0.1826727
43,-0.5216102,-0.48730183,"('irresponsible', 'responsible')",-0.61220926,-0.4949161,-0.1114809,0.0310454,0.5516751,0.57023615,-0.1734063,-0.0952341,0.0781722
44,1.4951186,1.5702863,"('prejudiced', 'unprejudiced')",-0.5147106,-0.37242812,0.32400674,0.4247347,-1.4312078,-1.318877,-0.0316983,0.075929,0.1076273
45,-0.4923197,-0.55764097,"('incompetent', 'competent')",-0.55675024,-0.47749537,0.743822,0.91129935,0.79230106,0.7486375,0.1217633,0.1562001,0.0344368
46,-0.32148978,-0.39554593,"('uncompetitive', 'competitive')",0.35111025,0.38570327,0.30353123,0.29429352,0.3892688,0.42302927,0.1806051,0.17687,-0.0037351
