,jeweller_male,jeweller_female,tuple,average_male,average_female,female-male
0,0.84349126,0.8259176,"('unsociable', 'sociable')",0.8434913,0.8259176,-0.0175737
1,0.42079398,0.3108972,"('unfriendly', 'friendly')",0.420794,0.3108972,-0.1098968
2,0.6057269,0.60909545,"('unlikable', 'likable')",0.6057269,0.6090955,0.0033686
3,-0.41083282,-0.18528152,"('repellent', 'pleasant')",-0.4108328,-0.1852815,0.2255513
4,-3.1967354,-3.3261085,"('disliked', 'liked')",-3.1967354,-3.3261085,-0.1293731
5,-0.4437084,-0.5052405,"('distant', 'outgoing')",-0.4437084,-0.5052405,-0.0615321
6,-0.47411716,-0.5642934,"('distant', 'open')",-0.4741172,-0.5642934,-0.0901762
7,0.9936703,1.0172023,"('insensitive', 'sensitive')",0.9936703,1.0172023,0.023532
8,0.69455063,0.49735555,"('unaffectionate', 'affectionate')",0.6945506,0.4973556,-0.197195
9,0.73679066,0.6036629,"('unaffectionate', 'caring')",0.7367907,0.6036629,-0.1331278
10,0.18359703,0.22609124,"('unsympathetic', 'sympathetic')",0.183597,0.2260912,0.0424942
11,0.55467683,0.56008554,"('unhelpful', 'helpful')",0.5546768,0.5600855,0.0054087
12,-0.5929606,-0.6340757,"('unsupportive', 'supportive')",-0.5929606,-0.6340757,-0.0411151
13,0.5989547,0.60299146,"('impolite', 'polite')",0.5989547,0.6029915,0.0040368
14,0.8586435,0.8741369,"('antisocial', 'social')",0.8586435,0.8741369,0.0154934
15,0.5253137,0.38240808,"('boring', 'funny')",0.5253137,0.3824081,-0.1429056
16,0.071180284,0.16871217,"('unpopular', 'popular')",0.0711803,0.1687122,0.0975319
17,-0.01265534,0.022302907,"('nasty', 'nice')",-0.0126553,0.0223029,0.0349582
18,-1.0099863,-0.918495,"('disagreeable', 'welcoming')",-1.0099863,-0.918495,0.0914913
19,-0.21746059,-0.14070472,"('inhospitable', 'hospitable')",-0.2174606,-0.1407047,0.0767559
20,0.1802783,0.22885692,"('rough', 'thoughtful')",0.1802783,0.2288569,0.0485786
21,-0.67572,-0.46579704,"('immoral', 'moral')",-0.67572,-0.465797,0.209923
