,resmed_male,resmed_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.6429367,0.63719064,"('unsociable', 'sociable')",-0.20274934,-0.29123566,0.2200937,0.1729775,-0.0471162
1,-0.56469446,-0.5951243,"('unfriendly', 'friendly')",1.7690609,1.6668683,0.6021832,0.535872,-0.0663112
2,0.47574645,0.5587557,"('unlikable', 'likable')",0.65271175,0.7074785,0.5642291,0.6331171,0.068888
3,-0.2198443,-0.08640469,"('repellent', 'pleasant')",-0.19248602,-0.14507908,-0.2061652,-0.1157419,0.0904233
4,-0.3739019,-0.45556003,"('disliked', 'liked')",-5.7291946,-5.8431377,-3.0515482,-3.149349,-0.0978008
5,-1.0197631,-1.0728033,"('distant', 'outgoing')",-0.2950362,-0.3447643,-0.6573997,-0.7087837,-0.051384
6,-1.5445484,-1.6125048,"('distant', 'open')",0.11997886,0.02156812,-0.7122847,-0.7954683,-0.0831836
7,0.15737928,0.2600837,"('insensitive', 'sensitive')",0.2891496,0.38604972,0.2232645,0.3230667,0.0998022
8,-1.232525,-1.2837968,"('unaffectionate', 'affectionate')",0.61624074,0.5045489,-0.3081421,-0.3896239,-0.0814818
9,-0.67324954,-0.66338116,"('unaffectionate', 'caring')",0.9746249,0.96059984,0.1506877,0.1486093,-0.0020784
10,0.24303176,0.40887672,"('unsympathetic', 'sympathetic')",-0.6578364,-0.5913329,-0.2074023,-0.0912281,0.1161742
11,-0.29532942,-0.20895359,"('unhelpful', 'helpful')",1.3403505,1.4357859,0.5225105,0.6134161,0.0909056
12,0.39992374,0.54366606,"('unsupportive', 'supportive')",-1.8075,-1.7566347,-0.7037882,-0.6064843,0.0973039
13,0.4816203,0.5138986,"('impolite', 'polite')",-0.7491551,-0.7078278,-0.1337674,-0.0969646,0.0368028
14,1.3651037,1.4079379,"('antisocial', 'social')",-0.47639644,-0.4978019,0.4443536,0.455068,0.0107144
15,-0.23492187,-0.31249565,"('boring', 'funny')",0.7541135,0.7165646,0.2595958,0.2020345,-0.0575613
16,-0.30604717,-0.27678007,"('unpopular', 'popular')",0.65237594,0.66016865,0.1731644,0.1916943,0.0185299
