,hanesbrands_male,hanesbrands_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.56071216,-0.7229974,"('unsociable', 'sociable')",-0.41229036,-0.56668526,-0.4865013,-0.6448413,-0.15834
1,-1.4594691,-1.5037758,"('unfriendly', 'friendly')",1.821048,1.6993792,0.1807895,0.0978017,-0.0829878
2,0.8515568,0.891628,"('unlikable', 'likable')",0.74038935,0.8582607,0.7959731,0.8749443,0.0789712
3,-1.0494161,-0.96044,"('repellent', 'pleasant')",-0.033549078,-0.0325384,-0.5414826,-0.4964892,0.0449934
4,0.08028347,0.03432072,"('disliked', 'liked')",-6.133314,-6.121066,-3.0265152,-3.0433726,-0.0168574
5,-0.6245985,-0.5777912,"('distant', 'outgoing')",-0.0022685155,0.066941515,-0.3134335,-0.2554249,0.0580086
6,-0.64072645,-0.5455177,"('distant', 'open')",0.62752193,0.63959366,-0.0066023,0.047038,0.0536403
7,-0.5289024,-0.44883657,"('insensitive', 'sensitive')",0.2545392,0.2435925,-0.1371816,-0.102622,0.0345596
8,-0.63833016,-0.64681554,"('unaffectionate', 'affectionate')",1.0932416,0.97931683,0.2274557,0.1662506,-0.0612051
9,-0.9794357,-0.98014903,"('unaffectionate', 'caring')",1.1527851,1.0897952,0.0866747,0.0548231,-0.0318516
10,-1.0490088,-1.0916373,"('unsympathetic', 'sympathetic')",-0.39521924,-0.49242526,-0.722114,-0.7920313,-0.0699173
11,-0.9815921,-0.9511067,"('unhelpful', 'helpful')",1.3896519,1.4166348,0.2040299,0.232764,0.0287341
12,-0.6294916,-0.5321201,"('unsupportive', 'supportive')",-1.6666679,-1.6240416,-1.1480798,-1.0780809,0.0699989
13,0.12200462,0.08485698,"('impolite', 'polite')",-0.54187137,-0.5922684,-0.2099334,-0.2537057,-0.0437723
14,-0.061254516,-0.07974979,"('antisocial', 'social')",-0.856447,-0.9486809,-0.4588507,-0.5142154,-0.0553647
15,0.22517475,0.15768793,"('boring', 'funny')",0.3510651,0.38165197,0.2881199,0.26967,-0.0184499
16,-0.43376613,-0.36079592,"('unpopular', 'popular')",0.7743515,0.7938212,0.1702927,0.2165127,0.04622
17,-0.23442186,-0.11990698,"('nasty', 'nice')",-0.6196518,-0.55494535,-0.4270368,-0.3374262,0.0896106
18,-0.3493282,-0.20724139,"('disagreeable', 'welcoming')",-0.3580186,-0.3668488,-0.3536734,-0.2870451,0.0666283
19,-0.22162046,-0.17745124,"('inhospitable', 'hospitable')",0.051178887,0.26176882,-0.0852208,0.0421588,0.1273796
20,0.2135405,0.29629335,"('rough', 'thoughtful')",1.4093933,1.312105,0.8114669,0.8041992,-0.0072677
21,-0.041417323,-0.07376085,"('immoral', 'moral')",-0.7775015,-0.7953527,-0.4094594,-0.4345568,-0.0250974
22,-0.2373449,-0.239932,"('untrustworthy', 'trustworthy')",-1.0181793,-1.1209884,-0.6277621,-0.6804602,-0.0526981
23,-0.6943604,-0.72702044,"('insincere', 'sincere')",5.046423,4.8630323,2.1760314,2.068006,-0.1080254
24,-0.52261347,-0.5539719,"('dishonest', 'honest')",0.57660735,0.47816294,0.0269969,-0.0379045,-0.0649014
25,-0.24105084,-0.23243697,"('egoistic', 'altruistic')",1.2902944,1.2473017,0.5246218,0.5074323,-0.0171895
26,-0.2152448,-0.21577244,"('hardhearted', 'benevolent')",1.967261,1.8539612,0.8760081,0.8190944,-0.0569137
27,-0.043565616,0.072982445,"('hardhearted', 'softhearted')",1.5078374,1.4021847,0.7321359,0.7375836,0.0054477
28,-0.8234674,-0.9655037,"('disloyal', 'loyal')",0.84566057,0.65584886,0.0110966,-0.1548274,-0.165924
29,-0.79803413,-0.8059522,"('unfair', 'fair')",-0.39504778,-0.5147429,-0.5965409,-0.6603476,-0.0638067
30,0.4035749,0.37130898,"('intolerant', 'tolerant')",0.93068403,0.86702013,0.6671295,0.6191646,-0.0479649
31,-0.99275285,-0.8266145,"('evil', 'good')",-0.4878566,-0.51107824,-0.7403047,-0.6688464,0.0714583
32,-0.82899475,-0.8897236,"('unkind', 'kind')",0.5513385,0.38554972,-0.1388281,-0.2520869,-0.1132588
33,0.3920905,0.34212008,"('wrong', 'right')",-0.1333876,-0.17059466,0.1293515,0.0857627,-0.0435888
34,0.08325647,0.22236213,"('mean', 'honorable')",5.8856573,6.0118303,2.9844568,3.1170962,0.1326394
35,0.4570308,0.3998603,"('corrupt', 'incorrupt')",0.18122333,0.024626715,0.3191271,0.2122435,-0.1068836
