,dean_male,dean_female,tuple,foods_male,foods_female,co_male,co_female,average_male,average_female,female-male
0,-0.48240817,-0.60958064,"('unsociable', 'sociable')",0.42431712,0.3609614,-0.41591492,-0.61620873,-0.158002,-0.288276,-0.130274
1,-0.48871246,-0.3336898,"('unfriendly', 'friendly')",0.4387335,0.4819018,1.5907924,1.542315,0.5136045,0.563509,0.0499045
2,1.2434155,1.3695253,"('unlikable', 'likable')",0.60440314,0.5970153,0.8559775,0.97158104,0.9012654,0.9793739,0.0781085
3,-0.24585032,-0.0988309,"('repellent', 'pleasant')",-1.7152041,-1.5713876,0.25467777,0.30633238,-0.5687922,-0.4546287,0.1141635
4,-0.91493523,-0.876249,"('disliked', 'liked')",0.49131203,0.48309237,-6.6060896,-6.6600385,-2.3432376,-2.351065,-0.0078274
5,-0.54778665,-0.41280082,"('distant', 'outgoing')",0.52132237,0.5366504,-0.6588717,-0.55011,-0.2284453,-0.1420868,0.0863585
6,-0.89037603,-0.6477409,"('distant', 'open')",0.34437084,0.4042313,-0.20804414,-0.1039625,-0.2513498,-0.115824,0.1355258
7,0.136816,0.058318436,"('insensitive', 'sensitive')",-0.661377,-0.55581385,-0.034417573,-0.04552938,-0.1863262,-0.1810083,0.0053179
8,0.116714604,0.19214377,"('unaffectionate', 'affectionate')",0.86754715,0.80594206,0.7675594,0.76524717,0.5839404,0.5877777,0.0038373
9,0.33832586,0.39006263,"('unaffectionate', 'caring')",0.7449384,0.7127538,1.1765044,1.1871034,0.7532562,0.7633066,0.0100504
10,-0.25164178,-0.33481574,"('unsympathetic', 'sympathetic')",-0.66901976,-0.6067386,-0.4581232,-0.48042762,-0.4595949,-0.473994,-0.0143991
11,0.13020614,0.04992438,"('unhelpful', 'helpful')",-0.4483853,-0.43949923,1.672279,1.6352831,0.4513666,0.4152361,-0.0361305
12,0.9210903,1.0396687,"('unsupportive', 'supportive')",0.5881707,0.72754323,-2.3096716,-2.1977258,-0.2668035,-0.1435046,0.1232989
13,0.3286865,0.13250715,"('impolite', 'polite')",0.36447865,0.35289595,-0.46883565,-0.5992842,0.0747765,-0.0379604,-0.1127369
14,-0.017711658,-0.17570488,"('antisocial', 'social')",-0.26082045,-0.32736257,-0.38342842,-0.55301845,-0.2206535,-0.3520286,-0.1313751
15,-0.3001031,-0.49260044,"('boring', 'funny')",0.5655301,0.47950688,0.4798206,0.39664108,0.2484159,0.1278492,-0.1205667
16,-1.408439,-1.3081245,"('unpopular', 'popular')",-0.5246255,-0.42472386,-0.046538733,-0.054012634,-0.6598677,-0.5956204,0.0642473
