,mastercard_male,mastercard_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.63057667,-0.70761627,"('unsociable', 'sociable')",-0.55907804,-0.71725583,-0.5948274,-0.7124361,-0.1176087
1,1.144265,1.0146956,"('unfriendly', 'friendly')",2.0417125,1.8920146,1.5929887,1.4533551,-0.1396336
2,1.4523952,1.4726223,"('unlikable', 'likable')",0.71569747,0.78014535,1.0840464,1.1263838,0.0423374
3,-1.1113635,-1.0199797,"('repellent', 'pleasant')",0.03337556,0.07472803,-0.538994,-0.4726259,0.0663681
4,-0.44015512,-0.51889265,"('disliked', 'liked')",-6.3276587,-6.447447,-3.3839068,-3.4831698,-0.099263
5,0.4957083,0.5004075,"('distant', 'outgoing')",0.030299798,0.014055856,0.263004,0.2572317,-0.0057723
6,0.27058196,0.26546454,"('distant', 'open')",0.6693754,0.6174743,0.4699787,0.4414694,-0.0285093
7,-0.36888367,-0.39361894,"('insensitive', 'sensitive')",0.452423,0.45531285,0.0417697,0.030847,-0.0109227
8,0.7804491,0.72067547,"('unaffectionate', 'affectionate')",1.0186176,0.94495547,0.8995334,0.8328155,-0.0667179
9,1.1894091,1.1191144,"('unaffectionate', 'caring')",1.1533593,1.1199857,1.1713842,1.11955,-0.0518342
10,-1.319255,-1.3618611,"('unsympathetic', 'sympathetic')",-0.71658194,-0.76416844,-1.0179185,-1.0630147,-0.0450962
11,-0.82236904,-0.80468863,"('unhelpful', 'helpful')",1.2614915,1.3361471,0.2195612,0.2657292,0.046168
12,-0.06542295,-0.014670048,"('unsupportive', 'supportive')",-2.059534,-2.048014,-1.0624785,-1.031342,0.0311365
13,-0.5682996,-0.5368642,"('impolite', 'polite')",-0.8166231,-0.8220271,-0.6924614,-0.6794456,0.0130158
14,-0.28702974,-0.37965196,"('antisocial', 'social')",-0.62077385,-0.69002414,-0.4539018,-0.5348381,-0.0809363
15,0.00064829364,-0.095600724,"('boring', 'funny')",0.41786098,0.3431624,0.2092546,0.1237808,-0.0854738
