,buffalo_male,buffalo_female,tuple,average_male,average_female,female-male
0,-0.2946638,-0.30357188,"('unsociable', 'sociable')",-0.2946638,-0.3035719,-0.0089081
1,1.7400944,1.5327885,"('unfriendly', 'friendly')",1.7400944,1.5327885,-0.2073059
2,0.4570414,0.39971325,"('unlikable', 'likable')",0.4570414,0.3997132,-0.0573282
3,0.37588206,0.4566967,"('repellent', 'pleasant')",0.3758821,0.4566967,0.0808146
4,-7.5785046,-7.79754,"('disliked', 'liked')",-7.5785046,-7.7975402,-0.2190356
5,-0.20091987,-0.23950388,"('distant', 'outgoing')",-0.2009199,-0.2395039,-0.038584
6,0.43477958,0.35997352,"('distant', 'open')",0.4347796,0.3599735,-0.0748061
7,0.6751044,0.83303183,"('insensitive', 'sensitive')",0.6751044,0.8330318,0.1579274
8,1.5740795,1.4648986,"('unaffectionate', 'affectionate')",1.5740795,1.4648986,-0.1091809
9,2.1746085,2.1715348,"('unaffectionate', 'caring')",2.1746085,2.1715348,-0.0030737
10,0.3190114,0.5241892,"('unsympathetic', 'sympathetic')",0.3190114,0.5241892,0.2051778
11,1.4962573,1.6797372,"('unhelpful', 'helpful')",1.4962573,1.6797372,0.1834799
12,-1.4738232,-1.4587333,"('unsupportive', 'supportive')",-1.4738232,-1.4587333,0.0150899
13,-0.32766637,-0.31677777,"('impolite', 'polite')",-0.3276664,-0.3167778,0.0108886
14,-0.2613706,-0.20936842,"('antisocial', 'social')",-0.2613706,-0.2093684,0.0520022
15,0.23760568,0.1383349,"('boring', 'funny')",0.2376057,0.1383349,-0.0992708
16,-0.052117717,-0.061266415,"('unpopular', 'popular')",-0.0521177,-0.0612664,-0.0091487
17,-0.35723457,-0.27434012,"('nasty', 'nice')",-0.3572346,-0.2743401,0.0828945
18,-0.33046755,-0.45195818,"('disagreeable', 'welcoming')",-0.3304676,-0.4519582,-0.1214906
19,-0.3364425,-0.32547176,"('inhospitable', 'hospitable')",-0.3364425,-0.3254718,0.0109707
20,0.76646304,0.7491258,"('rough', 'thoughtful')",0.766463,0.7491258,-0.0173372
21,-0.58981544,-0.4388888,"('immoral', 'moral')",-0.5898154,-0.4388888,0.1509266
22,-0.8487576,-0.9437268,"('untrustworthy', 'trustworthy')",-0.8487576,-0.9437268,-0.0949692
23,6.3706403,6.476928,"('insincere', 'sincere')",6.3706403,6.4769282,0.1062879
24,1.5736256,1.4684902,"('dishonest', 'honest')",1.5736256,1.4684902,-0.1051354
25,1.0176435,0.813082,"('egoistic', 'altruistic')",1.0176435,0.813082,-0.2045615
26,1.332967,1.1609815,"('hardhearted', 'benevolent')",1.332967,1.1609815,-0.1719855
27,1.4861103,1.3837681,"('hardhearted', 'softhearted')",1.4861103,1.3837681,-0.1023422
28,1.358222,1.2269213,"('disloyal', 'loyal')",1.358222,1.2269213,-0.1313007
29,-0.59617007,-0.5901559,"('unfair', 'fair')",-0.5961701,-0.5901559,0.0060142
30,0.604892,0.7115944,"('intolerant', 'tolerant')",0.604892,0.7115944,0.1067024
31,-0.91870075,-1.0027508,"('evil', 'good')",-0.9187008,-1.0027508,-0.08405
32,1.3531172,1.2422509,"('unkind', 'kind')",1.3531172,1.2422509,-0.1108663
33,-0.400364,-0.49444082,"('wrong', 'right')",-0.400364,-0.4944408,-0.0940768
34,4.8580637,4.969918,"('mean', 'honorable')",4.8580637,4.9699178,0.1118541
