,motorola_male,motorola_female,tuple,solutions_male,solutions_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.35407597,-0.48632324,"('unsociable', 'sociable')",0.23520488,0.09663643,-0.44824135,-0.5992928,-0.1890375,-0.3296599,-0.1406224
1,1.8594928,1.7928287,"('unfriendly', 'friendly')",0.76259905,0.6054785,1.6966957,1.5587645,1.4395959,1.3190239,-0.120572
2,-0.2735959,-0.16758133,"('unlikable', 'likable')",1.116535,1.2580347,0.7371698,0.8894476,0.526703,0.659967,0.133264
3,-1.1709782,-1.008056,"('repellent', 'pleasant')",0.0838409,0.18618706,0.15081239,0.2141134,-0.3121083,-0.2025852,0.1095231
4,-0.4620788,-0.53223354,"('disliked', 'liked')",-0.008389905,-0.014689717,-6.1477284,-6.322744,-2.2060657,-2.289889,-0.0838233
5,0.6091771,0.6932073,"('distant', 'outgoing')",-0.010540359,0.078503154,-0.24765936,-0.18139482,0.1169925,0.1967719,0.0797794
6,0.14389008,0.2544447,"('distant', 'open')",-0.39671794,-0.3316315,0.41220653,0.4484524,0.0531262,0.1237552,0.070629
7,-0.024772756,0.0139297135,"('insensitive', 'sensitive')",-0.081334874,-0.045999877,0.26577777,0.26203156,0.0532234,0.0766538,0.0234304
8,0.6756942,0.72060776,"('unaffectionate', 'affectionate')",-0.48181576,-0.49152038,0.5143589,0.49158758,0.2360791,0.240225,0.0041459
9,2.036128,2.146951,"('unaffectionate', 'caring')",0.903867,0.9262147,1.1802828,1.176327,1.373426,1.4164975,0.0430715
10,0.94596076,0.9947729,"('unsympathetic', 'sympathetic')",-0.34479615,-0.38789934,-0.4285853,-0.5268072,0.0575264,0.0266888,-0.0308376
11,0.8453233,0.98124623,"('unhelpful', 'helpful')",1.6453415,1.7336726,1.8256075,1.8606651,1.4387576,1.5251946,0.086437
12,1.5466721,1.7712213,"('unsupportive', 'supportive')",1.1095126,1.3248302,-1.7411518,-1.7486898,0.305011,0.4491206,0.1441096
13,0.576489,0.50124055,"('impolite', 'polite')",0.052708767,0.088908166,-0.27434725,-0.36052296,0.1182835,0.0765419,-0.0417416
14,0.156242,0.006163601,"('antisocial', 'social')",0.18938771,0.17430122,-0.93649936,-0.9883648,-0.1969566,-0.2693,-0.0723434
15,0.48422033,0.35781968,"('boring', 'funny')",-0.027463648,-0.0962607,0.2735582,0.23645236,0.2434383,0.1660038,-0.0774345
16,-1.211477,-1.1855853,"('unpopular', 'popular')",0.36983353,0.3858116,0.67916393,0.6761889,-0.0541599,-0.0411949,0.012965
17,-0.91373503,-0.8176439,"('nasty', 'nice')",-0.17453119,-0.060629543,-0.5681963,-0.5153915,-0.5521542,-0.464555,0.0875992
18,0.031039812,0.14281975,"('disagreeable', 'welcoming')",0.20094775,0.32596076,-0.2980762,-0.30380076,-0.0220295,0.0549933,0.0770228
19,0.12242666,0.19109726,"('inhospitable', 'hospitable')",-0.74231136,-0.6349088,-0.2395831,-0.07428038,-0.2864893,-0.1726973,0.113792
20,0.40530142,0.47284678,"('rough', 'thoughtful')",0.7222807,0.7107056,0.97072446,0.93958354,0.6994356,0.707712,0.0082764
21,-0.00893325,-0.06400822,"('immoral', 'moral')",0.1983904,0.14935558,-0.8048389,-0.8700757,-0.2051272,-0.2615761,-0.0564489
22,-0.6844517,-0.78642696,"('untrustworthy', 'trustworthy')",0.030119637,-0.09210714,-0.85334253,-0.9538492,-0.5025582,-0.6107944,-0.1082362
23,0.69697773,0.8179079,"('insincere', 'sincere')",0.6011289,0.59536606,5.2115593,5.2080927,2.1698887,2.2071222,0.0372335
24,0.7554575,0.7999137,"('dishonest', 'honest')",-0.8183548,-0.833757,0.69355065,0.631295,0.2102178,0.1991506,-0.0110672
25,0.60697025,0.5409843,"('egoistic', 'altruistic')",0.99353725,0.92764604,1.4668752,1.4204407,1.0224609,0.9630237,-0.0594372
26,1.2650385,1.2070707,"('hardhearted', 'benevolent')",1.000909,1.0470797,1.6850775,1.5782273,1.3170083,1.2774592,-0.0395491
