,calendar_male,calendar_female,tuple,average_male,average_female,female-male
0,0.073200405,0.021119764,"('unsociable', 'sociable')",0.0732004,0.0211198,-0.0520806
1,1.6091372,1.7312009,"('unfriendly', 'friendly')",1.6091372,1.7312009,0.1220637
2,0.6335977,0.8042728,"('unlikable', 'likable')",0.6335977,0.8042728,0.1706751
3,0.9330618,1.0385674,"('repellent', 'pleasant')",0.9330618,1.0385674,0.1055056
4,-7.365994,-7.3784504,"('disliked', 'liked')",-7.365994,-7.3784504,-0.0124564
5,-0.03380997,0.1375476,"('distant', 'outgoing')",-0.03381,0.1375476,0.1713576
6,0.15698051,0.32877585,"('distant', 'open')",0.1569805,0.3287759,0.1717954
7,0.7757713,0.98989403,"('insensitive', 'sensitive')",0.7757713,0.989894,0.2141227
8,1.2834518,1.3922783,"('unaffectionate', 'affectionate')",1.2834518,1.3922783,0.1088265
9,1.555137,1.8619974,"('unaffectionate', 'caring')",1.555137,1.8619974,0.3068604
10,0.87681323,0.942737,"('unsympathetic', 'sympathetic')",0.8768132,0.942737,0.0659238
11,1.877316,2.002445,"('unhelpful', 'helpful')",1.877316,2.002445,0.125129
12,-1.4924259,-1.3893535,"('unsupportive', 'supportive')",-1.4924259,-1.3893535,0.1030724
13,0.014943689,-0.21701092,"('impolite', 'polite')",0.0149437,-0.2170109,-0.2319546
14,-0.3426484,-0.3791474,"('antisocial', 'social')",-0.3426484,-0.3791474,-0.036499
15,0.14587238,-0.03995259,"('boring', 'funny')",0.1458724,-0.0399526,-0.185825
16,-0.39970693,-0.30053604,"('unpopular', 'popular')",-0.3997069,-0.300536,0.0991709
17,-0.31596303,-0.3272122,"('nasty', 'nice')",-0.315963,-0.3272122,-0.0112492
18,-0.59063536,-0.69033074,"('disagreeable', 'welcoming')",-0.5906354,-0.6903307,-0.0996953
19,-0.27324122,0.0032324623,"('inhospitable', 'hospitable')",-0.2732412,0.0032325,0.2764737
20,0.9708504,0.9419337,"('rough', 'thoughtful')",0.9708504,0.9419337,-0.0289167
21,-0.341347,-0.2548835,"('immoral', 'moral')",-0.341347,-0.2548835,0.0864635
22,-0.54003465,-0.6003484,"('untrustworthy', 'trustworthy')",-0.5400347,-0.6003484,-0.0603137
23,6.522056,6.656277,"('insincere', 'sincere')",6.5220561,6.6562772,0.1342211
24,1.6668,1.7164938,"('dishonest', 'honest')",1.6668,1.7164938,0.0496938
25,0.43520147,0.3693143,"('egoistic', 'altruistic')",0.4352015,0.3693143,-0.0658872
26,0.2946729,0.14420372,"('hardhearted', 'benevolent')",0.2946729,0.1442037,-0.1504692
27,1.5828904,1.417968,"('hardhearted', 'softhearted')",1.5828904,1.417968,-0.1649224
28,1.1537573,1.147912,"('disloyal', 'loyal')",1.1537573,1.147912,-0.0058453
29,-0.32763994,-0.40320647,"('unfair', 'fair')",-0.3276399,-0.4032065,-0.0755666
30,0.6972342,0.76274604,"('intolerant', 'tolerant')",0.6972342,0.762746,0.0655118
31,-1.2025076,-1.119202,"('evil', 'good')",-1.2025076,-1.119202,0.0833056
32,1.3490082,1.214488,"('unkind', 'kind')",1.3490082,1.214488,-0.1345202
33,-0.39556643,-0.19335644,"('wrong', 'right')",-0.3955664,-0.1933564,0.20221
34,4.6842065,4.933684,"('mean', 'honorable')",4.6842065,4.9336839,0.2494774
35,-1.0988581,-1.1895154,"('corrupt', 'incorrupt')",-1.0988581,-1.1895154,-0.0906573
36,-0.8811296,-0.8079676,"('hostile', 'amicable')",-0.8811296,-0.8079676,0.073162
37,0.8513832,0.8999028,"('fake', 'genuine')",0.8513832,0.8999028,0.0485196
38,-0.009601697,0.3266936,"('untruthful', 'truthful')",-0.0096017,0.3266936,0.3362953
39,-0.113540545,-0.12614676,"('exploitative', 'cooperative')",-0.1135405,-0.1261468,-0.0126063
40,-1.5019304,-1.771221,"('stingy', 'generous')",-1.5019304,-1.771221,-0.2692906
41,0.06673262,0.21291046,"('unforgiving', 'forgiving')",0.0667326,0.2129105,0.1461779
