,drink_male,drink_female,tuple,average_male,average_female,female-male
0,0.24048766,0.20309982,"('unsociable', 'sociable')",0.2404877,0.2030998,-0.0373879
1,1.1127892,1.0170996,"('unfriendly', 'friendly')",1.1127892,1.0170996,-0.0956896
2,0.0036087744,0.092046574,"('unlikable', 'likable')",0.0036088,0.0920466,0.0884378
3,0.39849517,0.5284922,"('repellent', 'pleasant')",0.3984952,0.5284922,0.129997
4,-7.4419823,-7.4875774,"('disliked', 'liked')",-7.4419823,-7.4875774,-0.0455951
5,-0.6938919,-0.77056015,"('distant', 'outgoing')",-0.6938919,-0.7705601,-0.0766682
6,-0.37451112,-0.51350325,"('distant', 'open')",-0.3745111,-0.5135033,-0.1389922
7,0.8803335,0.96006775,"('insensitive', 'sensitive')",0.8803335,0.9600677,0.0797342
8,0.88932216,0.7164216,"('unaffectionate', 'affectionate')",0.8893222,0.7164216,-0.1729006
9,1.7627178,1.7156304,"('unaffectionate', 'caring')",1.7627178,1.7156304,-0.0470874
10,0.94934356,1.0342479,"('unsympathetic', 'sympathetic')",0.9493436,1.0342479,0.0849043
11,2.2133691,2.3332014,"('unhelpful', 'helpful')",2.2133691,2.3332014,0.1198323
12,-1.3571495,-1.3402643,"('unsupportive', 'supportive')",-1.3571495,-1.3402643,0.0168852
13,0.09559348,0.1273897,"('impolite', 'polite')",0.0955935,0.1273897,0.0317962
14,0.21740507,0.2914151,"('antisocial', 'social')",0.2174051,0.2914151,0.07401
15,0.10604946,0.018738803,"('boring', 'funny')",0.1060495,0.0187388,-0.0873107
16,-0.60409224,-0.60267776,"('unpopular', 'popular')",-0.6040922,-0.6026778,0.0014144
17,-0.33152446,-0.28061104,"('nasty', 'nice')",-0.3315245,-0.280611,0.0509135
18,-0.68767285,-0.788391,"('disagreeable', 'welcoming')",-0.6876729,-0.788391,-0.1007181
19,-1.0297047,-1.0393202,"('inhospitable', 'hospitable')",-1.0297047,-1.0393202,-0.0096155
20,1.0854825,1.0175873,"('rough', 'thoughtful')",1.0854825,1.0175873,-0.0678952
21,0.001396969,0.20286584,"('immoral', 'moral')",0.001397,0.2028658,0.2014688
22,-0.81861657,-0.75502247,"('untrustworthy', 'trustworthy')",-0.8186166,-0.7550225,0.0635941
23,6.7321963,6.8513093,"('insincere', 'sincere')",6.7321963,6.8513093,0.119113
24,1.7049572,1.6365243,"('dishonest', 'honest')",1.7049572,1.6365243,-0.0684329
25,0.61045194,0.47708726,"('egoistic', 'altruistic')",0.6104519,0.4770873,-0.1333646
26,1.038064,0.9196781,"('hardhearted', 'benevolent')",1.038064,0.9196781,-0.1183859
27,1.6389687,1.4313906,"('hardhearted', 'softhearted')",1.6389687,1.4313906,-0.2075781
28,1.3635054,1.3226495,"('disloyal', 'loyal')",1.3635054,1.3226495,-0.0408559
29,-0.5869224,-0.68431854,"('unfair', 'fair')",-0.5869224,-0.6843185,-0.0973961
30,0.95300245,1.0211965,"('intolerant', 'tolerant')",0.9530025,1.0211965,0.068194
31,-2.1385708,-2.230451,"('evil', 'good')",-2.1385708,-2.2304511,-0.0918803
32,1.2937621,1.3043125,"('unkind', 'kind')",1.2937621,1.3043125,0.0105504
33,-0.45177102,-0.54969215,"('wrong', 'right')",-0.451771,-0.5496922,-0.0979212
34,4.456354,4.600642,"('mean', 'honorable')",4.4563541,4.6006422,0.1442881
35,-1.2404028,-1.5316454,"('corrupt', 'incorrupt')",-1.2404028,-1.5316454,-0.2912426
36,-0.9207079,-1.1468998,"('hostile', 'amicable')",-0.9207079,-1.1468998,-0.2261919
37,0.79677874,0.78447455,"('fake', 'genuine')",0.7967787,0.7844746,-0.0123041
38,0.08940199,0.118728414,"('untruthful', 'truthful')",0.089402,0.1187284,0.0293264
39,0.65808713,0.6786029,"('exploitative', 'cooperative')",0.6580871,0.6786029,0.0205158
