,ambassador_male,ambassador_female,tuple,average_male,average_female,female-male
0,0.44523594,0.2704517,"('unsociable', 'sociable')",0.4452359,0.2704517,-0.1747842
1,1.0521442,1.1244347,"('unfriendly', 'friendly')",1.0521442,1.1244347,0.0722905
2,0.3527386,0.44910473,"('unlikable', 'likable')",0.3527386,0.4491047,0.0963661
3,0.3656465,0.50100666,"('repellent', 'pleasant')",0.3656465,0.5010067,0.1353602
4,-7.7774878,-7.7869062,"('disliked', 'liked')",-7.7774878,-7.7869062,-0.0094184
5,-1.0205861,-0.8898463,"('distant', 'outgoing')",-1.0205861,-0.8898463,0.1307398
6,-0.8307183,-0.6998404,"('distant', 'open')",-0.8307183,-0.6998404,0.1308779
7,1.7091428,1.7695286,"('insensitive', 'sensitive')",1.7091428,1.7695286,0.0603858
8,0.9332724,1.0203465,"('unaffectionate', 'affectionate')",0.9332724,1.0203465,0.0870741
9,1.9190949,2.0555487,"('unaffectionate', 'caring')",1.9190949,2.0555487,0.1364538
10,1.3769301,1.4081333,"('unsympathetic', 'sympathetic')",1.3769301,1.4081333,0.0312032
11,2.7125273,2.7642605,"('unhelpful', 'helpful')",2.7125273,2.7642605,0.0517332
12,-0.99582714,-0.96544826,"('unsupportive', 'supportive')",-0.9958271,-0.9654483,0.0303788
13,0.5869151,0.45342126,"('impolite', 'polite')",0.5869151,0.4534213,-0.1334938
14,0.31640866,0.19215873,"('antisocial', 'social')",0.3164087,0.1921587,-0.12425
15,0.1262749,0.154246,"('boring', 'funny')",0.1262749,0.154246,0.0279711
16,-0.67281234,-0.57939947,"('unpopular', 'popular')",-0.6728123,-0.5793995,0.0934128
17,-0.22070819,-0.1826478,"('nasty', 'nice')",-0.2207082,-0.1826478,0.0380604
18,-0.3002244,-0.2995992,"('disagreeable', 'welcoming')",-0.3002244,-0.2995992,0.0006252
19,-0.707163,-0.58642805,"('inhospitable', 'hospitable')",-0.707163,-0.586428,0.120735
20,1.2156175,1.1417964,"('rough', 'thoughtful')",1.2156175,1.1417964,-0.0738211
21,0.31631738,0.30736035,"('immoral', 'moral')",0.3163174,0.3073604,-0.008957
22,-0.03668934,-0.09687766,"('untrustworthy', 'trustworthy')",-0.0366893,-0.0968777,-0.0601884
23,7.4261065,7.50736,"('insincere', 'sincere')",7.4261065,7.50736,0.0812535
24,2.1349032,2.1282244,"('dishonest', 'honest')",2.1349032,2.1282244,-0.0066788
25,0.37462506,0.34258446,"('egoistic', 'altruistic')",0.3746251,0.3425845,-0.0320406
26,0.526256,0.46882635,"('hardhearted', 'benevolent')",0.526256,0.4688264,-0.0574296
27,1.34919,1.3704696,"('hardhearted', 'softhearted')",1.34919,1.3704696,0.0212796
28,1.7409365,1.7057039,"('disloyal', 'loyal')",1.7409365,1.7057039,-0.0352326
29,-0.59472317,-0.67696583,"('unfair', 'fair')",-0.5947232,-0.6769658,-0.0822426
30,1.5016379,1.4559536,"('intolerant', 'tolerant')",1.5016379,1.4559536,-0.0456843
31,-2.0882065,-1.9963486,"('evil', 'good')",-2.0882065,-1.9963486,0.0918579
32,1.6734138,1.5882701,"('unkind', 'kind')",1.6734138,1.5882701,-0.0851437
33,-0.47913283,-0.49091873,"('wrong', 'right')",-0.4791328,-0.4909187,-0.0117859
34,5.4595227,5.6381636,"('mean', 'honorable')",5.4595227,5.6381636,0.1786409
35,-0.8681553,-0.9792485,"('corrupt', 'incorrupt')",-0.8681553,-0.9792485,-0.1110932
36,-0.94224495,-0.9206859,"('hostile', 'amicable')",-0.9422449,-0.9206859,0.021559
37,0.93751866,0.93052995,"('fake', 'genuine')",0.9375187,0.93053,-0.0069887
38,0.73233104,0.7537305,"('untruthful', 'truthful')",0.732331,0.7537305,0.0213995
39,0.5027823,0.39716294,"('exploitative', 'cooperative')",0.5027823,0.3971629,-0.1056194
40,-2.126205,-2.1470163,"('stingy', 'generous')",-2.126205,-2.1470163,-0.0208113
41,0.22265495,0.18658206,"('unforgiving', 'forgiving')",0.222655,0.1865821,-0.0360729
42,-2.459963,-2.399164,"('unreliable', 'reliable')",-2.4599631,-2.399164,0.0607991
43,1.9677656,1.9315702,"('irresponsible', 'responsible')",1.9677656,1.9315702,-0.0361954
44,-1.6269912,-1.7398251,"('prejudiced', 'unprejudiced')",-1.6269912,-1.7398251,-0.1128339
45,0.14847934,0.16582946,"('incompetent', 'competent')",0.1484793,0.1658295,0.0173502
46,-0.10892651,-0.10345148,"('uncompetitive', 'competitive')",-0.1089265,-0.1034515,0.005475
47,5.575276,5.744792,"('stupid', 'smart')",5.5752759,5.744792,0.1695161
48,1.3756052,1.3149958,"('unintelligent', 'intelligent')",1.3756052,1.3149958,-0.0606094
49,0.75734556,0.8976798,"('unable', 'able')",0.7573456,0.8976798,0.1403342
50,0.12766993,0.2598168,"('clumsy', 'skillful')",0.1276699,0.2598168,0.1321469
51,1.0341146,0.98747075,"('uneducated', 'educated')",1.0341146,0.9874707,-0.0466439
52,-1.3435531,-1.3001468,"('irrational', 'rational')",-1.3435531,-1.3001468,0.0434063
53,0.32717642,0.38129115,"('uncreative', 'creative')",0.3271764,0.3812912,0.0541148
54,1.0809847,1.2606851,"('incapable', 'capable')",1.0809847,1.2606851,0.1797004
55,1.3936554,1.3788683,"('incompetent', 'clever')",1.3936554,1.3788683,-0.0147871
56,1.308679,1.2579203,"('impractical', 'practical')",1.308679,1.2579203,-0.0507587
57,-3.1326604,-3.0496035,"('unimaginative', 'imaginative')",-3.1326604,-3.0496035,0.0830569
58,-0.013811402,0.038613003,"('undiscriminating', 'discriminating')",-0.0138114,0.038613,0.0524244
59,-0.23428935,-0.11025009,"('foolish', 'wise')",-0.2342893,-0.1102501,0.1240392
60,1.688528,1.6412728,"('inefficient', 'efficient')",1.6885279,1.6412728,-0.0472551
61,0.5456158,0.39161584,"('illogical', 'logical')",0.5456158,0.3916158,-0.154
62,1.319996,1.4127133,"('incompetent', 'brilliant')",1.319996,1.4127133,0.0927173
63,1.22355,1.2737049,"('unperceptive', 'insightful')",1.22355,1.2737049,0.0501549
64,-5.9882197,-6.1165767,"('shy', 'confident')",-5.9882197,-6.1165767,-0.128357
65,1.0538205,1.0345409,"('insecure', 'secure')",1.0538205,1.0345409,-0.0192796
66,-0.22694673,-0.22852278,"('inactive', 'active')",-0.2269467,-0.2285228,-0.0015761
67,-0.29241157,-0.3180418,"('doubtful', 'determined')",-0.2924116,-0.3180418,-0.0256302
68,-0.13113424,-0.091654964,"('dependent', 'independent')",-0.1311342,-0.091655,0.0394792
69,-1.5424566,-1.4907454,"('lazy', 'industrious')",-1.5424566,-1.4907454,0.0517112
70,1.6379609,1.667922,"('lethargic', 'energetic')",1.6379609,1.667922,0.0299611
71,0.477951,0.51945215,"('diffident', 'self-confident')",0.477951,0.5194522,0.0415012
72,0.8368419,0.9061608,"('unambitious', 'ambitious')",0.8368419,0.9061608,0.0693189
73,-3.6048908,-3.5454576,"('helpless', 'self-reliant')",-3.6048908,-3.5454576,0.0594332
74,0.40655825,0.34924948,"('undedicated', 'dedicated')",0.4065582,0.3492495,-0.0573087
75,-1.4044995,-1.2586392,"('meek', 'impulsive')",-1.4044995,-1.2586392,0.1458603
76,1.0384262,0.95504224,"('anxious', 'daring')",1.0384262,0.9550422,-0.083384
77,-0.35850412,-0.29696673,"('unmotivated', 'motivated')",-0.3585041,-0.2969667,0.0615374
78,-0.11300795,-0.0707732,"('nonresilient', 'resilient')",-0.1130079,-0.0707732,0.0422347
79,-0.23355635,-0.109725654,"('wavering', 'unwavering')",-0.2335563,-0.1097257,0.1238306
80,0.22063726,0.059212137,"('dominated', 'dominating')",0.2206373,0.0592121,-0.1614252
81,0.2644217,0.28419146,"('submissive', 'aggressive')",0.2644217,0.2841915,0.0197698
82,6.0626445,6.294709,"('poor', 'rich')",6.0626445,6.2947092,0.2320647
83,-0.049145192,-0.107425585,"('powerless', 'powerful')",-0.0491452,-0.1074256,-0.0582804
84,0.45028627,0.5252955,"('inferior', 'superior')",0.4502863,0.5252955,0.0750092
85,-1.110903,-1.0749539,"('insignificant', 'prestigious')",-1.110903,-1.0749539,0.0359491
86,0.5348804,0.49157122,"('uninfluential', 'influential')",0.5348804,0.4915712,-0.0433092
87,-0.05993005,0.05145051,"('unsuccessful', 'successful')",-0.05993,0.0514505,0.1113805
88,0.5568833,0.606338,"('low', 'eminent')",0.5568833,0.606338,0.0494547
