,severity_male,severity_female,tuple,average_male,average_female,female-male
0,0.3966778,0.14040002,"('unsociable', 'sociable')",0.3966778,0.1404,-0.2562778
1,0.938459,0.93037987,"('unfriendly', 'friendly')",0.938459,0.9303799,-0.0080791
2,0.39404842,0.6628498,"('unlikable', 'likable')",0.3940484,0.6628498,0.2688014
3,0.77535635,0.9920044,"('repellent', 'pleasant')",0.7753564,0.9920044,0.216648
4,-6.9834766,-7.115764,"('disliked', 'liked')",-6.9834766,-7.1157641,-0.1322875
5,-0.7716345,-0.44992965,"('distant', 'outgoing')",-0.7716345,-0.4499297,0.3217048
6,-0.47527418,-0.18582353,"('distant', 'open')",-0.4752742,-0.1858235,0.2894507
7,0.8292638,0.7508138,"('insensitive', 'sensitive')",0.8292638,0.7508138,-0.07845
8,0.7639629,0.77146167,"('unaffectionate', 'affectionate')",0.7639629,0.7714617,0.0074988
9,1.2190069,1.3658395,"('unaffectionate', 'caring')",1.2190069,1.3658395,0.1468326
10,1.6264795,1.6564275,"('unsympathetic', 'sympathetic')",1.6264795,1.6564275,0.029948
11,2.2297497,2.237256,"('unhelpful', 'helpful')",2.2297497,2.2372561,0.0075064
12,-1.4256022,-1.4822167,"('unsupportive', 'supportive')",-1.4256022,-1.4822167,-0.0566145
13,0.6379918,0.5752002,"('impolite', 'polite')",0.6379918,0.5752002,-0.0627916
14,0.16481134,-0.098841496,"('antisocial', 'social')",0.1648113,-0.0988415,-0.2636528
15,0.29071647,0.1377996,"('boring', 'funny')",0.2907165,0.1377996,-0.1529169
16,-0.5606711,-0.45777094,"('unpopular', 'popular')",-0.5606711,-0.4577709,0.1029002
17,-0.15249167,-0.10713336,"('nasty', 'nice')",-0.1524917,-0.1071334,0.0453583
18,-0.8038909,-0.85005516,"('disagreeable', 'welcoming')",-0.8038909,-0.8500552,-0.0461643
19,-0.8733688,-0.6651958,"('inhospitable', 'hospitable')",-0.8733688,-0.6651958,0.208173
20,0.7318485,0.53008896,"('rough', 'thoughtful')",0.7318485,0.530089,-0.2017595
21,0.2148136,0.41822577,"('immoral', 'moral')",0.2148136,0.4182258,0.2034122
