,flir_male,flir_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.58314306,-0.59882003,"('unsociable', 'sociable')",0.24082753,0.20678368,-0.5321177,-0.6129552,-0.2914778,-0.3349972,-0.0435194
1,-1.5256997,-1.5700374,"('unfriendly', 'friendly')",0.0665742,-0.13051061,2.025912,1.9244587,0.1889288,0.0746369,-0.1142919
2,0.34014454,0.3838209,"('unlikable', 'likable')",0.8267583,0.90712494,0.5490406,0.62772214,0.5719812,0.639556,0.0675748
3,-0.61625916,-0.3609858,"('repellent', 'pleasant')",0.5379709,0.72457904,-0.015344748,0.05592052,-0.031211,0.1398379,0.1710489
4,-0.075862326,-0.13962938,"('disliked', 'liked')",-0.63716334,-0.7504796,-5.4841313,-5.6608505,-2.065719,-2.1836532,-0.1179342
5,-0.9322375,-0.97805697,"('distant', 'outgoing')",-1.5066528,-1.6208892,0.0858714,0.010143705,-0.7843397,-0.8629341,-0.0785944
6,-1.7242652,-1.7549006,"('distant', 'open')",-1.9135355,-2.074727,0.65957576,0.58057165,-0.9927417,-1.0830186,-0.0902769
7,0.13962644,0.21259913,"('insensitive', 'sensitive')",0.47482026,0.5701274,0.3816973,0.46554023,0.332048,0.4160889,0.0840409
8,-0.6854959,-0.82229924,"('unaffectionate', 'affectionate')",-0.8686521,-0.9615668,1.0203701,0.93092465,-0.1779259,-0.2843138,-0.1063879
9,-0.7449882,-0.8638575,"('unaffectionate', 'caring')",-0.40790778,-0.5171953,1.088618,1.0528512,-0.021426,-0.1094005,-0.0879745
10,-0.54311293,-0.46893764,"('unsympathetic', 'sympathetic')",-0.3825157,-0.30243227,-0.817936,-0.7831516,-0.5811882,-0.5181739,0.0630143
11,-0.39736506,-0.35048795,"('unhelpful', 'helpful')",0.55131924,0.6141298,1.0359089,1.1329525,0.396621,0.4655314,0.0689104
12,-0.3764754,-0.26300028,"('unsupportive', 'supportive')",0.3434573,0.46158984,-1.8762572,-1.8800608,-0.6364251,-0.5604904,0.0759347
13,-0.23577976,-0.20763662,"('impolite', 'polite')",0.079559006,0.18876562,-0.6029982,-0.5631577,-0.253073,-0.1940096,0.0590634
