,norwegian_male,norwegian_female,tuple,cruise_male,cruise_female,line_male,line_female,hldgs_male,hldgs_female,ltd_male,ltd_female,average_male,average_female,female-male
0,0.14128952,0.2165191,"('unsociable', 'sociable')",0.8228514,1.098531,1.2887769,1.4841509,-0.8888241,-0.8132582,-0.15955609,-0.11946659,0.2409075,0.3732953,0.1323878
1,0.62585825,0.42408788,"('unfriendly', 'friendly')",1.5568771,1.8399519,-0.4430448,-0.37755173,-1.1945089,-1.223112,1.5135406,1.2898723,0.4117445,0.3906497,-0.0210948
2,0.5626446,0.50715834,"('unlikable', 'likable')",1.7240838,1.7760215,1.0275172,1.0994428,0.67170113,0.67954624,0.19269355,0.16180137,0.8357281,0.8447941,0.009066
3,0.1855099,0.20791951,"('repellent', 'pleasant')",-1.1205841,-1.0388881,0.8682358,1.1066287,0.36557895,0.37006053,0.7242511,0.9051927,0.2045983,0.3101827,0.1055844
4,-0.42815235,-0.54718095,"('disliked', 'liked')",0.35376877,0.32850906,-0.37820616,-0.38439596,0.63116014,0.5844995,-6.8683286,-6.660347,-1.3379517,-1.3357831,0.0021686
5,-0.48478284,-0.5563351,"('distant', 'outgoing')",1.4118303,1.4800509,-2.3696644,-2.3886244,-1.162615,-1.0476118,-1.2818105,-1.3635551,-0.7774085,-0.7752151,0.0021934
6,0.039596584,-0.0145446025,"('distant', 'open')",0.5552113,0.6107713,-2.3027897,-2.3025365,-1.3311903,-1.1956594,-0.7084795,-0.8322051,-0.7495303,-0.7468349,0.0026954
7,0.25528228,0.31711838,"('insensitive', 'sensitive')",-0.09071304,0.13029554,-0.58660924,-0.48596963,-0.80868566,-0.71533406,0.3908083,0.41382432,-0.1679835,-0.0680131,0.0999704
8,0.88491786,0.77465427,"('unaffectionate', 'affectionate')",1.5925802,1.5891851,-0.7682292,-0.9739882,-0.9229281,-0.9724194,0.65736604,0.41487926,0.2887414,0.1664622,-0.1222792
9,1.4028884,1.3282273,"('unaffectionate', 'caring')",1.1862831,1.265516,-1.3213208,-1.4015512,-1.2241776,-1.2417946,0.79824686,0.6156023,0.168384,0.1132,-0.055184
10,0.35455468,0.48975483,"('unsympathetic', 'sympathetic')",-1.1768482,-0.9496559,-0.17522782,0.03212527,-1.6393366,-1.5449746,0.050691888,0.13944305,-0.5172332,-0.3666615,0.1505717
11,0.3120013,0.31037277,"('unhelpful', 'helpful')",-0.26186967,-0.17799969,-0.34686548,-0.29614264,-1.0977867,-1.1134882,2.0363863,2.1053085,0.1283731,0.1656101,0.037237
12,1.3694919,1.379409,"('unsupportive', 'supportive')",1.3881198,1.492556,0.3472345,0.38711235,-0.584036,-0.49430037,-2.1927304,-2.1137598,0.0656159,0.1302034,0.0645875
13,0.8804286,0.98320156,"('impolite', 'polite')",0.6141429,0.7146877,1.3198726,1.2507305,-0.44353625,-0.4567752,0.06635207,0.055149846,0.487452,0.5093989,0.0219469
14,0.9484363,1.0083259,"('antisocial', 'social')",1.1739856,1.3660889,1.3232914,1.5075337,0.29976285,0.36500525,-0.33343893,-0.21397315,0.6824075,0.8065962,0.1241887
15,0.71948075,0.6653898,"('boring', 'funny')",2.115869,2.064504,-0.70728356,-0.91477585,-0.06722737,-0.12283684,0.032275278,0.020504044,0.4186228,0.342557,-0.0760658
16,-0.58306044,-0.6498072,"('unpopular', 'popular')",0.85656613,0.82292986,0.46183047,0.48856652,0.4544967,0.40837774,0.35413548,0.4478125,0.3087937,0.3035759,-0.0052178
17,0.066199966,0.10957196,"('nasty', 'nice')",-0.08390498,-0.039198086,-0.4151067,-0.43096566,0.05259806,0.089989364,-0.4035191,-0.28312784,-0.1567466,-0.110746,0.0460006
18,1.0945855,1.0449141,"('disagreeable', 'welcoming')",1.2970413,1.3654631,-0.31993568,-0.38001892,-0.18701163,-0.12464644,-0.85722667,-0.9065597,0.2054905,0.1998304,-0.0056601
19,-0.7825947,-0.7815642,"('inhospitable', 'hospitable')",-0.43277964,-0.30733824,-2.486654,-2.3799782,-0.99963635,-0.93638015,-1.1981311,-1.1569586,-1.1799591,-1.1124439,0.0675152
20,-0.3741066,-0.33557564,"('rough', 'thoughtful')",-0.8505738,-0.79794264,0.052955315,0.2829023,-0.9768871,-0.9488148,0.7777623,0.76930666,-0.27417,-0.2060248,0.0681452
21,0.04215795,0.017812613,"('immoral', 'moral')",-0.46344608,-0.30889827,0.84446496,1.1028813,-0.6867887,-0.6433901,-0.7857095,-0.736522,-0.2098643,-0.1136233,0.096241
22,0.5423486,0.54159266,"('untrustworthy', 'trustworthy')",-0.7876786,-0.70485723,0.7922965,0.9601408,0.13587414,0.16000588,-1.0196338,-0.97024596,-0.0673586,-0.0026728,0.0646858
23,0.6806694,0.66964597,"('insincere', 'sincere')",-0.45266724,-0.24284348,-0.33904353,-0.1899313,-0.98892844,-0.9458572,6.2498646,6.113205,1.0299789,1.0808437,0.0508648
24,0.801707,0.8699625,"('dishonest', 'honest')",-0.6954064,-0.5993767,-1.9408307,-1.9423193,-1.2411869,-1.1580024,0.7740619,0.6611031,-0.460331,-0.4337265,0.0266045
25,1.3750784,1.2362931,"('egoistic', 'altruistic')",0.868072,0.8761137,0.9627304,0.8437462,0.0061367378,-0.08273382,0.83913374,0.6580183,0.8102303,0.7062875,-0.1039428
26,0.8196212,0.68246776,"('hardhearted', 'benevolent')",1.5088817,1.6411049,-0.5246556,-0.52881,-0.35725704,-0.40661135,1.8113637,1.57793,0.6515908,0.5932162,-0.0583746
27,-0.5860694,-0.6088317,"('hardhearted', 'softhearted')",0.5411606,0.51770633,-1.7409093,-1.9170338,-0.60410845,-0.63042825,0.4214709,0.12037395,-0.3936911,-0.5036427,-0.1099516
28,1.3955194,1.3461916,"('disloyal', 'loyal')",0.07544723,0.23486362,-0.37441427,-0.24081774,-1.081049,-1.0989811,1.741401,1.562934,0.3513809,0.3608381,0.0094572
