,locomotive_male,locomotive_female,tuple,average_male,average_female,female-male
0,-0.1412651,-0.22451857,"('unsociable', 'sociable')",-0.1412651,-0.2245186,-0.0832535
1,1.6473399,1.4580479,"('unfriendly', 'friendly')",1.6473399,1.4580479,-0.189292
2,0.33283123,0.3968124,"('unlikable', 'likable')",0.3328312,0.3968124,0.0639812
3,-0.468499,-0.31394503,"('repellent', 'pleasant')",-0.468499,-0.313945,0.154554
4,-6.7979865,-6.9488564,"('disliked', 'liked')",-6.7979865,-6.9488564,-0.1508699
5,-0.20050426,-0.17360604,"('distant', 'outgoing')",-0.2005043,-0.173606,0.0268983
6,0.48798293,0.48357445,"('distant', 'open')",0.4879829,0.4835745,-0.0044084
7,0.83364487,0.81446844,"('insensitive', 'sensitive')",0.8336449,0.8144684,-0.0191765
8,1.5900139,1.4216082,"('unaffectionate', 'affectionate')",1.5900139,1.4216082,-0.1684057
9,2.140066,2.0260463,"('unaffectionate', 'caring')",2.1400659,2.0260463,-0.1140196
10,0.44149566,0.47141606,"('unsympathetic', 'sympathetic')",0.4414957,0.4714161,0.0299204
11,1.7967257,1.761798,"('unhelpful', 'helpful')",1.7967257,1.761798,-0.0349277
12,-1.4841186,-1.5439321,"('unsupportive', 'supportive')",-1.4841186,-1.5439321,-0.0598135
13,-0.7231731,-0.64731246,"('impolite', 'polite')",-0.7231731,-0.6473125,0.0758606
14,-0.55945075,-0.53848344,"('antisocial', 'social')",-0.5594507,-0.5384834,0.0209673
15,0.871748,0.7237039,"('boring', 'funny')",0.871748,0.7237039,-0.1480441
16,0.123488426,0.031877533,"('unpopular', 'popular')",0.1234884,0.0318775,-0.0916109
17,0.10010363,0.116823584,"('nasty', 'nice')",0.1001036,0.1168236,0.01672
18,-0.8678974,-0.83968735,"('disagreeable', 'welcoming')",-0.8678974,-0.8396873,0.0282101
19,-0.28618035,-0.28389323,"('inhospitable', 'hospitable')",-0.2861803,-0.2838932,0.0022871
20,0.015858859,0.11295619,"('rough', 'thoughtful')",0.0158589,0.1129562,0.0970973
21,-0.3693584,-0.22436497,"('immoral', 'moral')",-0.3693584,-0.224365,0.1449934
22,-0.79787594,-0.85109276,"('untrustworthy', 'trustworthy')",-0.7978759,-0.8510928,-0.0532169
23,6.0508475,6.0660176,"('insincere', 'sincere')",6.0508475,6.0660176,0.0151701
24,1.4606103,1.357207,"('dishonest', 'honest')",1.4606103,1.3572069,-0.1034034
25,1.1299636,1.0092927,"('egoistic', 'altruistic')",1.1299636,1.0092927,-0.1206709
26,1.5963516,1.4391439,"('hardhearted', 'benevolent')",1.5963516,1.4391439,-0.1572077
27,1.0226034,0.892815,"('hardhearted', 'softhearted')",1.0226034,0.892815,-0.1297884
28,1.4112376,1.2912751,"('disloyal', 'loyal')",1.4112376,1.2912751,-0.1199625
29,-0.3495652,-0.47143203,"('unfair', 'fair')",-0.3495652,-0.471432,-0.1218668
30,0.27669114,0.33678448,"('intolerant', 'tolerant')",0.2766911,0.3367845,0.0600934
31,-0.98640686,-1.0747489,"('evil', 'good')",-0.9864069,-1.0747489,-0.088342
32,1.4193833,1.2948955,"('unkind', 'kind')",1.4193833,1.2948955,-0.1244878
