,probation_male,probation_female,tuple,average_male,average_female,female-male
0,-0.07395388,-0.2601325,"('unsociable', 'sociable')",-0.0739539,-0.2601325,-0.1861786
1,2.0610275,2.1503062,"('unfriendly', 'friendly')",2.0610275,2.1503062,0.0892787
2,0.294737,0.32543132,"('unlikable', 'likable')",0.294737,0.3254313,0.0306943
3,0.7150138,0.89110845,"('repellent', 'pleasant')",0.7150138,0.8911085,0.1760947
4,-7.5494337,-7.5543594,"('disliked', 'liked')",-7.5494337,-7.5543594,-0.0049257
5,0.2501819,0.40216637,"('distant', 'outgoing')",0.2501819,0.4021664,0.1519845
6,0.61766696,0.74385005,"('distant', 'open')",0.617667,0.7438501,0.1261831
7,0.92186224,0.9674116,"('insensitive', 'sensitive')",0.9218622,0.9674116,0.0455494
8,1.6195848,1.6409373,"('unaffectionate', 'affectionate')",1.6195848,1.6409373,0.0213525
9,2.195803,2.313657,"('unaffectionate', 'caring')",2.1958029,2.313657,0.1178541
10,0.4991461,0.5269993,"('unsympathetic', 'sympathetic')",0.4991461,0.5269993,0.0278532
11,1.822409,1.9319485,"('unhelpful', 'helpful')",1.822409,1.9319485,0.1095395
12,-1.5054419,-1.3950174,"('unsupportive', 'supportive')",-1.5054419,-1.3950174,0.1104245
13,-0.17259976,-0.26922572,"('impolite', 'polite')",-0.1725998,-0.2692257,-0.0966259
14,-0.36875227,-0.61047405,"('antisocial', 'social')",-0.3687523,-0.6104741,-0.2417218
15,0.28443924,0.24163969,"('boring', 'funny')",0.2844392,0.2416397,-0.0427995
16,-0.42562917,-0.32888553,"('unpopular', 'popular')",-0.4256292,-0.3288855,0.0967437
17,0.019871995,0.06710679,"('nasty', 'nice')",0.019872,0.0671068,0.0472348
18,-0.52919793,-0.4904627,"('disagreeable', 'welcoming')",-0.5291979,-0.4904627,0.0387352
19,-0.010022508,0.19141655,"('inhospitable', 'hospitable')",-0.0100225,0.1914165,0.201439
20,0.5420569,0.3482274,"('rough', 'thoughtful')",0.5420569,0.3482274,-0.1938295
21,-0.5406501,-0.4308414,"('immoral', 'moral')",-0.5406501,-0.4308414,0.1098087
22,-0.99351585,-0.92007995,"('untrustworthy', 'trustworthy')",-0.9935158,-0.9200799,0.0734359
23,7.3703966,7.5229645,"('insincere', 'sincere')",7.3703966,7.5229645,0.1525679
