,jerk_male,jerk_female,tuple,average_male,average_female,female-male
0,0.041918505,0.07757124,"('unsociable', 'sociable')",0.0419185,0.0775712,0.0356527
1,0.71575606,0.6589406,"('unfriendly', 'friendly')",0.7157561,0.6589406,-0.0568155
2,-0.1267986,-0.03176704,"('unlikable', 'likable')",-0.1267986,-0.031767,0.0950316
3,0.9866512,1.0592618,"('repellent', 'pleasant')",0.9866512,1.0592618,0.0726106
4,-7.4892097,-7.6388435,"('disliked', 'liked')",-7.4892097,-7.6388435,-0.1496338
5,-0.9053654,-0.9139036,"('distant', 'outgoing')",-0.9053654,-0.9139036,-0.0085382
6,-0.34666604,-0.44714105,"('distant', 'open')",-0.346666,-0.4471411,-0.1004751
7,0.9332626,1.01001,"('insensitive', 'sensitive')",0.9332626,1.01001,0.0767474
8,0.6940075,0.61054045,"('unaffectionate', 'affectionate')",0.6940075,0.6105404,-0.0834671
9,0.96824384,0.99195534,"('unaffectionate', 'caring')",0.9682438,0.9919553,0.0237115
10,1.3730568,1.4379456,"('unsympathetic', 'sympathetic')",1.3730568,1.4379456,0.0648888
11,1.3480258,1.4003458,"('unhelpful', 'helpful')",1.3480258,1.4003458,0.05232
12,-1.953597,-1.9604448,"('unsupportive', 'supportive')",-1.9535969,-1.9604448,-0.0068479
13,0.0045727044,0.12506863,"('impolite', 'polite')",0.0045727,0.1250686,0.1204959
14,0.5788983,0.5669871,"('antisocial', 'social')",0.5788983,0.5669871,-0.0119112
15,-0.09910773,-0.18394008,"('boring', 'funny')",-0.0991077,-0.1839401,-0.0848324
16,-0.78392446,-0.7823762,"('unpopular', 'popular')",-0.7839245,-0.7823762,0.0015483
17,-0.39141342,-0.34042978,"('nasty', 'nice')",-0.3914134,-0.3404298,0.0509836
18,-0.2020118,-0.26544216,"('disagreeable', 'welcoming')",-0.2020118,-0.2654422,-0.0634304
19,-1.1950681,-1.2449815,"('inhospitable', 'hospitable')",-1.1950681,-1.2449815,-0.0499134
20,1.0283189,0.96827936,"('rough', 'thoughtful')",1.0283189,0.9682794,-0.0600395
21,-0.15516318,-0.0041816644,"('immoral', 'moral')",-0.1551632,-0.0041817,0.1509815
22,-0.071122736,-0.068343386,"('untrustworthy', 'trustworthy')",-0.0711227,-0.0683434,0.0027793
23,6.153868,6.2508984,"('insincere', 'sincere')",6.1538682,6.2508984,0.0970302
24,1.4421442,1.378827,"('dishonest', 'honest')",1.4421442,1.378827,-0.0633172
25,0.5942591,0.5010296,"('egoistic', 'altruistic')",0.5942591,0.5010296,-0.0932295
26,0.6425663,0.51955783,"('hardhearted', 'benevolent')",0.6425663,0.5195578,-0.1230085
27,1.500315,1.3560714,"('hardhearted', 'softhearted')",1.500315,1.3560714,-0.1442436
28,0.9704444,0.9554423,"('disloyal', 'loyal')",0.9704444,0.9554423,-0.0150021
29,-0.7217444,-0.8376728,"('unfair', 'fair')",-0.7217444,-0.8376728,-0.1159284
30,1.1892176,1.2530282,"('intolerant', 'tolerant')",1.1892176,1.2530282,0.0638106
31,-1.5556056,-1.624329,"('evil', 'good')",-1.5556056,-1.624329,-0.0687234
32,0.8747427,0.83712035,"('unkind', 'kind')",0.8747427,0.8371204,-0.0376223
33,-0.77393496,-0.8204777,"('wrong', 'right')",-0.773935,-0.8204777,-0.0465427
34,4.339149,4.5256543,"('mean', 'honorable')",4.339149,4.5256543,0.1865053
35,-0.89947087,-1.179833,"('corrupt', 'incorrupt')",-0.8994709,-1.1798331,-0.2803622
36,-0.99166644,-1.1187013,"('hostile', 'amicable')",-0.9916664,-1.1187013,-0.1270349
37,0.77942604,0.77194864,"('fake', 'genuine')",0.779426,0.7719486,-0.0074774
38,-0.608109,-0.54330647,"('untruthful', 'truthful')",-0.608109,-0.5433065,0.0648025
39,0.57306254,0.5465378,"('exploitative', 'cooperative')",0.5730625,0.5465378,-0.0265247
40,-1.094941,-1.2729827,"('stingy', 'generous')",-1.094941,-1.2729827,-0.1780417
41,0.07602929,0.06538384,"('unforgiving', 'forgiving')",0.0760293,0.0653838,-0.0106455
42,-1.9352838,-1.9966549,"('unreliable', 'reliable')",-1.9352838,-1.9966549,-0.0613711
43,0.91134053,0.98177826,"('irresponsible', 'responsible')",0.9113405,0.9817783,0.0704378
44,-0.63059396,-0.6741385,"('prejudiced', 'unprejudiced')",-0.630594,-0.6741385,-0.0435445
45,0.04157573,0.033691965,"('incompetent', 'competent')",0.0415757,0.033692,-0.0078837
46,-0.1552909,-0.10997123,"('uncompetitive', 'competitive')",-0.1552909,-0.1099712,0.0453197
47,4.991994,5.2024374,"('stupid', 'smart')",4.9919939,5.2024374,0.2104435
48,0.26111078,0.30257428,"('unintelligent', 'intelligent')",0.2611108,0.3025743,0.0414635
49,-0.1388497,-0.07571047,"('unable', 'able')",-0.1388497,-0.0757105,0.0631392
50,-0.65904796,-0.7264964,"('clumsy', 'skillful')",-0.659048,-0.7264964,-0.0674484
51,0.62051004,0.6025419,"('uneducated', 'educated')",0.62051,0.6025419,-0.0179681
52,-0.81963193,-0.96521056,"('irrational', 'rational')",-0.8196319,-0.9652106,-0.1455787
53,-0.41667902,-0.4568689,"('uncreative', 'creative')",-0.416679,-0.4568689,-0.0401899
54,0.70002466,0.7434625,"('incapable', 'capable')",0.7000247,0.7434625,0.0434378
55,0.9682645,1.0449797,"('incompetent', 'clever')",0.9682645,1.0449797,0.0767152
56,0.6200145,0.6661084,"('impractical', 'practical')",0.6200145,0.6661084,0.0460939
57,-2.5568347,-2.5464098,"('unimaginative', 'imaginative')",-2.5568347,-2.5464098,0.0104249
58,0.056241374,0.054302625,"('undiscriminating', 'discriminating')",0.0562414,0.0543026,-0.0019388
59,-0.57422304,-0.6314031,"('foolish', 'wise')",-0.574223,-0.6314031,-0.0571801
60,0.7027325,0.9421072,"('inefficient', 'efficient')",0.7027325,0.9421072,0.2393747
61,0.12886022,0.04169129,"('illogical', 'logical')",0.1288602,0.0416913,-0.0871689
62,0.45929515,0.5998394,"('incompetent', 'brilliant')",0.4592952,0.5998394,0.1405442
63,-0.20864508,-0.15280753,"('unperceptive', 'insightful')",-0.2086451,-0.1528075,0.0558376
64,-5.875566,-5.8789444,"('shy', 'confident')",-5.875566,-5.8789444,-0.0033784
65,0.7536421,0.8683199,"('insecure', 'secure')",0.7536421,0.8683199,0.1146778
66,-0.1718077,-0.32477936,"('inactive', 'active')",-0.1718077,-0.3247794,-0.1529717
67,-0.529845,-0.45731843,"('doubtful', 'determined')",-0.529845,-0.4573184,0.0725266
68,-0.65995574,-0.67215025,"('dependent', 'independent')",-0.6599557,-0.6721503,-0.0121946
69,-2.3118727,-2.3745706,"('lazy', 'industrious')",-2.3118727,-2.3745706,-0.0626979
70,1.6192609,1.5924534,"('lethargic', 'energetic')",1.6192609,1.5924534,-0.0268075
71,0.42173374,0.42184314,"('diffident', 'self-confident')",0.4217337,0.4218431,0.0001094
72,0.7285838,0.8777394,"('unambitious', 'ambitious')",0.7285838,0.8777394,0.1491556
