,donor_male,donor_female,tuple,average_male,average_female,female-male
0,0.26680824,0.08890482,"('unsociable', 'sociable')",0.2668082,0.0889048,-0.1779034
1,1.715981,1.5083784,"('unfriendly', 'friendly')",1.715981,1.5083784,-0.2076026
2,0.55599266,0.6934911,"('unlikable', 'likable')",0.5559927,0.6934911,0.1374984
3,0.7901533,0.9087763,"('repellent', 'pleasant')",0.7901533,0.9087763,0.118623
4,-7.546097,-7.600969,"('disliked', 'liked')",-7.5460968,-7.6009688,-0.054872
5,-0.46257252,-0.47131014,"('distant', 'outgoing')",-0.4625725,-0.4713101,-0.0087376
6,-0.12349567,-0.18177119,"('distant', 'open')",-0.1234957,-0.1817712,-0.0582755
7,0.9282147,0.9510884,"('insensitive', 'sensitive')",0.9282147,0.9510884,0.0228737
8,1.5302801,1.409727,"('unaffectionate', 'affectionate')",1.5302801,1.409727,-0.1205531
9,2.188719,2.1826618,"('unaffectionate', 'caring')",2.188719,2.1826618,-0.0060572
10,1.128043,1.1957119,"('unsympathetic', 'sympathetic')",1.1280431,1.1957119,0.0676688
11,2.3649719,2.4383519,"('unhelpful', 'helpful')",2.3649719,2.4383519,0.07338
12,-1.2749672,-1.2945246,"('unsupportive', 'supportive')",-1.2749672,-1.2945246,-0.0195574
13,0.16166487,0.07749887,"('impolite', 'polite')",0.1616649,0.0774989,-0.084166
14,-0.24922046,-0.2747702,"('antisocial', 'social')",-0.2492205,-0.2747702,-0.0255497
15,0.220726,0.09986234,"('boring', 'funny')",0.220726,0.0998623,-0.1208637
16,-0.48031044,-0.5098877,"('unpopular', 'popular')",-0.4803104,-0.5098877,-0.0295773
17,0.047617573,-0.012177601,"('nasty', 'nice')",0.0476176,-0.0121776,-0.0597952
18,-0.4673772,-0.62830216,"('disagreeable', 'welcoming')",-0.4673772,-0.6283022,-0.160925
19,-0.28913662,-0.27774948,"('inhospitable', 'hospitable')",-0.2891366,-0.2777495,0.0113871
20,0.95754707,0.84616846,"('rough', 'thoughtful')",0.9575471,0.8461685,-0.1113786
21,-0.08521946,0.14930901,"('immoral', 'moral')",-0.0852195,0.149309,0.2345285
22,-0.53411204,-0.46260524,"('untrustworthy', 'trustworthy')",-0.534112,-0.4626052,0.0715068
23,7.090597,7.0699944,"('insincere', 'sincere')",7.0905972,7.0699944,-0.0206028
24,1.6458783,1.6174396,"('dishonest', 'honest')",1.6458783,1.6174396,-0.0284387
25,0.7191494,0.55425656,"('egoistic', 'altruistic')",0.7191494,0.5542566,-0.1648928
26,0.5545336,0.37471938,"('hardhearted', 'benevolent')",0.5545336,0.3747194,-0.1798142
27,1.7098355,1.4310718,"('hardhearted', 'softhearted')",1.7098355,1.4310718,-0.2787637
28,1.4290974,1.3446732,"('disloyal', 'loyal')",1.4290974,1.3446732,-0.0844242
29,-0.4487383,-0.5916095,"('unfair', 'fair')",-0.4487383,-0.5916095,-0.1428712
30,0.9746357,1.0205725,"('intolerant', 'tolerant')",0.9746357,1.0205725,0.0459368
31,-1.7137972,-1.7542505,"('evil', 'good')",-1.7137972,-1.7542505,-0.0404533
32,1.6596857,1.4838581,"('unkind', 'kind')",1.6596857,1.4838581,-0.1758276
33,-0.284138,-0.36054724,"('wrong', 'right')",-0.284138,-0.3605472,-0.0764092
34,5.1551757,5.382856,"('mean', 'honorable')",5.1551757,5.3828559,0.2276802
35,-1.1286641,-1.3775433,"('corrupt', 'incorrupt')",-1.1286641,-1.3775433,-0.2488792
36,-0.71767807,-0.9036852,"('hostile', 'amicable')",-0.7176781,-0.9036852,-0.1860071
37,0.7861288,0.7832075,"('fake', 'genuine')",0.7861288,0.7832075,-0.0029213
38,0.34193218,0.36243504,"('untruthful', 'truthful')",0.3419322,0.362435,0.0205028
39,-0.08551086,-0.10101658,"('exploitative', 'cooperative')",-0.0855109,-0.1010166,-0.0155057
40,-1.7566657,-1.9850212,"('stingy', 'generous')",-1.7566657,-1.9850212,-0.2283555
41,0.42700863,0.34457642,"('unforgiving', 'forgiving')",0.4270086,0.3445764,-0.0824322
42,-2.5849202,-2.5416,"('unreliable', 'reliable')",-2.5849202,-2.5416,0.0433202
43,1.3876195,1.4275558,"('irresponsible', 'responsible')",1.3876195,1.4275558,0.0399363
44,-1.5199132,-1.5469711,"('prejudiced', 'unprejudiced')",-1.5199132,-1.5469711,-0.0270579
