,access_male,access_female,tuple,average_male,average_female,female-male
0,0.1407189,-0.057158772,"('unsociable', 'sociable')",0.1407189,-0.0571588,-0.1978777
1,1.5810577,1.6640024,"('unfriendly', 'friendly')",1.5810577,1.6640024,0.0829447
2,0.028716475,0.22058393,"('unlikable', 'likable')",0.0287165,0.2205839,0.1918674
3,0.7153085,0.9587488,"('repellent', 'pleasant')",0.7153085,0.9587488,0.2434403
4,-7.1429696,-7.130368,"('disliked', 'liked')",-7.1429696,-7.1303682,0.0126014
5,-0.5842154,-0.19174859,"('distant', 'outgoing')",-0.5842154,-0.1917486,0.3924668
6,-0.10916035,0.22431229,"('distant', 'open')",-0.1091603,0.2243123,0.3334726
7,1.3450606,1.3023254,"('insensitive', 'sensitive')",1.3450606,1.3023254,-0.0427352
8,1.184386,1.3014294,"('unaffectionate', 'affectionate')",1.184386,1.3014294,0.1170434
9,1.9640452,2.1434078,"('unaffectionate', 'caring')",1.9640452,2.1434078,0.1793626
10,1.1563004,1.0530514,"('unsympathetic', 'sympathetic')",1.1563004,1.0530514,-0.103249
11,2.4393737,2.4717834,"('unhelpful', 'helpful')",2.4393737,2.4717834,0.0324097
12,-1.1215701,-1.0916566,"('unsupportive', 'supportive')",-1.1215701,-1.0916566,0.0299135
13,0.12867391,0.0494121,"('impolite', 'polite')",0.1286739,0.0494121,-0.0792618
14,0.026635353,-0.22347851,"('antisocial', 'social')",0.0266354,-0.2234785,-0.2501139
15,0.5818528,0.57015395,"('boring', 'funny')",0.5818528,0.570154,-0.0116988
16,-0.86639744,-0.6282205,"('unpopular', 'popular')",-0.8663974,-0.6282205,0.2381769
17,-0.45014435,-0.32325006,"('nasty', 'nice')",-0.4501444,-0.3232501,0.1268943
18,-0.28852838,-0.31777743,"('disagreeable', 'welcoming')",-0.2885284,-0.3177774,-0.029249
19,-0.7414069,-0.43241608,"('inhospitable', 'hospitable')",-0.7414069,-0.4324161,0.3089908
20,0.54941934,0.24286601,"('rough', 'thoughtful')",0.5494193,0.242866,-0.3065533
21,-0.010687016,-0.10851829,"('immoral', 'moral')",-0.010687,-0.1085183,-0.0978313
22,-0.58958983,-0.4702002,"('untrustworthy', 'trustworthy')",-0.5895898,-0.4702002,0.1193896
23,6.825367,6.977028,"('insincere', 'sincere')",6.825367,6.9770279,0.1516609
24,2.002982,2.076872,"('dishonest', 'honest')",2.0029819,2.0768721,0.0738902
25,1.0184424,0.99759907,"('egoistic', 'altruistic')",1.0184424,0.9975991,-0.0208433
26,1.1568004,0.60930014,"('hardhearted', 'benevolent')",1.1568004,0.6093001,-0.5475003
27,2.3142133,2.1674337,"('hardhearted', 'softhearted')",2.3142133,2.1674337,-0.1467796
28,1.3549957,1.2971392,"('disloyal', 'loyal')",1.3549957,1.2971392,-0.0578565
29,-0.994081,-0.9106781,"('unfair', 'fair')",-0.994081,-0.9106781,0.0834029
30,1.1721445,1.0689486,"('intolerant', 'tolerant')",1.1721445,1.0689486,-0.1031959
31,-1.9763296,-1.824675,"('evil', 'good')",-1.9763296,-1.824675,0.1516546
32,1.4169341,1.1126168,"('unkind', 'kind')",1.4169341,1.1126168,-0.3043173
33,-0.08500189,0.04802686,"('wrong', 'right')",-0.0850019,0.0480269,0.1330288
34,4.8686295,5.3258843,"('mean', 'honorable')",4.8686295,5.3258843,0.4572548
35,-1.5353802,-1.3377205,"('corrupt', 'incorrupt')",-1.5353802,-1.3377205,0.1976597
36,-1.1047498,-0.96658885,"('hostile', 'amicable')",-1.1047498,-0.9665889,0.1381609
37,1.0320461,0.95273226,"('fake', 'genuine')",1.0320461,0.9527323,-0.0793138
38,0.18654571,0.26096553,"('untruthful', 'truthful')",0.1865457,0.2609655,0.0744198
