,bedroom_male,bedroom_female,tuple,average_male,average_female,female-male
0,-0.17833449,-0.35116503,"('unsociable', 'sociable')",-0.1783345,-0.351165,-0.1728305
1,0.9420248,1.2251134,"('unfriendly', 'friendly')",0.9420248,1.2251134,0.2830886
2,-0.2036159,-0.07586387,"('unlikable', 'likable')",-0.2036159,-0.0758639,0.127752
3,0.59249395,0.42818722,"('repellent', 'pleasant')",0.592494,0.4281872,-0.1643068
4,-7.2684484,-7.437042,"('disliked', 'liked')",-7.2684484,-7.4370422,-0.1685938
5,-0.626201,-0.3581408,"('distant', 'outgoing')",-0.626201,-0.3581408,0.2680602
6,-0.2055745,-0.008333832,"('distant', 'open')",-0.2055745,-0.0083338,0.1972407
7,0.80877507,0.77333874,"('insensitive', 'sensitive')",0.8087751,0.7733387,-0.0354364
8,0.9859926,1.1358361,"('unaffectionate', 'affectionate')",0.9859926,1.1358361,0.1498435
9,1.2825179,1.5702165,"('unaffectionate', 'caring')",1.2825179,1.5702165,0.2876986
10,0.797047,0.5078179,"('unsympathetic', 'sympathetic')",0.797047,0.5078179,-0.2892291
11,1.361333,1.4819499,"('unhelpful', 'helpful')",1.361333,1.4819499,0.1206169
12,-1.8061651,-1.7663724,"('unsupportive', 'supportive')",-1.8061651,-1.7663724,0.0397927
13,-0.34365726,-0.48366985,"('impolite', 'polite')",-0.3436573,-0.4836698,-0.1400125
14,0.48459607,0.21714498,"('antisocial', 'social')",0.4845961,0.217145,-0.2674511
15,0.017864496,0.114145964,"('boring', 'funny')",0.0178645,0.114146,0.0962815
16,-0.81542957,-0.7117404,"('unpopular', 'popular')",-0.8154296,-0.7117404,0.1036892
17,-0.19212615,-0.13751104,"('nasty', 'nice')",-0.1921262,-0.137511,0.0546152
18,-0.4563447,-0.49276668,"('disagreeable', 'welcoming')",-0.4563447,-0.4927667,-0.036422
19,-0.85121983,-0.6331627,"('inhospitable', 'hospitable')",-0.8512198,-0.6331627,0.2180571
20,1.000366,0.8127953,"('rough', 'thoughtful')",1.000366,0.8127953,-0.1875707
21,-0.5232201,-0.67481834,"('immoral', 'moral')",-0.5232201,-0.6748183,-0.1515982
22,-0.58257365,-0.7688866,"('untrustworthy', 'trustworthy')",-0.5825737,-0.7688866,-0.1863129
23,5.896479,6.0846586,"('insincere', 'sincere')",5.8964791,6.0846586,0.1881795
24,1.413103,1.3678501,"('dishonest', 'honest')",1.413103,1.3678501,-0.0452529
25,0.7281977,0.82751304,"('egoistic', 'altruistic')",0.7281977,0.827513,0.0993153
26,0.90388733,0.87115866,"('hardhearted', 'benevolent')",0.9038873,0.8711587,-0.0327286
27,1.5216261,1.3037151,"('hardhearted', 'softhearted')",1.5216261,1.3037151,-0.217911
28,0.99182093,1.1397308,"('disloyal', 'loyal')",0.9918209,1.1397308,0.1479099
29,-0.32392412,-0.33627573,"('unfair', 'fair')",-0.3239241,-0.3362757,-0.0123516
30,0.835951,0.8060257,"('intolerant', 'tolerant')",0.835951,0.8060257,-0.0299253
31,-1.3017187,-0.992378,"('evil', 'good')",-1.3017187,-0.992378,0.3093407
32,1.0359718,1.0328598,"('unkind', 'kind')",1.0359718,1.0328598,-0.003112
33,-0.3959252,-0.2741181,"('wrong', 'right')",-0.3959252,-0.2741181,0.1218071
34,4.242236,4.5240927,"('mean', 'honorable')",4.2422361,4.5240927,0.2818566
35,-0.63818955,-0.5370067,"('corrupt', 'incorrupt')",-0.6381896,-0.5370067,0.1011829
36,-0.83206856,-0.5808456,"('hostile', 'amicable')",-0.8320686,-0.5808456,0.251223
37,0.707988,0.7004516,"('fake', 'genuine')",0.707988,0.7004516,-0.0075364
38,-0.3823643,-0.08765809,"('untruthful', 'truthful')",-0.3823643,-0.0876581,0.2947062
39,0.4866962,0.36320093,"('exploitative', 'cooperative')",0.4866962,0.3632009,-0.1234953
40,-1.4485652,-1.7401578,"('stingy', 'generous')",-1.4485652,-1.7401578,-0.2915926
