,bemis_male,bemis_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.82649326,-0.9733607,"('unsociable', 'sociable')",0.6365818,0.4292931,-0.46865198,-0.59228504,-0.2195212,-0.3787842,-0.159263
1,-1.0572721,-0.97735095,"('unfriendly', 'friendly')",-0.18178827,-0.28642026,2.0045664,1.9254228,0.2551687,0.2205505,-0.0346182
2,0.8462165,0.96843606,"('unlikable', 'likable')",1.5985442,1.7182977,0.63586056,0.7076399,1.0268737,1.1314579,0.1045842
3,-0.056342833,0.044390164,"('repellent', 'pleasant')",0.33896148,0.4012607,0.034892287,0.09223914,0.105837,0.1792967,0.0734597
4,0.40826023,0.31830305,"('disliked', 'liked')",-0.47507644,-0.60774726,-6.624703,-6.6902556,-2.2305064,-2.3265667,-0.0960603
5,-0.75375724,-0.68863976,"('distant', 'outgoing')",-0.88149416,-0.8892254,-0.038797103,-0.048906308,-0.5580162,-0.5422572,0.015759
6,-1.2506151,-1.1130779,"('distant', 'open')",-1.2451425,-1.1753188,0.5973266,0.58694166,-0.6328104,-0.5671517,0.0656587
7,-0.27966005,-0.26396987,"('insensitive', 'sensitive')",-0.42632103,-0.41781798,1.0176791,1.0561055,0.1038993,0.1247725,0.0208732
8,-0.7850481,-0.683802,"('unaffectionate', 'affectionate')",-0.9931599,-1.0398024,1.3050642,1.1563951,-0.1577146,-0.1890698,-0.0313552
9,-0.67127126,-0.5856461,"('unaffectionate', 'caring')",-0.44743472,-0.49467626,1.8293473,1.7693241,0.2368804,0.2296672,-0.0072132
10,-0.27082407,-0.3067913,"('unsympathetic', 'sympathetic')",-0.17994194,-0.17419437,-0.02227448,-0.025520442,-0.1576802,-0.1688354,-0.0111552
11,-0.42382672,-0.37332007,"('unhelpful', 'helpful')",0.034933574,0.08087794,1.7997229,1.8671595,0.4702766,0.5249058,0.0546292
12,-0.336306,-0.25657216,"('unsupportive', 'supportive')",-0.1887321,-0.09324974,-1.816353,-1.8224356,-0.7804637,-0.7240858,0.0563779
13,0.29837137,0.2833834,"('impolite', 'polite')",0.10651523,0.11316395,-0.5234082,-0.48591268,-0.0395072,-0.0297884,0.0097188
14,1.046259,0.91034395,"('antisocial', 'social')",1.583093,1.4192637,-0.3928998,-0.4975159,0.7454841,0.6106973,-0.1347868
15,-0.19993846,-0.30489475,"('boring', 'funny')",0.45793527,0.3344105,0.65328217,0.6249576,0.3037597,0.2181578,-0.0856019
16,-0.61317676,-0.49036667,"('unpopular', 'popular')",-0.82539916,-0.7236582,0.775536,0.7741101,-0.2210133,-0.1466383,0.074375
17,-0.114985764,-0.058140136,"('nasty', 'nice')",-0.16727021,-0.1423434,-0.8526361,-0.7761617,-0.3782974,-0.3255484,0.052749
18,-0.35390538,-0.18110982,"('disagreeable', 'welcoming')",-0.9805909,-0.86143523,-0.76152194,-0.80605006,-0.6986728,-0.6161984,0.0824744
19,-0.576233,-0.48927775,"('inhospitable', 'hospitable')",-0.8516006,-0.81203747,-0.059397332,-0.02800483,-0.4957436,-0.4431067,0.0526369
20,-0.18125053,-0.1321525,"('rough', 'thoughtful')",0.57946825,0.68055123,0.8246671,0.8525373,0.4076283,0.4669787,0.0593504
21,0.13109529,0.14956592,"('immoral', 'moral')",-0.043854322,0.033884093,-1.1642125,-1.0439281,-0.3589905,-0.2868261,0.0721644
22,0.22031626,0.24996115,"('untrustworthy', 'trustworthy')",0.491038,0.48851213,-1.2326263,-1.206362,-0.1737574,-0.1559629,0.0177945
23,-0.3858546,-0.3268339,"('insincere', 'sincere')",-0.29912046,-0.24860038,5.7931895,5.7879314,1.7027381,1.7374991,0.034761
24,0.26361382,0.3042438,"('dishonest', 'honest')",-0.1542044,-0.07778911,0.9247812,0.9653049,0.3447302,0.3972532,0.052523
25,-0.2835179,-0.18184394,"('egoistic', 'altruistic')",0.40088022,0.37098554,1.449895,1.4209263,0.5224191,0.5366893,0.0142702
26,0.73355997,0.58507997,"('hardhearted', 'benevolent')",2.3822434,2.2060535,2.0928895,1.9839761,1.7362309,1.5917031,-0.1445278
27,-0.009508349,0.1754581,"('hardhearted', 'softhearted')",-0.3022297,-0.16876045,1.7245868,1.6727086,0.4709496,0.5598021,0.0888525
28,-0.6318599,-0.7097206,"('disloyal', 'loyal')",-0.306436,-0.43757984,1.127396,0.9584576,0.0630334,-0.0629476,-0.125981
29,-0.6311936,-0.63348466,"('unfair', 'fair')",-0.5179627,-0.4986608,-0.8044305,-0.9637207,-0.6511956,-0.6986221,-0.0474265
30,0.9763939,0.9569762,"('intolerant', 'tolerant')",1.2912401,1.2457392,1.2694631,1.268066,1.1790323,1.1569271,-0.0221052
31,-0.44824433,-0.3087843,"('evil', 'good')",-0.17990299,-0.21416688,-0.749928,-0.84501714,-0.4593585,-0.4559894,0.0033691
32,-0.31402355,-0.33467665,"('unkind', 'kind')",0.58561796,0.47401696,0.9827548,0.8244452,0.4181164,0.3212618,-0.0968546
33,0.32181913,0.31974998,"('wrong', 'right')",-0.16675487,-0.15883009,-0.11827403,-0.1415748,0.0122634,0.0064484,-0.005815
34,-0.3777455,-0.23855528,"('mean', 'honorable')",0.013804443,0.21635833,5.7836876,5.9510794,1.8065821,1.9762942,0.1697121
35,-0.12276916,-0.20321125,"('corrupt', 'incorrupt')",-0.8604858,-0.9682978,0.22974691,0.07295472,-0.2511694,-0.3661848,-0.1150154
36,-0.46418852,-0.43636787,"('hostile', 'amicable')",-1.030168,-1.22641,0.7081956,0.5412641,-0.2620537,-0.3738379,-0.1117842
37,0.5261032,0.57557535,"('fake', 'genuine')",-0.5766845,-0.44136232,0.20675689,0.2799907,0.0520585,0.1380679,0.0860094
38,-0.19071507,-0.15062764,"('untruthful', 'truthful')",-0.9053016,-0.89498407,0.047863446,0.11387778,-0.3493844,-0.310578,0.0388064
39,0.62639695,0.70739794,"('exploitative', 'cooperative')",1.532164,1.7328118,-0.11066579,-0.05712258,0.6826317,0.7943625,0.1117308
40,0.021022575,-0.004312059,"('stingy', 'generous')",0.17254698,0.16084458,-1.4780616,-1.5001632,-0.428164,-0.4478769,-0.0197129
41,0.40030697,0.34545502,"('unforgiving', 'forgiving')",0.6200084,0.47347298,0.09091603,0.0233617,0.3704105,0.2807632,-0.0896473
42,0.7594524,0.8538502,"('unreliable', 'reliable')",0.62734187,0.90564835,-2.9749074,-2.8408182,-0.529371,-0.3604399,0.1689311
43,0.039224505,0.18266779,"('irresponsible', 'responsible')",0.6084045,0.8046797,0.800609,0.87234306,0.482746,0.6198968,0.1371508
44,0.72988784,0.7652383,"('prejudiced', 'unprejudiced')",-0.96000874,-0.8124466,-1.8213097,-1.7664874,-0.6838102,-0.6045652,0.079245
