,newfield_male,newfield_female,tuple,exploration_male,exploration_female,co_male,co_female,average_male,average_female,female-male
0,-1.1053356,-1.2082112,"('unsociable', 'sociable')",0.270713,0.17640404,-0.02598718,-0.15336691,-0.2868699,-0.395058,-0.1081881
1,-1.5266182,-1.5817118,"('unfriendly', 'friendly')",0.4762762,0.2926513,1.2747664,1.1773858,0.0748081,-0.0372249,-0.112033
2,0.1346131,0.14601876,"('unlikable', 'likable')",1.2129163,1.1748354,0.96225405,1.0653876,0.7699278,0.795414,0.0254862
3,-0.03808286,-0.060981628,"('repellent', 'pleasant')",0.27859488,0.261461,0.6601962,0.6900329,0.3002361,0.2968374,-0.0033987
4,-0.008235977,-0.040406,"('disliked', 'liked')",-0.40405193,-0.4960522,-6.90588,-6.9608,-2.4393892,-2.4990861,-0.0596969
5,-1.1631899,-1.1140479,"('distant', 'outgoing')",-1.3658669,-1.3452594,-0.8406344,-0.7796915,-1.1232304,-1.0796662,0.0435642
6,-1.3495833,-1.2877516,"('distant', 'open')",-1.2739886,-1.3025138,-0.77405167,-0.6969014,-1.1325412,-1.0957222,0.036819
7,-0.5284184,-0.5327743,"('insensitive', 'sensitive')",0.8569205,0.88428855,0.03760852,0.12028034,0.1220369,0.1572648,0.0352279
8,-1.1424484,-1.1944437,"('unaffectionate', 'affectionate')",0.14964128,0.060628623,0.5169224,0.47525117,-0.1586282,-0.2195213,-0.0608931
9,-1.1553009,-1.2020669,"('unaffectionate', 'caring')",0.7754492,0.7136571,1.013089,1.0312226,0.2110791,0.1809376,-0.0301415
10,-1.1541638,-1.2232975,"('unsympathetic', 'sympathetic')",0.28193128,0.2643556,-0.32423165,-0.26335678,-0.3988214,-0.4074329,-0.0086115
11,-0.56541014,-0.56320226,"('unhelpful', 'helpful')",0.5300955,0.5775181,2.0682235,2.093821,0.6776363,0.7027123,0.025076
12,-0.1382133,-0.09037298,"('unsupportive', 'supportive')",0.77385515,0.8450193,-2.1859818,-2.0805578,-0.51678,-0.4419705,0.0748095
13,0.25102934,0.26108804,"('impolite', 'polite')",0.48066688,0.55205023,-0.09911913,-0.14084098,0.210859,0.2240991,0.0132401
14,0.1635834,0.11266261,"('antisocial', 'social')",0.6309978,0.67188567,-0.023180662,-0.07958165,0.2571335,0.2349889,-0.0221446
15,-0.06102096,-0.09913529,"('boring', 'funny')",0.07981293,0.036990114,0.4196414,0.3486672,0.1461445,0.0955073,-0.0506372
16,-0.17337272,-0.24391893,"('unpopular', 'popular')",0.01418066,-0.072244376,0.22294962,0.1301629,0.0212525,-0.0620001,-0.0832526
17,-0.40247774,-0.40530586,"('nasty', 'nice')",-1.1831245,-1.0970322,-0.04294821,-0.04793199,-0.5428502,-0.5167567,0.0260935
18,-0.08024697,-0.070705086,"('disagreeable', 'welcoming')",0.0073830634,0.03137274,-0.90113056,-0.91786295,-0.3246648,-0.3190651,0.0055997
19,-2.4547024,-2.3745728,"('inhospitable', 'hospitable')",-3.2799394,-3.26569,-0.6504445,-0.59238607,-2.1283622,-2.0775496,0.0508126
20,-0.70824903,-0.69553095,"('rough', 'thoughtful')",0.0408497,0.12238136,0.31422818,0.27386647,-0.1177237,-0.099761,0.0179627
21,-0.09626272,-0.15009595,"('immoral', 'moral')",0.64067936,0.62911576,-0.5157278,-0.43427232,0.0095629,0.0149158,0.0053529
22,-0.105281,-0.17252986,"('untrustworthy', 'trustworthy')",0.10209702,0.060989812,-0.28137282,-0.27268937,-0.0948523,-0.1280765,-0.0332242
23,-0.60881305,-0.74093604,"('insincere', 'sincere')",1.2291563,1.1653241,6.2232165,6.1327815,2.2811866,2.1857231,-0.0954635
24,-0.14854665,-0.21897797,"('dishonest', 'honest')",0.5139186,0.5222539,0.81627333,0.84209996,0.3938818,0.3817919,-0.0120899
25,-0.30413654,-0.28405026,"('egoistic', 'altruistic')",0.36295533,0.326764,1.2184145,1.161973,0.4257445,0.4015623,-0.0241822
26,-0.5472383,-0.59119976,"('hardhearted', 'benevolent')",1.3131092,1.263794,1.1981992,1.148,0.65469,0.6068647,-0.0478253
27,-1.8970714,-1.855199,"('hardhearted', 'softhearted')",-0.52471566,-0.48232126,0.6682088,0.5862269,-0.5845261,-0.5837644,0.0007617
28,-0.20646675,-0.36457187,"('disloyal', 'loyal')",0.4731038,0.31554204,1.0293705,0.9241524,0.4320025,0.2917075,-0.140295
