,cop_male,cop_female,tuple,average_male,average_female,female-male
0,0.31838006,0.21421534,"('unsociable', 'sociable')",0.3183801,0.2142153,-0.1041648
1,1.3875935,1.3925478,"('unfriendly', 'friendly')",1.3875935,1.3925478,0.0049543
2,-0.029367464,0.046958286,"('unlikable', 'likable')",-0.0293675,0.0469583,0.0763258
3,0.5084866,0.52126247,"('repellent', 'pleasant')",0.5084866,0.5212625,0.0127759
4,-7.225861,-7.3612843,"('disliked', 'liked')",-7.2258611,-7.3612843,-0.1354232
5,-0.6790647,-0.6196102,"('distant', 'outgoing')",-0.6790647,-0.6196102,0.0594545
6,-0.11326924,-0.09904136,"('distant', 'open')",-0.1132692,-0.0990414,0.0142278
7,0.85532796,0.8838874,"('insensitive', 'sensitive')",0.855328,0.8838874,0.0285594
8,1.1887065,1.1782714,"('unaffectionate', 'affectionate')",1.1887065,1.1782714,-0.0104351
9,1.9137253,1.9711306,"('unaffectionate', 'caring')",1.9137253,1.9711306,0.0574053
10,1.0784527,1.0615175,"('unsympathetic', 'sympathetic')",1.0784527,1.0615175,-0.0169352
11,1.7844812,1.8395184,"('unhelpful', 'helpful')",1.7844812,1.8395184,0.0550372
12,-1.6015375,-1.595222,"('unsupportive', 'supportive')",-1.6015375,-1.595222,0.0063155
13,-0.2936892,-0.3027196,"('impolite', 'polite')",-0.2936892,-0.3027196,-0.0090304
14,0.35691258,0.29487622,"('antisocial', 'social')",0.3569126,0.2948762,-0.0620364
15,0.4744228,0.3935599,"('boring', 'funny')",0.4744228,0.3935599,-0.0808629
16,-0.65711373,-0.58967644,"('unpopular', 'popular')",-0.6571137,-0.5896764,0.0674373
17,-0.36093,-0.27785745,"('nasty', 'nice')",-0.36093,-0.2778575,0.0830725
18,-0.35308534,-0.40945125,"('disagreeable', 'welcoming')",-0.3530853,-0.4094512,-0.0563659
19,-0.79711795,-0.80038536,"('inhospitable', 'hospitable')",-0.7971179,-0.8003854,-0.0032675
20,0.7151881,0.6656597,"('rough', 'thoughtful')",0.7151881,0.6656597,-0.0495284
21,-0.23859566,-0.20939568,"('immoral', 'moral')",-0.2385957,-0.2093957,0.0292
22,-0.5227521,-0.6007554,"('untrustworthy', 'trustworthy')",-0.5227521,-0.6007554,-0.0780033
23,6.5015087,6.5881367,"('insincere', 'sincere')",6.5015087,6.5881367,0.086628
24,1.5558568,1.4915322,"('dishonest', 'honest')",1.5558568,1.4915322,-0.0643246
25,1.046286,0.9674661,"('egoistic', 'altruistic')",1.046286,0.9674661,-0.0788199
26,0.9350417,0.90641826,"('hardhearted', 'benevolent')",0.9350417,0.9064183,-0.0286234
27,1.510471,1.3972282,"('hardhearted', 'softhearted')",1.510471,1.3972282,-0.1132428
28,1.3066678,1.2818893,"('disloyal', 'loyal')",1.3066678,1.2818893,-0.0247785
