,eve_male,eve_female,tuple,average_male,average_female,female-male
0,-0.6015848,-0.66261905,"('unsociable', 'sociable')",-0.6015848,-0.6626191,-0.0610343
1,1.2523988,1.2832642,"('unfriendly', 'friendly')",1.2523988,1.2832642,0.0308654
2,-0.107782856,-0.06817262,"('unlikable', 'likable')",-0.1077829,-0.0681726,0.0396103
3,0.26190436,0.26784995,"('repellent', 'pleasant')",0.2619044,0.26785,0.0059456
4,-7.0408483,-7.2829423,"('disliked', 'liked')",-7.0408483,-7.2829423,-0.242094
5,-0.14377235,-0.14468844,"('distant', 'outgoing')",-0.1437723,-0.1446884,-0.0009161
6,0.379599,0.33216852,"('distant', 'open')",0.379599,0.3321685,-0.0474305
7,0.17961448,0.27277452,"('insensitive', 'sensitive')",0.1796145,0.2727745,0.09316
8,1.5361724,1.4951988,"('unaffectionate', 'affectionate')",1.5361724,1.4951988,-0.0409736
9,1.5320655,1.6241157,"('unaffectionate', 'caring')",1.5320655,1.6241157,0.0920502
10,0.14178495,0.1405926,"('unsympathetic', 'sympathetic')",0.141785,0.1405926,-0.0011924
11,0.89575374,1.0124114,"('unhelpful', 'helpful')",0.8957537,1.0124114,0.1166577
12,-2.129479,-2.1462014,"('unsupportive', 'supportive')",-2.1294789,-2.1462014,-0.0167225
13,-0.87874305,-0.9072797,"('impolite', 'polite')",-0.8787431,-0.9072797,-0.0285366
14,-0.30961785,-0.37858823,"('antisocial', 'social')",-0.3096178,-0.3785882,-0.0689704
15,0.20599279,0.14971326,"('boring', 'funny')",0.2059928,0.1497133,-0.0562795
16,-0.4644984,-0.44987848,"('unpopular', 'popular')",-0.4644984,-0.4498785,0.0146199
17,-0.08686107,-0.10571877,"('nasty', 'nice')",-0.0868611,-0.1057188,-0.0188577
18,-0.13082606,-0.19898681,"('disagreeable', 'welcoming')",-0.1308261,-0.1989868,-0.0681607
19,-0.45742187,-0.47933182,"('inhospitable', 'hospitable')",-0.4574219,-0.4793318,-0.0219099
20,0.4787406,0.43446743,"('rough', 'thoughtful')",0.4787406,0.4344674,-0.0442732
21,-1.0942365,-0.97835976,"('immoral', 'moral')",-1.0942365,-0.9783598,0.1158767
22,-0.731193,-0.765887,"('untrustworthy', 'trustworthy')",-0.731193,-0.765887,-0.034694
23,5.820971,6.039613,"('insincere', 'sincere')",5.820971,6.0396128,0.2186418
24,1.2479322,1.2031438,"('dishonest', 'honest')",1.2479322,1.2031438,-0.0447884
25,0.94889456,0.828848,"('egoistic', 'altruistic')",0.9488946,0.828848,-0.1200466
26,0.9580514,0.9589318,"('hardhearted', 'benevolent')",0.9580514,0.9589318,0.0008804
27,1.7529771,1.5763191,"('hardhearted', 'softhearted')",1.7529771,1.5763191,-0.176658
28,0.84200466,0.89171386,"('disloyal', 'loyal')",0.8420047,0.8917139,0.0497092
29,-0.32520458,-0.52100223,"('unfair', 'fair')",-0.3252046,-0.5210022,-0.1957976
30,0.38501996,0.3486131,"('intolerant', 'tolerant')",0.38502,0.3486131,-0.0364069
31,-0.80280405,-0.9072507,"('evil', 'good')",-0.8028041,-0.9072507,-0.1044466
32,0.58465326,0.51825726,"('unkind', 'kind')",0.5846533,0.5182573,-0.066396
33,-0.26681507,-0.2740998,"('wrong', 'right')",-0.2668151,-0.2740998,-0.0072847
34,4.747725,5.004446,"('mean', 'honorable')",4.747725,5.004446,0.256721
35,0.20058013,0.054032832,"('corrupt', 'incorrupt')",0.2005801,0.0540328,-0.1465473
36,0.11380554,0.064532846,"('hostile', 'amicable')",0.1138055,0.0645328,-0.0492727
37,0.5390027,0.45803005,"('fake', 'genuine')",0.5390027,0.45803,-0.0809727
38,-0.3669069,-0.27776387,"('untruthful', 'truthful')",-0.3669069,-0.2777639,0.089143
39,0.3725412,0.3836056,"('exploitative', 'cooperative')",0.3725412,0.3836056,0.0110644
40,-1.4132633,-1.6795088,"('stingy', 'generous')",-1.4132633,-1.6795088,-0.2662455
41,-0.10342064,-0.15718925,"('unforgiving', 'forgiving')",-0.1034206,-0.1571892,-0.0537686
42,-2.6200747,-2.7607038,"('unreliable', 'reliable')",-2.6200747,-2.7607038,-0.1406291
43,0.41188318,0.46234763,"('irresponsible', 'responsible')",0.4118832,0.4623476,0.0504644
44,-0.6104638,-0.6980678,"('prejudiced', 'unprejudiced')",-0.6104638,-0.6980678,-0.087604
45,-0.702078,-0.7560241,"('incompetent', 'competent')",-0.702078,-0.7560241,-0.0539461
46,-1.3027651,-1.3693978,"('uncompetitive', 'competitive')",-1.3027651,-1.3693978,-0.0666327
47,4.868323,5.136857,"('stupid', 'smart')",4.8683228,5.136857,0.2685342
48,-0.040435795,0.0016124509,"('unintelligent', 'intelligent')",-0.0404358,0.0016125,0.0420483
49,0.06801568,0.16749164,"('unable', 'able')",0.0680157,0.1674916,0.0994759
50,-0.51543635,-0.45415214,"('clumsy', 'skillful')",-0.5154364,-0.4541521,0.0612843
51,0.07804344,0.0144465715,"('uneducated', 'educated')",0.0780434,0.0144466,-0.0635968
52,-0.041353934,-0.18009235,"('irrational', 'rational')",-0.0413539,-0.1800923,-0.1387384
53,-0.22659494,-0.24010335,"('uncreative', 'creative')",-0.2265949,-0.2401033,-0.0135084
54,0.9413578,1.0539522,"('incapable', 'capable')",0.9413578,1.0539522,0.1125944
55,-0.082766846,-0.09086103,"('incompetent', 'clever')",-0.0827668,-0.090861,-0.0080942
56,-0.2723738,-0.21167636,"('impractical', 'practical')",-0.2723738,-0.2116764,0.0606974
57,-3.2731903,-3.383628,"('unimaginative', 'imaginative')",-3.2731903,-3.3836279,-0.1104376
58,0.015964374,-0.0062561706,"('undiscriminating', 'discriminating')",0.0159644,-0.0062562,-0.0222206
59,0.21896705,0.26006,"('foolish', 'wise')",0.2189671,0.26006,0.0410929
60,-0.49575043,-0.39733282,"('inefficient', 'efficient')",-0.4957504,-0.3973328,0.0984176
61,0.103344,0.05882781,"('illogical', 'logical')",0.103344,0.0588278,-0.0445162
62,-0.32463208,-0.22257027,"('incompetent', 'brilliant')",-0.3246321,-0.2225703,0.1020618
63,-0.7584771,-0.67886996,"('unperceptive', 'insightful')",-0.7584771,-0.67887,0.0796071
64,-6.467078,-6.6407857,"('shy', 'confident')",-6.4670782,-6.6407857,-0.1737075
65,-0.50646555,-0.51219887,"('insecure', 'secure')",-0.5064656,-0.5121989,-0.0057333
66,0.34988448,0.25204623,"('inactive', 'active')",0.3498845,0.2520462,-0.0978383
67,-0.4695652,-0.34794706,"('doubtful', 'determined')",-0.4695652,-0.3479471,0.1216181
68,-0.82380646,-0.829699,"('dependent', 'independent')",-0.8238065,-0.829699,-0.0058925
69,-1.2954178,-1.339933,"('lazy', 'industrious')",-1.2954178,-1.339933,-0.0445152
70,0.6454928,0.54885066,"('lethargic', 'energetic')",0.6454928,0.5488507,-0.0966421
71,0.82948166,0.87971383,"('diffident', 'self-confident')",0.8294817,0.8797138,0.0502321
72,0.22975275,0.35596907,"('unambitious', 'ambitious')",0.2297527,0.3559691,0.1262164
73,-2.8147244,-2.8414588,"('helpless', 'self-reliant')",-2.8147244,-2.8414588,-0.0267344
74,-0.26752332,-0.3535343,"('undedicated', 'dedicated')",-0.2675233,-0.3535343,-0.086011
75,-0.22497216,-0.19048913,"('meek', 'impulsive')",-0.2249722,-0.1904891,0.0344831
76,0.31219628,0.23592886,"('anxious', 'daring')",0.3121963,0.2359289,-0.0762674
77,-1.7029817,-1.5325408,"('unmotivated', 'motivated')",-1.7029817,-1.5325408,0.1704409
78,-0.8732383,-0.84911555,"('nonresilient', 'resilient')",-0.8732383,-0.8491156,0.0241227
79,0.1064556,0.17997727,"('wavering', 'unwavering')",0.1064556,0.1799773,0.0735217
80,-0.5914527,-0.6460634,"('dominated', 'dominating')",-0.5914527,-0.6460634,-0.0546107
81,-0.737712,-0.7084595,"('submissive', 'aggressive')",-0.737712,-0.7084595,0.0292525
82,5.7854066,5.999259,"('poor', 'rich')",5.7854066,5.999259,0.2138524
83,-0.43928865,-0.4018674,"('powerless', 'powerful')",-0.4392886,-0.4018674,0.0374212
84,0.5564943,0.6141174,"('inferior', 'superior')",0.5564943,0.6141174,0.0576231
85,0.2445519,0.19959772,"('insignificant', 'prestigious')",0.2445519,0.1995977,-0.0449542
