,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.3450493,-1.4263705,"('unsociable', 'sociable')",-0.25157365,-0.37399498,-0.7983115,-0.9001827,-0.1018712
1,-1.9229604,-2.1286564,"('unfriendly', 'friendly')",1.5704367,1.3557689,-0.1762618,-0.3864437,-0.2101819
2,0.9623876,0.9768025,"('unlikable', 'likable')",0.7618393,0.8021577,0.8621135,0.8894801,0.0273666
3,-0.2837509,-0.16702385,"('repellent', 'pleasant')",0.3061614,0.40308303,0.0112053,0.1180296,0.1068243
4,-0.39399064,-0.472408,"('disliked', 'liked')",-6.8484554,-6.984294,-3.621223,-3.7283509,-0.1071279
5,-0.5358334,-0.6277603,"('distant', 'outgoing')",-0.24344075,-0.314163,-0.3896371,-0.4709616,-0.0813245
6,-0.6828126,-0.76205087,"('distant', 'open')",-0.25509542,-0.33884865,-0.468954,-0.5504497,-0.0814957
7,-0.52631646,-0.45015892,"('insensitive', 'sensitive')",-0.035294823,0.070884205,-0.2808056,-0.1896374,0.0911682
8,-2.0199618,-2.1237316,"('unaffectionate', 'affectionate')",0.576741,0.47872978,-0.7216104,-0.8225009,-0.1008905
9,-1.7891772,-1.9138335,"('unaffectionate', 'caring')",1.1909504,1.1798491,-0.2991134,-0.3669922,-0.0678788
10,-1.5960594,-1.567357,"('unsympathetic', 'sympathetic')",-0.64061,-0.653027,-1.1183348,-1.1101919,0.0081429
11,-0.6593833,-0.6760756,"('unhelpful', 'helpful')",1.8373954,1.8909549,0.5890061,0.6074396,0.0184335
12,-1.4248892,-1.3768815,"('unsupportive', 'supportive')",-2.230835,-2.1981728,-1.827862,-1.7875271,0.0403349
13,0.30305368,0.2547774,"('impolite', 'polite')",-0.5980152,-0.5364322,-0.1474808,-0.1408274,0.0066534
14,0.012441777,0.18303487,"('antisocial', 'social')",-0.11807641,-0.032323662,-0.0528173,0.0753556,0.1281729
15,0.53234935,0.42923754,"('boring', 'funny')",0.2861368,0.30517033,0.4092431,0.367204,-0.0420391
16,-0.27223325,-0.30408657,"('unpopular', 'popular')",0.3579782,0.3144418,0.0428725,0.0051776,-0.0376949
17,0.12396919,0.16084105,"('nasty', 'nice')",-0.17810088,-0.1426199,-0.0270658,0.0091106,0.0361764
18,-0.52416444,-0.41698876,"('disagreeable', 'welcoming')",-0.47330758,-0.5112596,-0.498736,-0.4641242,0.0346118
19,-1.2373339,-1.3314745,"('inhospitable', 'hospitable')",-0.62071073,-0.66564524,-0.9290223,-0.9985599,-0.0695376
20,0.41905248,0.5598058,"('rough', 'thoughtful')",0.86588055,0.8816173,0.6424665,0.7207116,0.0782451
21,-0.25419116,-0.23419164,"('immoral', 'moral')",-0.82065326,-0.7409252,-0.5374222,-0.4875584,0.0498638
22,-0.07435731,0.019305509,"('untrustworthy', 'trustworthy')",-1.3071822,-1.2513437,-0.6907697,-0.6160191,0.0747506
23,-0.88178974,-0.9114268,"('insincere', 'sincere')",5.5594964,5.6493783,2.3388534,2.3689756,0.0301222
24,-0.8673241,-0.83388555,"('dishonest', 'honest')",0.6096607,0.65334976,-0.1288317,-0.0902679,0.0385638
25,-0.29970863,-0.3642363,"('egoistic', 'altruistic')",1.2569602,1.1856021,0.4786258,0.4106829,-0.0679429
26,-0.5751194,-0.635529,"('hardhearted', 'benevolent')",1.4565413,1.3038037,0.440711,0.3341374,-0.1065736
27,-0.5294304,-0.40682116,"('hardhearted', 'softhearted')",0.8387599,0.8361207,0.1546648,0.2146498,0.059985
28,-1.2163655,-1.314624,"('disloyal', 'loyal')",0.99423987,0.90251034,-0.1110628,-0.2060568,-0.094994
29,-0.39953026,-0.37055203,"('unfair', 'fair')",-0.5729542,-0.6019115,-0.4862422,-0.4862317,1.05e-05
30,0.11630656,0.15344301,"('intolerant', 'tolerant')",1.2405851,1.2962574,0.6784458,0.7248502,0.0464044
31,-0.91465247,-0.94742584,"('evil', 'good')",-0.7590253,-0.8973463,-0.8368388,-0.9223861,-0.0855473
32,-0.5701494,-0.58945084,"('unkind', 'kind')",0.67832583,0.6197432,0.0540882,0.0151462,-0.038942
33,0.18350263,0.07067385,"('wrong', 'right')",-0.55095553,-0.55978477,-0.1837265,-0.2445555,-0.060829
34,0.31465563,0.32815796,"('mean', 'honorable')",5.658579,5.7572894,2.9866173,3.0427237,0.0561064
35,0.7255987,0.6270908,"('corrupt', 'incorrupt')",-0.3263914,-0.4370442,0.1996036,0.0950233,-0.1045803
36,-0.82261735,-0.9682169,"('hostile', 'amicable')",-0.20933217,-0.38774318,-0.5159748,-0.6779801,-0.1620053
37,0.10001458,0.13440803,"('fake', 'genuine')",-0.011291125,0.030589812,0.0443617,0.0824989,0.0381372
38,-1.0098138,-1.1047134,"('untruthful', 'truthful')",0.12011282,0.15097687,-0.4448505,-0.4768683,-0.0320178
39,0.58773273,0.5524108,"('exploitative', 'cooperative')",0.26004997,0.2632802,0.4238914,0.4078455,-0.0160459
40,-0.2901344,-0.2542907,"('stingy', 'generous')",-1.8537208,-1.9525398,-1.0719275,-1.1034153,-0.0314878
41,-0.8878416,-0.8694488,"('unforgiving', 'forgiving')",-0.18667255,-0.18733849,-0.5372571,-0.5283936,0.0088635
42,0.775555,0.8753233,"('unreliable', 'reliable')",-3.469985,-3.412082,-1.3472149,-1.2683793,0.0788356
43,-0.7592426,-0.7298009,"('irresponsible', 'responsible')",0.28198949,0.31205642,-0.2386266,-0.2088722,0.0297544
44,1.1914657,1.2111882,"('prejudiced', 'unprejudiced')",-1.3099531,-1.3102975,-0.0592437,-0.0495546,0.0096891
45,-0.7393741,-0.69564366,"('incompetent', 'competent')",-0.3131163,-0.26041743,-0.5262452,-0.4780306,0.0482146
46,-0.94967496,-0.89537996,"('uncompetitive', 'competitive')",-1.2836843,-1.2066188,-1.1166797,-1.0509994,0.0656803
47,0.012013331,0.13401675,"('stupid', 'smart')",5.540574,5.7158217,2.7762938,2.9249191,0.1486253
48,-0.48700267,-0.4847881,"('unintelligent', 'intelligent')",0.94599205,0.97124845,0.2294947,0.2432302,0.0137355
49,-0.16918981,-0.03565792,"('unable', 'able')",-0.35793507,-0.1982474,-0.2635624,-0.1169527,0.1466097
50,0.501521,0.5270841,"('clumsy', 'skillful')",-0.013909772,-0.06962395,0.2438056,0.2287301,-0.0150755
51,-0.5127197,-0.52644116,"('uneducated', 'educated')",-0.11733137,-0.10399025,-0.3150255,-0.3152157,-0.0001902
52,-0.5714209,-0.75434905,"('irrational', 'rational')",0.42447054,0.3249007,-0.0734752,-0.2147242,-0.141249
53,-1.3978034,-1.4629594,"('uncreative', 'creative')",0.587992,0.46460217,-0.4049057,-0.4991786,-0.0942729
