,henry_male,henry_female,tuple,jack_male,jack_female,&_male,&_female,assoc_male,assoc_female,inc_male,inc_female,average_male,average_female,female-male
0,0.9354905,0.5706123,"('unsociable', 'sociable')",1.3215202,1.0455791,1.2574074,1.0476346,-0.22455089,-0.4345156,-0.06253727,-0.22597143,0.645466,0.4006678,-0.2447982
1,-1.0981581,-1.1326038,"('unfriendly', 'friendly')",-0.93516934,-1.0667053,-0.757189,-0.8527679,-1.687881,-1.849564,1.7678531,1.4807334,-0.5421088,-0.6841815,-0.1420727
2,0.7809895,0.84462476,"('unlikable', 'likable')",0.89175427,0.869545,0.94211346,0.8587977,0.8776218,0.85977554,0.53986466,0.56865704,0.8064688,0.80028,-0.0061888
3,-0.22004649,-0.26100487,"('repellent', 'pleasant')",0.35870206,0.35876125,-0.380552,-0.46871412,0.048227582,-0.059451573,-0.07498091,-0.009788137,-0.05373,-0.0880395,-0.0343095
4,-1.2535827,-1.3268062,"('disliked', 'liked')",-0.98740464,-1.0132207,0.0622852,0.10755628,0.1958962,0.16710374,-5.470725,-5.4767165,-1.4907063,-1.5084167,-0.0177104
5,-1.370793,-1.1818631,"('distant', 'outgoing')",-1.6757448,-1.599431,-0.45625767,-0.30846572,-0.43435535,-0.27136445,-0.1616008,-0.17468584,-0.8197503,-0.707162,0.1125883
6,-1.5230119,-1.2591376,"('distant', 'open')",-0.80857944,-0.619832,-0.47291172,-0.33492035,-0.14967793,-0.012137968,0.13904092,0.04958777,-0.563028,-0.435288,0.12774
7,0.28120685,0.08376635,"('insensitive', 'sensitive')",1.4718915,1.2722324,-0.10845589,-0.1748886,-0.3735528,-0.4568441,0.729813,0.6434273,0.4001805,0.2735387,-0.1266418
8,-0.9457164,-0.8693903,"('unaffectionate', 'affectionate')",-0.5063812,-0.5352691,-0.3567991,-0.34525582,-1.6029562,-1.6366992,0.41940427,0.26425233,-0.5984897,-0.6244724,-0.0259827
9,-0.31558445,-0.26871753,"('unaffectionate', 'caring')",-0.22486031,-0.3258032,-0.2491857,-0.29624504,-1.114131,-1.2217518,1.1058937,0.9569566,-0.1595735,-0.2311122,-0.0715387
10,0.98444164,0.6743877,"('unsympathetic', 'sympathetic')",1.3972592,1.1062557,0.064275,-0.14625916,-0.7902901,-0.95848477,0.26957712,0.12009907,0.3850526,0.1591997,-0.2258529
11,0.51711893,0.35728836,"('unhelpful', 'helpful')",-0.36593303,-0.5293704,-0.40626946,-0.60373354,-0.24065287,-0.33031306,1.90247,1.8199202,0.2813467,0.1427583,-0.1385884
12,0.65985066,0.6326537,"('unsupportive', 'supportive')",0.87150127,0.8385402,0.5049322,0.53107446,-0.5055489,-0.4669386,-1.2712259,-1.2847844,0.0519019,0.0501091,-0.0017928
13,1.7631527,1.5572913,"('impolite', 'polite')",0.5773643,0.4660163,0.8835932,0.80973464,0.82001317,0.7804071,0.21693797,0.21422614,0.8522122,0.7655351,-0.0866771
14,1.2375606,0.88405234,"('antisocial', 'social')",1.4711217,1.1911407,1.5464923,1.3550656,0.24628231,0.09969028,-0.42920166,-0.43609053,0.814451,0.6187716,-0.1956794
15,-0.4832667,-0.47385707,"('boring', 'funny')",0.26541907,0.25261232,-0.022879831,0.11370786,0.19828525,0.2278758,0.41800708,0.37543356,0.075113,0.0991545,0.0240415
16,-1.6435008,-1.5442245,"('unpopular', 'popular')",-0.94297266,-0.9145937,-0.09719722,-0.093313605,0.12810412,0.11008021,0.54802656,0.5593694,-0.401508,-0.3765365,0.0249715
17,-0.80109316,-0.72109264,"('nasty', 'nice')",-1.1023287,-1.0603013,-0.094797924,-0.0084191635,0.030204574,0.13127802,-0.7184851,-0.59933835,-0.5373001,-0.4515747,0.0857254
18,-0.3600987,-0.5073492,"('disagreeable', 'welcoming')",-0.53452665,-0.62918913,0.23148227,0.2094749,-0.7593635,-0.76531196,-0.5362389,-0.68247986,-0.3917491,-0.474971,-0.0832219
19,-0.6022498,-0.38687697,"('inhospitable', 'hospitable')",-0.5729593,-0.4896673,-1.3045971,-1.2706897,-0.7464306,-0.6375086,-0.34915566,-0.3942803,-0.7150785,-0.6358046,0.0792739
