,cameo_male,cameo_female,tuple,average_male,average_female,female-male
0,-0.15543948,-0.17194498,"('unsociable', 'sociable')",-0.1554395,-0.171945,-0.0165055
1,0.94191027,0.949773,"('unfriendly', 'friendly')",0.9419103,0.949773,0.0078627
2,-0.1947592,-0.10124456,"('unlikable', 'likable')",-0.1947592,-0.1012446,0.0935146
3,0.7818218,0.8124954,"('repellent', 'pleasant')",0.7818218,0.8124954,0.0306736
4,-7.3728733,-7.5391955,"('disliked', 'liked')",-7.3728733,-7.5391955,-0.1663222
5,-0.69973457,-0.67720014,"('distant', 'outgoing')",-0.6997346,-0.6772001,0.0225345
6,-0.11909212,-0.16343701,"('distant', 'open')",-0.1190921,-0.163437,-0.0443449
7,0.7567865,0.80733687,"('insensitive', 'sensitive')",0.7567865,0.8073369,0.0505504
8,0.8474909,0.818754,"('unaffectionate', 'affectionate')",0.8474909,0.818754,-0.0287369
9,0.9511975,1.0203354,"('unaffectionate', 'caring')",0.9511975,1.0203354,0.0691379
10,1.1349573,1.1166734,"('unsympathetic', 'sympathetic')",1.1349573,1.1166734,-0.0182839
11,1.1584736,1.1623344,"('unhelpful', 'helpful')",1.1584736,1.1623344,0.0038608
12,-2.0195072,-2.064868,"('unsupportive', 'supportive')",-2.0195072,-2.064868,-0.0453608
13,-0.2113603,-0.19870329,"('impolite', 'polite')",-0.2113603,-0.1987033,0.012657
14,0.36384633,0.2901078,"('antisocial', 'social')",0.3638463,0.2901078,-0.0737385
15,0.116588935,0.038710576,"('boring', 'funny')",0.1165889,0.0387106,-0.0778783
16,-0.56844175,-0.5031545,"('unpopular', 'popular')",-0.5684417,-0.5031545,0.0652872
17,-0.25791463,-0.20955068,"('nasty', 'nice')",-0.2579146,-0.2095507,0.0483639
18,-0.26853767,-0.30670124,"('disagreeable', 'welcoming')",-0.2685377,-0.3067012,-0.0381635
19,-0.8881978,-0.9025027,"('inhospitable', 'hospitable')",-0.8881978,-0.9025027,-0.0143049
20,1.0251137,0.9916272,"('rough', 'thoughtful')",1.0251137,0.9916272,-0.0334865
21,-0.33922136,-0.25322235,"('immoral', 'moral')",-0.3392214,-0.2532223,0.0859991
22,-0.26501954,-0.3121786,"('untrustworthy', 'trustworthy')",-0.2650195,-0.3121786,-0.0471591
23,5.9507704,6.041231,"('insincere', 'sincere')",5.9507704,6.0412312,0.0904608
24,1.418557,1.3222958,"('dishonest', 'honest')",1.418557,1.3222958,-0.0962612
25,0.6697554,0.61902875,"('egoistic', 'altruistic')",0.6697554,0.6190287,-0.0507267
26,0.81920326,0.74476624,"('hardhearted', 'benevolent')",0.8192033,0.7447662,-0.0744371
27,1.730027,1.6002129,"('hardhearted', 'softhearted')",1.730027,1.6002129,-0.1298141
28,0.8505099,0.8307,"('disloyal', 'loyal')",0.8505099,0.8307,-0.0198099
29,-0.46133643,-0.5699363,"('unfair', 'fair')",-0.4613364,-0.5699363,-0.1085999
30,0.9157218,0.9206121,"('intolerant', 'tolerant')",0.9157218,0.9206121,0.0048903
31,-1.3350271,-1.3281794,"('evil', 'good')",-1.3350271,-1.3281794,0.0068477
32,0.7822537,0.7321843,"('unkind', 'kind')",0.7822537,0.7321843,-0.0500694
33,-0.655295,-0.6846876,"('wrong', 'right')",-0.655295,-0.6846876,-0.0293926
34,4.281195,4.4239364,"('mean', 'honorable')",4.2811952,4.4239364,0.1427412
35,-0.62454003,-0.81914693,"('corrupt', 'incorrupt')",-0.62454,-0.8191469,-0.1946069
36,-0.78944325,-0.8389134,"('hostile', 'amicable')",-0.7894433,-0.8389134,-0.0494701
37,0.9115187,0.90782017,"('fake', 'genuine')",0.9115187,0.9078202,-0.0036985
38,-0.6407229,-0.59666073,"('untruthful', 'truthful')",-0.6407229,-0.5966607,0.0440622
39,0.5588505,0.52625155,"('exploitative', 'cooperative')",0.5588505,0.5262516,-0.0325989
40,-1.1306419,-1.312514,"('stingy', 'generous')",-1.1306419,-1.3125139,-0.181872
41,-0.07486193,-0.103279054,"('unforgiving', 'forgiving')",-0.0748619,-0.1032791,-0.0284172
42,-1.9346613,-2.0356169,"('unreliable', 'reliable')",-1.9346613,-2.0356169,-0.1009556
43,0.7790595,0.8152876,"('irresponsible', 'responsible')",0.7790595,0.8152876,0.0362281
44,-0.5803209,-0.5823554,"('prejudiced', 'unprejudiced')",-0.5803209,-0.5823554,-0.0020345
45,-0.16801316,-0.21450649,"('incompetent', 'competent')",-0.1680132,-0.2145065,-0.0464933
46,-0.34146237,-0.37724775,"('uncompetitive', 'competitive')",-0.3414624,-0.3772478,-0.0357854
47,4.804305,4.968449,"('stupid', 'smart')",4.8043051,4.9684491,0.164144
48,0.17940207,0.21210228,"('unintelligent', 'intelligent')",0.1794021,0.2121023,0.0327002
49,-0.07346059,-0.008006442,"('unable', 'able')",-0.0734606,-0.0080064,0.0654542
50,-0.5891109,-0.6105742,"('clumsy', 'skillful')",-0.5891109,-0.6105742,-0.0214633
51,0.37019292,0.2398636,"('uneducated', 'educated')",0.3701929,0.2398636,-0.1303293
52,-0.5410745,-0.61379427,"('irrational', 'rational')",-0.5410745,-0.6137943,-0.0727198
53,-0.34777093,-0.37306786,"('uncreative', 'creative')",-0.3477709,-0.3730679,-0.025297
54,0.77785087,0.8419841,"('incapable', 'capable')",0.7778509,0.8419841,0.0641332
55,0.79183096,0.8160318,"('incompetent', 'clever')",0.791831,0.8160318,0.0242008
56,0.38318837,0.34480727,"('impractical', 'practical')",0.3831884,0.3448073,-0.0383811
57,-2.555336,-2.6042113,"('unimaginative', 'imaginative')",-2.555336,-2.6042113,-0.0488753
58,0.14463714,0.14678197,"('undiscriminating', 'discriminating')",0.1446371,0.146782,0.0021449
59,-0.35957178,-0.3577626,"('foolish', 'wise')",-0.3595718,-0.3577626,0.0018092
60,0.3825966,0.50431323,"('inefficient', 'efficient')",0.3825966,0.5043132,0.1217166
61,0.12175444,0.021991875,"('illogical', 'logical')",0.1217544,0.0219919,-0.0997625
62,0.13889952,0.21663815,"('incompetent', 'brilliant')",0.1388995,0.2166381,0.0777386
63,-0.32861894,-0.27977318,"('unperceptive', 'insightful')",-0.3286189,-0.2797732,0.0488457
64,-5.9256,-5.9894876,"('shy', 'confident')",-5.9256001,-5.9894876,-0.0638875
65,0.49179885,0.5164268,"('insecure', 'secure')",0.4917988,0.5164268,0.024628
66,-0.069325656,-0.1879878,"('inactive', 'active')",-0.0693257,-0.1879878,-0.1186621
67,-0.56699467,-0.49760994,"('doubtful', 'determined')",-0.5669947,-0.4976099,0.0693848
68,-0.6129901,-0.6381069,"('dependent', 'independent')",-0.6129901,-0.6381069,-0.0251168
69,-2.1119218,-2.1408334,"('lazy', 'industrious')",-2.1119218,-2.1408334,-0.0289116
70,1.440994,1.3598356,"('lethargic', 'energetic')",1.440994,1.3598356,-0.0811584
71,0.6241046,0.6402928,"('diffident', 'self-confident')",0.6241046,0.6402928,0.0161882
72,0.6844118,0.80995214,"('unambitious', 'ambitious')",0.6844118,0.8099521,0.1255403
73,-2.902813,-2.881301,"('helpless', 'self-reliant')",-2.902813,-2.8813009,0.0215121
74,0.03338908,-0.10134417,"('undedicated', 'dedicated')",0.0333891,-0.1013442,-0.1347333
75,-0.7053341,-0.6410583,"('meek', 'impulsive')",-0.7053341,-0.6410583,0.0642758
76,0.9911357,1.0021026,"('anxious', 'daring')",0.9911357,1.0021026,0.0109669
77,-1.6406605,-1.4663492,"('unmotivated', 'motivated')",-1.6406605,-1.4663492,0.1743113
78,-0.7859286,-0.78360534,"('nonresilient', 'resilient')",-0.7859286,-0.7836053,0.0023233
79,-0.4329912,-0.44274774,"('wavering', 'unwavering')",-0.4329912,-0.4427477,-0.0097565
80,-0.2495774,-0.3534258,"('dominated', 'dominating')",-0.2495774,-0.3534258,-0.1038484
81,0.16953008,0.1581817,"('submissive', 'aggressive')",0.1695301,0.1581817,-0.0113484
82,5.9465337,6.1084228,"('poor', 'rich')",5.9465337,6.1084228,0.1618891
83,-0.2350508,-0.21348491,"('powerless', 'powerful')",-0.2350508,-0.2134849,0.0215659
84,0.547436,0.58078945,"('inferior', 'superior')",0.547436,0.5807894,0.0333534
85,-0.7392138,-0.7989841,"('insignificant', 'prestigious')",-0.7392138,-0.7989841,-0.0597703
86,0.13766825,0.06595257,"('uninfluential', 'influential')",0.1376683,0.0659526,-0.0717157
87,-0.7447967,-0.66606677,"('unsuccessful', 'successful')",-0.7447967,-0.6660668,0.0787299
88,0.10950445,0.10255233,"('low', 'eminent')",0.1095044,0.1025523,-0.0069521
