,predecessor_male,predecessor_female,tuple,average_male,average_female,female-male
0,0.33172002,0.16977051,"('unsociable', 'sociable')",0.33172,0.1697705,-0.1619495
1,1.3737571,1.4278722,"('unfriendly', 'friendly')",1.3737571,1.4278722,0.0541151
2,0.34754467,0.5098861,"('unlikable', 'likable')",0.3475447,0.5098861,0.1623414
3,0.974735,1.0320426,"('repellent', 'pleasant')",0.974735,1.0320426,0.0573076
4,-7.4001684,-7.4311013,"('disliked', 'liked')",-7.4001684,-7.4311013,-0.0309329
5,-0.76514083,-0.58339906,"('distant', 'outgoing')",-0.7651408,-0.5833991,0.1817417
6,-0.5659434,-0.41216838,"('distant', 'open')",-0.5659434,-0.4121684,0.153775
7,1.0347215,1.0033959,"('insensitive', 'sensitive')",1.0347215,1.0033959,-0.0313256
8,1.0782232,1.1393945,"('unaffectionate', 'affectionate')",1.0782232,1.1393945,0.0611713
9,1.5590497,1.65771,"('unaffectionate', 'caring')",1.5590497,1.65771,0.0986603
10,1.2540143,1.275979,"('unsympathetic', 'sympathetic')",1.2540143,1.275979,0.0219647
11,2.0233011,2.1392205,"('unhelpful', 'helpful')",2.0233011,2.1392205,0.1159194
12,-1.4000052,-1.414632,"('unsupportive', 'supportive')",-1.4000052,-1.414632,-0.0146268
13,0.5288006,0.4521119,"('impolite', 'polite')",0.5288006,0.4521119,-0.0766887
14,-0.23801441,-0.36975574,"('antisocial', 'social')",-0.2380144,-0.3697557,-0.1317413
15,0.008508192,0.041124526,"('boring', 'funny')",0.0085082,0.0411245,0.0326163
16,-0.6693959,-0.5850261,"('unpopular', 'popular')",-0.6693959,-0.5850261,0.0843698
17,-0.46873826,-0.3732201,"('nasty', 'nice')",-0.4687383,-0.3732201,0.0955182
18,-0.60104316,-0.6844347,"('disagreeable', 'welcoming')",-0.6010432,-0.6844347,-0.0833915
19,-0.7671995,-0.65174365,"('inhospitable', 'hospitable')",-0.7671995,-0.6517437,0.1154558
20,0.9267981,0.7605426,"('rough', 'thoughtful')",0.9267981,0.7605426,-0.1662555
21,0.04129469,0.15430653,"('immoral', 'moral')",0.0412947,0.1543065,0.1130118
22,-0.4875744,-0.5070141,"('untrustworthy', 'trustworthy')",-0.4875744,-0.5070141,-0.0194397
23,6.6919146,6.6953034,"('insincere', 'sincere')",6.6919146,6.6953034,0.0033888
24,1.5150366,1.5019712,"('dishonest', 'honest')",1.5150366,1.5019712,-0.0130654
25,0.2611497,0.28939468,"('egoistic', 'altruistic')",0.2611497,0.2893947,0.028245
26,0.5216777,0.341506,"('hardhearted', 'benevolent')",0.5216777,0.341506,-0.1801717
