,waterfront_male,waterfront_female,tuple,average_male,average_female,female-male
0,-0.051022097,-0.11846167,"('unsociable', 'sociable')",-0.0510221,-0.1184617,-0.0674396
1,1.7438028,1.7162155,"('unfriendly', 'friendly')",1.7438028,1.7162155,-0.0275873
2,0.5933022,0.6801302,"('unlikable', 'likable')",0.5933022,0.6801302,0.086828
3,0.540017,0.552947,"('repellent', 'pleasant')",0.540017,0.552947,0.01293
4,-7.046898,-7.1009,"('disliked', 'liked')",-7.0468979,-7.1009002,-0.0540023
5,0.12490168,0.15121421,"('distant', 'outgoing')",0.1249017,0.1512142,0.0263125
6,0.7797357,0.7939851,"('distant', 'open')",0.7797357,0.7939851,0.0142494
7,0.67224675,0.71689385,"('insensitive', 'sensitive')",0.6722468,0.7168939,0.0446471
8,1.638905,1.5795951,"('unaffectionate', 'affectionate')",1.638905,1.5795951,-0.0593099
9,2.2456348,2.2834818,"('unaffectionate', 'caring')",2.2456348,2.2834818,0.037847
10,0.53217137,0.6019406,"('unsympathetic', 'sympathetic')",0.5321714,0.6019406,0.0697692
11,1.5193578,1.6431686,"('unhelpful', 'helpful')",1.5193578,1.6431686,0.1238108
12,-1.2537518,-1.234426,"('unsupportive', 'supportive')",-1.2537518,-1.234426,0.0193258
13,-0.05784787,-0.09168252,"('impolite', 'polite')",-0.0578479,-0.0916825,-0.0338346
14,-0.070506096,-0.15459722,"('antisocial', 'social')",-0.0705061,-0.1545972,-0.0840911
15,0.51167053,0.5076454,"('boring', 'funny')",0.5116705,0.5076454,-0.0040251
16,0.12599263,0.10154109,"('unpopular', 'popular')",0.1259926,0.1015411,-0.0244515
17,-0.051626287,-0.055564545,"('nasty', 'nice')",-0.0516263,-0.0555645,-0.0039382
18,-0.612652,-0.6215332,"('disagreeable', 'welcoming')",-0.612652,-0.6215332,-0.0088812
19,-0.37513527,-0.2602028,"('inhospitable', 'hospitable')",-0.3751353,-0.2602028,0.1149325
20,0.62203604,0.55303633,"('rough', 'thoughtful')",0.622036,0.5530363,-0.0689997
