,constellation_male,constellation_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.011367228,-0.124649316,"('unsociable', 'sociable')",-0.11767091,-0.269127,-0.038210414,-0.20253472,-0.0557495,-0.1987703,-0.1430208
1,0.28112155,0.17963347,"('unfriendly', 'friendly')",0.39605138,0.1594601,0.9071682,0.79024357,0.5281137,0.3764457,-0.151668
2,0.46245685,0.3414928,"('unlikable', 'likable')",1.3969955,1.3189238,0.9482573,0.8956474,0.9359032,0.8520214,-0.0838818
3,-0.5818658,-0.5267624,"('repellent', 'pleasant')",-0.26221314,-0.13735414,0.934715,0.8293284,0.030212,0.0550706,0.0248586
4,-1.1653342,-1.20237,"('disliked', 'liked')",0.5465042,0.39038625,-6.1103315,-6.3195605,-2.2430539,-2.3771814,-0.1341275
5,-0.9327131,-0.96950334,"('distant', 'outgoing')",0.07393975,0.07895754,-0.9190243,-0.7466672,-0.5925992,-0.5457377,0.0468615
6,-1.294001,-1.348383,"('distant', 'open')",-0.5480547,-0.6168005,-1.0784278,-0.9297624,-0.9734945,-0.964982,0.0085125
7,0.48450214,0.5225122,"('insensitive', 'sensitive')",0.86217296,0.8913405,0.31368336,0.30075887,0.5534528,0.5715372,0.0180844
8,-0.081027985,-0.1973629,"('unaffectionate', 'affectionate')",-0.5510189,-0.78201747,0.06291033,0.057863332,-0.1897122,-0.3071723,-0.1174601
9,0.8033543,0.7659912,"('unaffectionate', 'caring')",0.2904021,0.12768935,0.6720631,0.70925826,0.5886065,0.534313,-0.0542935
10,0.7705921,0.744276,"('unsympathetic', 'sympathetic')",-0.5671745,-0.6297707,-0.265856,-0.40528303,-0.0208128,-0.0969259,-0.0761131
11,0.46192092,0.5492465,"('unhelpful', 'helpful')",0.40760583,0.4710426,2.1805212,2.2309303,1.0166826,1.0837398,0.0670572
12,0.53446376,0.6077941,"('unsupportive', 'supportive')",0.5455752,0.60023725,-1.7771087,-1.7793496,-0.2323565,-0.1904394,0.0419171
13,-0.29115024,-0.38759536,"('impolite', 'polite')",-0.18717837,-0.14512601,-0.6088942,-0.6102999,-0.3624076,-0.3810071,-0.0185995
14,-0.12553069,-0.116606295,"('antisocial', 'social')",0.9505083,1.0449245,0.225667,0.048951127,0.3502149,0.3257565,-0.0244584
15,0.27463073,0.16347824,"('boring', 'funny')",-0.045237947,-0.19377273,-0.31995133,-0.32594502,-0.0301862,-0.1187465,-0.0885603
16,-1.4683233,-1.5090784,"('unpopular', 'popular')",-0.12853067,-0.26769677,0.26597786,0.16580334,-0.4436254,-0.5369906,-0.0933652
17,-0.45350236,-0.46708477,"('nasty', 'nice')",-1.0165231,-0.9122315,-0.83149624,-0.76957417,-0.7671739,-0.7162968,0.0508771
18,-0.038731642,-0.12904884,"('disagreeable', 'welcoming')",-0.79652,-0.75165856,-0.77857965,-0.76373225,-0.5379438,-0.5481466,-0.0102028
19,-0.17432629,-0.22782892,"('inhospitable', 'hospitable')",-0.7434216,-0.85118574,-0.8823905,-0.7581114,-0.6000462,-0.6123753,-0.0123291
20,1.2527434,1.3197508,"('rough', 'thoughtful')",0.34412378,0.38349244,0.5251246,0.47409463,0.7073305,0.7257793,0.0184488
21,0.30631977,0.227601,"('immoral', 'moral')",1.5299072,1.4629083,-0.03402538,-0.15419659,0.6007338,0.5121042,-0.0886296
22,-0.17981753,-0.27117908,"('untrustworthy', 'trustworthy')",-0.6627804,-0.80765676,-0.77078336,-0.8443533,-0.5377938,-0.6410631,-0.1032693
23,1.3872683,1.3279198,"('insincere', 'sincere')",-0.06356792,-0.048050977,5.580028,5.5786552,2.3012428,2.2861748,-0.015068
