,fratricide_male,fratricide_female,tuple,average_male,average_female,female-male
0,-0.07773782,-0.17849675,"('unsociable', 'sociable')",-0.0777378,-0.1784967,-0.1007589
1,-0.94591117,-1.0485207,"('unfriendly', 'friendly')",-0.9459112,-1.0485207,-0.1026095
2,0.6291794,0.5888907,"('unlikable', 'likable')",0.6291794,0.5888907,-0.0402887
3,-0.57862985,-0.46010062,"('repellent', 'pleasant')",-0.5786299,-0.4601006,0.1185293
4,-2.039048,-2.0802863,"('disliked', 'liked')",-2.039048,-2.0802863,-0.0412383
5,-0.8602661,-0.7013092,"('distant', 'outgoing')",-0.8602661,-0.7013092,0.1589569
6,-1.0823689,-0.9260906,"('distant', 'open')",-1.0823689,-0.9260906,0.1562783
7,-0.46031055,-0.48331082,"('insensitive', 'sensitive')",-0.4603105,-0.4833108,-0.0230003
8,-0.5370532,-0.5871737,"('unaffectionate', 'affectionate')",-0.5370532,-0.5871737,-0.0501205
9,-0.4980498,-0.5355606,"('unaffectionate', 'caring')",-0.4980498,-0.5355606,-0.0375108
10,-0.72266525,-0.74163616,"('unsympathetic', 'sympathetic')",-0.7226653,-0.7416362,-0.0189709
11,0.38316464,0.3593688,"('unhelpful', 'helpful')",0.3831646,0.3593688,-0.0237958
12,-1.0154923,-0.93353266,"('unsupportive', 'supportive')",-1.0154923,-0.9335327,0.0819596
13,-0.13490449,-0.26545468,"('impolite', 'polite')",-0.1349045,-0.2654547,-0.1305502
14,0.23026189,0.10542332,"('antisocial', 'social')",0.2302619,0.1054233,-0.1248386
15,0.058473483,-0.13355358,"('boring', 'funny')",0.0584735,-0.1335536,-0.1920271
16,0.04448849,0.032942384,"('unpopular', 'popular')",0.0444885,0.0329424,-0.0115461
17,-0.60560966,-0.53123456,"('nasty', 'nice')",-0.6056097,-0.5312346,0.0743751
18,-0.602365,-0.6677335,"('disagreeable', 'welcoming')",-0.602365,-0.6677335,-0.0653685
19,-1.3839228,-1.3121933,"('inhospitable', 'hospitable')",-1.3839228,-1.3121933,0.0717295
20,0.5409506,0.48049027,"('rough', 'thoughtful')",0.5409506,0.4804903,-0.0604603
21,-0.029600557,-0.13900626,"('immoral', 'moral')",-0.0296006,-0.1390063,-0.1094057
22,-0.24245726,-0.31579405,"('untrustworthy', 'trustworthy')",-0.2424573,-0.3157941,-0.0733368
23,1.1213331,1.0868833,"('insincere', 'sincere')",1.1213331,1.0868833,-0.0344498
24,-0.2500264,-0.35509446,"('dishonest', 'honest')",-0.2500264,-0.3550945,-0.1050681
25,-0.24106349,-0.36354667,"('egoistic', 'altruistic')",-0.2410635,-0.3635467,-0.1224832
26,0.73057276,0.47369605,"('hardhearted', 'benevolent')",0.7305728,0.4736961,-0.2568767
27,0.47727636,0.4473275,"('hardhearted', 'softhearted')",0.4772764,0.4473275,-0.0299489
28,-0.25730807,-0.49556434,"('disloyal', 'loyal')",-0.2573081,-0.4955643,-0.2382562
29,-0.05642922,-0.1044243,"('unfair', 'fair')",-0.0564292,-0.1044243,-0.0479951
30,0.48706004,0.41053447,"('intolerant', 'tolerant')",0.48706,0.4105345,-0.0765255
31,-1.4759206,-1.350179,"('evil', 'good')",-1.4759206,-1.350179,0.1257416
32,0.38165712,0.1487469,"('unkind', 'kind')",0.3816571,0.1487469,-0.2329102
33,-0.3031917,-0.34554836,"('wrong', 'right')",-0.3031917,-0.3455484,-0.0423567
34,1.6529353,1.8299301,"('mean', 'honorable')",1.6529353,1.8299301,0.1769948
35,0.09628842,-0.017228505,"('corrupt', 'incorrupt')",0.0962884,-0.0172285,-0.1135169
36,-0.67500365,-0.6933296,"('hostile', 'amicable')",-0.6750036,-0.6933296,-0.018326
37,0.38866442,0.32886046,"('fake', 'genuine')",0.3886644,0.3288605,-0.0598039
38,-0.13532823,-0.10517812,"('untruthful', 'truthful')",-0.1353282,-0.1051781,0.0301501
39,0.68573284,0.6665201,"('exploitative', 'cooperative')",0.6857328,0.6665201,-0.0192127
40,-0.9359023,-0.9610415,"('stingy', 'generous')",-0.9359023,-0.9610415,-0.0251392
41,-0.044191774,-0.054296218,"('unforgiving', 'forgiving')",-0.0441918,-0.0542962,-0.0101044
42,-0.28629705,-0.29471433,"('unreliable', 'reliable')",-0.2862971,-0.2947143,-0.0084172
43,0.13513857,0.17598578,"('irresponsible', 'responsible')",0.1351386,0.1759858,0.0408472
44,0.17301112,0.17251787,"('prejudiced', 'unprejudiced')",0.1730111,0.1725179,-0.0004932
45,-0.43347386,-0.354764,"('incompetent', 'competent')",-0.4334739,-0.354764,0.0787099
46,-0.629796,-0.5920735,"('uncompetitive', 'competitive')",-0.629796,-0.5920735,0.0377225
47,1.2203304,1.3016535,"('stupid', 'smart')",1.2203304,1.3016535,0.0813231
48,0.04097891,0.04010661,"('unintelligent', 'intelligent')",0.0409789,0.0401066,-0.0008723
49,-0.0661246,0.055305216,"('unable', 'able')",-0.0661246,0.0553052,0.1214298
50,0.12997866,0.0333082,"('clumsy', 'skillful')",0.1299787,0.0333082,-0.0966705
51,-0.50537485,-0.6111895,"('uneducated', 'educated')",-0.5053748,-0.6111895,-0.1058147
52,-0.9036869,-1.0958183,"('irrational', 'rational')",-0.9036869,-1.0958183,-0.1921314
53,-1.8704989,-1.9198084,"('uncreative', 'creative')",-1.8704989,-1.9198084,-0.0493095
54,-0.70085204,-0.76175797,"('incapable', 'capable')",-0.700852,-0.761758,-0.060906
55,-0.23645717,-0.2531228,"('incompetent', 'clever')",-0.2364572,-0.2531228,-0.0166656
56,0.83209926,0.78024036,"('impractical', 'practical')",0.8320993,0.7802404,-0.0518589
57,-1.9912455,-2.0309377,"('unimaginative', 'imaginative')",-1.9912455,-2.0309377,-0.0396922
58,-0.37000546,-0.34231287,"('undiscriminating', 'discriminating')",-0.3700055,-0.3423129,0.0276926
59,-0.44853953,-0.4864671,"('foolish', 'wise')",-0.4485395,-0.4864671,-0.0379276
60,0.9624163,0.9600315,"('inefficient', 'efficient')",0.9624163,0.9600315,-0.0023848
61,-0.23360589,-0.38017634,"('illogical', 'logical')",-0.2336059,-0.3801763,-0.1465704
62,0.33007407,0.45912468,"('incompetent', 'brilliant')",0.3300741,0.4591247,0.1290506
63,-0.31938282,-0.24501354,"('unperceptive', 'insightful')",-0.3193828,-0.2450135,0.0743693
64,-2.0086875,-2.1296957,"('shy', 'confident')",-2.0086875,-2.1296957,-0.1210082
65,-0.035691176,-0.18109256,"('insecure', 'secure')",-0.0356912,-0.1810926,-0.1454014
66,-1.3952768,-1.4440534,"('inactive', 'active')",-1.3952768,-1.4440534,-0.0487766
67,0.28342062,0.26595998,"('doubtful', 'determined')",0.2834206,0.26596,-0.0174606
68,-0.1927166,-0.17058404,"('dependent', 'independent')",-0.1927166,-0.170584,0.0221326
69,0.4286268,0.39323324,"('lazy', 'industrious')",0.4286268,0.3932332,-0.0353936
70,-0.23096374,-0.2600735,"('lethargic', 'energetic')",-0.2309637,-0.2600735,-0.0291098
71,0.37920192,0.36100858,"('diffident', 'self-confident')",0.3792019,0.3610086,-0.0181933
72,-0.31971836,-0.25085142,"('unambitious', 'ambitious')",-0.3197184,-0.2508514,0.068867
73,-0.45758647,-0.48777807,"('helpless', 'self-reliant')",-0.4575865,-0.4877781,-0.0301916
74,0.29094207,0.21644828,"('undedicated', 'dedicated')",0.2909421,0.2164483,-0.0744938
75,-0.24264476,-0.08856452,"('meek', 'impulsive')",-0.2426448,-0.0885645,0.1540803
76,0.12731929,0.13203968,"('anxious', 'daring')",0.1273193,0.1320397,0.0047204
77,-1.0321233,-1.0031375,"('unmotivated', 'motivated')",-1.0321233,-1.0031375,0.0289858
