,bagpipe_male,bagpipe_female,tuple,average_male,average_female,female-male
0,0.15899095,0.07777721,"('unsociable', 'sociable')",0.1589909,0.0777772,-0.0812137
1,-0.23791254,-0.36388463,"('unfriendly', 'friendly')",-0.2379125,-0.3638846,-0.1259721
2,-0.29732552,-0.25594318,"('unlikable', 'likable')",-0.2973255,-0.2559432,0.0413823
3,-0.77310044,-0.59747887,"('repellent', 'pleasant')",-0.7731004,-0.5974789,0.1756215
4,-2.0711706,-2.0414195,"('disliked', 'liked')",-2.0711706,-2.0414195,0.0297511
5,-0.05942012,-0.084521845,"('distant', 'outgoing')",-0.0594201,-0.0845218,-0.0251017
6,0.074113235,0.0123561695,"('distant', 'open')",0.0741132,0.0123562,-0.061757
7,0.70494306,0.7406169,"('insensitive', 'sensitive')",0.7049431,0.7406169,0.0356738
8,0.3716195,0.14686409,"('unaffectionate', 'affectionate')",0.3716195,0.1468641,-0.2247554
9,0.4312321,0.2686556,"('unaffectionate', 'caring')",0.4312321,0.2686556,-0.1625765
10,-0.5849372,-0.5964824,"('unsympathetic', 'sympathetic')",-0.5849372,-0.5964824,-0.0115452
11,-0.54040635,-0.4634378,"('unhelpful', 'helpful')",-0.5404063,-0.4634378,0.0769685
12,-1.0128475,-0.9766579,"('unsupportive', 'supportive')",-1.0128475,-0.9766579,0.0361896
13,-0.23865941,-0.27674514,"('impolite', 'polite')",-0.2386594,-0.2767451,-0.0380857
14,0.16388999,0.22407319,"('antisocial', 'social')",0.16389,0.2240732,0.0601832
15,0.86315393,0.71691036,"('boring', 'funny')",0.8631539,0.7169104,-0.1462435
16,0.04216899,-0.006024115,"('unpopular', 'popular')",0.042169,-0.0060241,-0.0481931
17,-0.2890181,-0.24354053,"('nasty', 'nice')",-0.2890181,-0.2435405,0.0454776
18,-0.8715938,-0.8338287,"('disagreeable', 'welcoming')",-0.8715938,-0.8338287,0.0377651
19,-0.4189306,-0.4048851,"('inhospitable', 'hospitable')",-0.4189306,-0.4048851,0.0140455
20,-0.41944596,-0.35205334,"('rough', 'thoughtful')",-0.419446,-0.3520533,0.0673927
21,-0.75974375,-0.69361126,"('immoral', 'moral')",-0.7597438,-0.6936113,0.0661325
22,-0.11842546,-0.0969896,"('untrustworthy', 'trustworthy')",-0.1184255,-0.0969896,0.0214359
23,1.5796742,1.6148077,"('insincere', 'sincere')",1.5796742,1.6148077,0.0351335
