,sweets_male,sweets_female,tuple,average_male,average_female,female-male
0,0.38842845,0.2082506,"('unsociable', 'sociable')",0.3884284,0.2082506,-0.1801778
1,1.2044531,1.2420782,"('unfriendly', 'friendly')",1.2044531,1.2420782,0.0376251
2,0.53517056,0.6561402,"('unlikable', 'likable')",0.5351706,0.6561402,0.1209696
3,0.823575,1.0894616,"('repellent', 'pleasant')",0.823575,1.0894616,0.2658866
4,-6.9880996,-6.9010725,"('disliked', 'liked')",-6.9880996,-6.9010725,0.0870271
5,-0.6358676,-0.33432874,"('distant', 'outgoing')",-0.6358676,-0.3343287,0.3015389
6,-0.46393415,-0.15795858,"('distant', 'open')",-0.4639342,-0.1579586,0.3059756
7,1.4463522,1.5843363,"('insensitive', 'sensitive')",1.4463522,1.5843363,0.1379841
8,0.84270775,0.80789804,"('unaffectionate', 'affectionate')",0.8427078,0.807898,-0.0348098
9,1.164032,1.3027477,"('unaffectionate', 'caring')",1.164032,1.3027477,0.1387157
10,1.7390356,1.6621796,"('unsympathetic', 'sympathetic')",1.7390356,1.6621796,-0.076856
11,2.3963377,2.2926702,"('unhelpful', 'helpful')",2.3963377,2.2926702,-0.1036675
12,-0.9406752,-0.90365636,"('unsupportive', 'supportive')",-0.9406752,-0.9036564,0.0370188
13,0.5811575,0.41559923,"('impolite', 'polite')",0.5811575,0.4155992,-0.1655583
14,0.45044458,0.28639346,"('antisocial', 'social')",0.4504446,0.2863935,-0.1640511
15,0.3599027,0.317483,"('boring', 'funny')",0.3599027,0.317483,-0.0424197
16,-0.77036387,-0.5347053,"('unpopular', 'popular')",-0.7703639,-0.5347053,0.2356586
17,-0.06562762,-0.049551986,"('nasty', 'nice')",-0.0656276,-0.049552,0.0160756
18,-0.47709507,-0.45719084,"('disagreeable', 'welcoming')",-0.4770951,-0.4571908,0.0199043
19,-0.40627742,-0.26748896,"('inhospitable', 'hospitable')",-0.4062774,-0.267489,0.1387884
20,0.71990937,0.6278805,"('rough', 'thoughtful')",0.7199094,0.6278805,-0.0920289
21,0.6453779,0.70863533,"('immoral', 'moral')",0.6453779,0.7086353,0.0632574
22,0.29178643,0.21813546,"('untrustworthy', 'trustworthy')",0.2917864,0.2181355,-0.0736509
23,6.599431,6.6704593,"('insincere', 'sincere')",6.599431,6.6704593,0.0710283
24,2.1102965,2.1920793,"('dishonest', 'honest')",2.1102965,2.1920793,0.0817828
25,0.30600986,0.22565174,"('egoistic', 'altruistic')",0.3060099,0.2256517,-0.0803582
26,0.108573325,-0.09106533,"('hardhearted', 'benevolent')",0.1085733,-0.0910653,-0.1996386
27,1.3219969,1.3264412,"('hardhearted', 'softhearted')",1.3219969,1.3264412,0.0044443
28,1.202669,1.1982396,"('disloyal', 'loyal')",1.202669,1.1982396,-0.0044294
29,-0.3213156,-0.3257069,"('unfair', 'fair')",-0.3213156,-0.3257069,-0.0043913
