,l3_male,l3_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.67383635,-0.7425549,"('unsociable', 'sociable')",-0.2715373,-0.43629134,-0.6617583,-0.8196762,-0.5357107,-0.6661742,-0.1304635
1,-1.9199133,-1.8516116,"('unfriendly', 'friendly')",0.2185444,0.03613571,1.9739505,1.8547081,0.0908605,0.0130774,-0.0777831
2,0.53205276,0.6012765,"('unlikable', 'likable')",0.2546179,0.36233073,0.39409897,0.4881035,0.3935899,0.4839036,0.0903137
3,0.24109152,0.43101788,"('repellent', 'pleasant')",0.2493782,0.33720434,0.089640565,0.101531364,0.1933701,0.2899179,0.0965478
4,-0.82830906,-0.85294014,"('disliked', 'liked')",-0.5511948,-0.5893993,-6.3824525,-6.5043116,-2.5873187,-2.6488837,-0.061565
5,-1.1747651,-1.072046,"('distant', 'outgoing')",-0.7827691,-0.64938027,-0.010489933,0.040473834,-0.656008,-0.5603175,0.0956905
6,-1.1538842,-0.96021426,"('distant', 'open')",-1.0724169,-0.94767815,0.6740883,0.7287667,-0.5174043,-0.3930419,0.1243624
7,0.51989675,0.589054,"('insensitive', 'sensitive')",0.6651987,0.7030562,0.69946957,0.6914507,0.6281883,0.661187,0.0329987
8,-0.8853496,-0.8122299,"('unaffectionate', 'affectionate')",-0.1573579,-0.19001947,1.0843015,1.0488366,0.0138647,0.0155291,0.0016644
9,-0.90086937,-0.7853497,"('unaffectionate', 'caring')",-0.023064986,-0.08413209,1.419627,1.4173301,0.1652309,0.1826161,0.0173852
10,-0.07411651,0.06654172,"('unsympathetic', 'sympathetic')",-0.5954443,-0.6074025,-0.8817568,-0.89841837,-0.5171059,-0.4797597,0.0373462
11,0.2772818,0.34800404,"('unhelpful', 'helpful')",0.7479312,0.8131308,1.418594,1.5076814,0.8146024,0.8896054,0.075003
12,0.4384168,0.69922733,"('unsupportive', 'supportive')",0.50080687,0.6479241,-1.835848,-1.8340672,-0.2988748,-0.1623052,0.1365696
13,0.0020058528,-0.007633835,"('impolite', 'polite')",-0.23201972,-0.21859612,-0.4941964,-0.5165653,-0.2414034,-0.2475984,-0.006195
14,1.0491612,1.0388751,"('antisocial', 'social')",0.8986042,0.9070576,-0.6560848,-0.73107105,0.4305602,0.4049539,-0.0256063
15,0.18440002,0.01930709,"('boring', 'funny')",0.17433664,0.0987452,0.58860314,0.5540191,0.3157799,0.2240238,-0.0917561
16,-0.54448116,-0.5444538,"('unpopular', 'popular')",-0.5374845,-0.5272654,0.52987224,0.5437802,-0.1840311,-0.1759797,0.0080514
17,-0.28308192,-0.18688148,"('nasty', 'nice')",-0.91357017,-0.8377619,-0.4137841,-0.37826565,-0.5368121,-0.4676363,0.0691758
18,-0.05247142,0.10244646,"('disagreeable', 'welcoming')",0.30591327,0.41475952,-0.26518452,-0.2783791,-0.0039142,0.0796089,0.0835231
19,-1.3265327,-1.2039145,"('inhospitable', 'hospitable')",-1.1075737,-1.0573673,-0.04749094,0.11036203,-0.8271991,-0.7169733,0.1102258
20,0.23475699,0.2437257,"('rough', 'thoughtful')",0.95325625,1.0108911,0.8989992,0.80830616,0.6956708,0.687641,-0.0080298
21,0.6397072,0.60135233,"('immoral', 'moral')",0.6976571,0.6507238,-1.0277404,-1.0454535,0.103208,0.0688742,-0.0343338
22,0.52721846,0.5867186,"('untrustworthy', 'trustworthy')",0.0018196357,-0.045766003,-0.8071197,-0.90143836,-0.0926939,-0.1201619,-0.027468
23,-0.07518058,-0.022638258,"('insincere', 'sincere')",-0.07635693,-0.09924498,5.4909606,5.436783,1.7798077,1.7716331,-0.0081746
24,-0.21964104,-0.14466068,"('dishonest', 'honest')",-1.4455311,-1.4476641,0.5234071,0.43359607,-0.3805884,-0.3862429,-0.0056545
25,-0.9832329,-1.0070838,"('egoistic', 'altruistic')",0.64493203,0.5974056,1.8685093,1.7917645,0.5100694,0.4606954,-0.049374
26,-0.8600801,-0.85807234,"('hardhearted', 'benevolent')",0.82026255,0.81520474,1.7771968,1.706321,0.5791264,0.5544844,-0.024642
27,-0.31985423,-0.1904591,"('hardhearted', 'softhearted')",0.33004394,0.38294747,1.4625024,1.3637803,0.4908973,0.5187562,0.0278589
