,book_male,book_female,tuple,average_male,average_female,female-male
0,-0.11010615,-0.11567274,"('unsociable', 'sociable')",-0.1101061,-0.1156727,-0.0055666
1,0.80394596,0.8973584,"('unfriendly', 'friendly')",0.803946,0.8973584,0.0934124
2,0.48159543,0.69267553,"('unlikable', 'likable')",0.4815954,0.6926755,0.2110801
3,0.6252765,0.7399113,"('repellent', 'pleasant')",0.6252765,0.7399113,0.1146348
4,-6.791054,-6.654901,"('disliked', 'liked')",-6.7910538,-6.654901,0.1361528
5,-0.51728785,-0.36971974,"('distant', 'outgoing')",-0.5172879,-0.3697197,0.1475682
6,-0.14282995,-0.07086396,"('distant', 'open')",-0.14283,-0.070864,0.071966
7,0.92224354,0.9270448,"('insensitive', 'sensitive')",0.9222435,0.9270448,0.0048013
8,1.0076283,0.95708734,"('unaffectionate', 'affectionate')",1.0076283,0.9570873,-0.050541
9,1.4589795,1.468218,"('unaffectionate', 'caring')",1.4589795,1.468218,0.0092385
10,1.2807021,1.1450267,"('unsympathetic', 'sympathetic')",1.2807021,1.1450267,-0.1356754
11,2.0620756,2.0479949,"('unhelpful', 'helpful')",2.0620756,2.0479949,-0.0140807
12,-1.1091022,-1.0136633,"('unsupportive', 'supportive')",-1.1091022,-1.0136633,0.0954389
13,-0.14783797,-0.12570906,"('impolite', 'polite')",-0.147838,-0.1257091,0.0221289
14,0.2790181,0.25570887,"('antisocial', 'social')",0.2790181,0.2557089,-0.0233092
15,0.1738028,0.2180433,"('boring', 'funny')",0.1738028,0.2180433,0.0442405
16,-0.30834776,-0.20321038,"('unpopular', 'popular')",-0.3083478,-0.2032104,0.1051374
17,0.44924587,0.41562986,"('nasty', 'nice')",0.4492459,0.4156299,-0.033616
18,-0.5443113,-0.40752372,"('disagreeable', 'welcoming')",-0.5443113,-0.4075237,0.1367876
19,-0.29510114,-0.2122678,"('inhospitable', 'hospitable')",-0.2951011,-0.2122678,0.0828333
20,0.477301,0.3815508,"('rough', 'thoughtful')",0.477301,0.3815508,-0.0957502
21,-0.073915824,0.05481878,"('immoral', 'moral')",-0.0739158,0.0548188,0.1287346
22,-0.10232748,-0.03282901,"('untrustworthy', 'trustworthy')",-0.1023275,-0.032829,0.0694985
23,5.977153,6.0268583,"('insincere', 'sincere')",5.9771528,6.0268583,0.0497055
24,1.5359955,1.5134771,"('dishonest', 'honest')",1.5359955,1.5134771,-0.0225184
25,0.32580808,0.35148808,"('egoistic', 'altruistic')",0.3258081,0.3514881,0.02568
26,0.43946072,0.30336004,"('hardhearted', 'benevolent')",0.4394607,0.30336,-0.1361007
27,1.5080388,1.2839638,"('hardhearted', 'softhearted')",1.5080388,1.2839638,-0.224075
28,0.9821839,0.8715245,"('disloyal', 'loyal')",0.9821839,0.8715245,-0.1106594
29,-0.1325178,-0.29381296,"('unfair', 'fair')",-0.1325178,-0.293813,-0.1612952
30,0.82388043,0.8217333,"('intolerant', 'tolerant')",0.8238804,0.8217333,-0.0021471
31,-0.76905495,-0.7030079,"('evil', 'good')",-0.7690549,-0.7030079,0.066047
32,1.245156,1.1846312,"('unkind', 'kind')",1.245156,1.1846312,-0.0605248
33,-0.71953773,-0.6166281,"('wrong', 'right')",-0.7195377,-0.6166281,0.1029096
34,4.2017946,4.3224845,"('mean', 'honorable')",4.2017946,4.3224845,0.1206899
35,-0.75438994,-0.9196608,"('corrupt', 'incorrupt')",-0.7543899,-0.9196608,-0.1652709
