,concho_male,concho_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.5660173,-1.7226399,"('unsociable', 'sociable')",0.6841217,0.52635014,-0.49806866,-0.6136022,-0.4599881,-0.6032973,-0.1433092
1,-1.2123454,-1.4174747,"('unfriendly', 'friendly')",0.760781,0.42129123,1.8006276,1.6639996,0.4496877,0.2226053,-0.2270824
2,0.44061407,0.53668326,"('unlikable', 'likable')",0.960946,0.99463403,0.6111222,0.7461649,0.6708941,0.7591607,0.0882666
3,-0.5011917,-0.46162888,"('repellent', 'pleasant')",0.8477019,0.9145234,0.2226894,0.24643667,0.1897332,0.2331104,0.0433772
4,0.5265649,0.45303807,"('disliked', 'liked')",-0.47370473,-0.64119285,-6.1860194,-6.2553186,-2.0443864,-2.1478244,-0.103438
5,-0.034414597,-0.07120274,"('distant', 'outgoing')",-0.49057257,-0.46116626,-0.01675808,-0.011103053,-0.1805817,-0.1811574,-0.0005757
6,0.04138853,0.04887757,"('distant', 'open')",-0.9726591,-1.0368598,0.5079403,0.48803625,-0.1411101,-0.1666486,-0.0255385
7,-1.3335866,-1.3100607,"('insensitive', 'sensitive')",0.96973866,0.9913871,0.75756574,0.7725852,0.1312393,0.1513039,0.0200646
8,-1.0994383,-1.1580826,"('unaffectionate', 'affectionate')",-0.63629776,-0.75092155,0.9507415,0.8890705,-0.2616649,-0.3399779,-0.078313
9,-1.265351,-1.3740176,"('unaffectionate', 'caring')",0.8524612,0.79635334,1.1838374,1.1690727,0.2569825,0.1971362,-0.0598463
10,-1.9230143,-1.9368417,"('unsympathetic', 'sympathetic')",0.35725424,0.3256437,-0.27399608,-0.3065848,-0.613252,-0.639261,-0.026009
11,-0.9999559,-0.96427226,"('unhelpful', 'helpful')",0.96358186,1.1056501,1.4915669,1.6263025,0.4850643,0.5892268,0.1041625
12,-0.4332751,-0.44755995,"('unsupportive', 'supportive')",1.2255998,1.2098902,-1.5787792,-1.5745354,-0.2621515,-0.270735,-0.0085835
13,-0.35701707,-0.3665878,"('impolite', 'polite')",0.016750023,0.09424241,-0.43810755,-0.47928357,-0.2594582,-0.250543,0.0089152
14,-1.3415301,-1.3060285,"('antisocial', 'social')",0.82542384,0.88078487,-0.76437646,-0.77646494,-0.4268276,-0.4005695,0.0262581
15,0.32684407,0.29785925,"('boring', 'funny')",-0.5949192,-0.5901416,0.3294442,0.33249515,0.0204564,0.0134043,-0.0070521
16,0.0397293,-0.062258855,"('unpopular', 'popular')",0.01972362,-0.1544219,0.57713044,0.50018245,0.2121944,0.0945006,-0.1176938
17,-0.39309195,-0.23882361,"('nasty', 'nice')",-0.36428782,-0.2341837,-0.48285758,-0.3913948,-0.4134125,-0.288134,0.1252785
18,-0.113769874,-0.08433832,"('disagreeable', 'welcoming')",-0.6767663,-0.76825535,-0.344478,-0.33562398,-0.3783381,-0.3960725,-0.0177344
19,-0.86716074,-0.7172288,"('inhospitable', 'hospitable')",-1.4778197,-1.3723295,-0.20097098,-0.07789544,-0.8486505,-0.7224845,0.126166
20,-0.7198832,-0.6255788,"('rough', 'thoughtful')",0.06349896,0.07943301,1.1454469,1.1166712,0.1630209,0.1901751,0.0271542
21,-1.4387066,-1.4009196,"('immoral', 'moral')",1.24534,1.2477065,-0.60506743,-0.5530097,-0.2661447,-0.2354076,0.0307371
22,-0.09590488,-0.055478584,"('untrustworthy', 'trustworthy')",-0.048415713,-0.09313838,-0.8376732,-0.8364911,-0.3273313,-0.3283694,-0.0010381
23,-1.1457967,-1.2639287,"('insincere', 'sincere')",1.3482375,1.2942886,5.4552054,5.4021544,1.8858821,1.8108381,-0.075044
24,-0.25464144,-0.28218022,"('dishonest', 'honest')",0.6175834,0.574509,0.8101521,0.7807734,0.3910313,0.3577007,-0.0333306
25,0.16376011,0.071986035,"('egoistic', 'altruistic')",0.51561034,0.38416046,1.6050361,1.549104,0.7614689,0.6684168,-0.0930521
26,-0.45552072,-0.4974944,"('hardhearted', 'benevolent')",0.6702614,0.5789072,1.4696732,1.4468027,0.5614713,0.5094052,-0.0520661
