,kraft_male,kraft_female,tuple,heinz_male,heinz_female,co_male,co_female,average_male,average_female,female-male
0,-0.4496849,-0.54614794,"('unsociable', 'sociable')",-0.3595414,-0.39024618,0.20026298,0.118550345,-0.2029878,-0.2726146,-0.0696268
1,1.0526724,1.0383586,"('unfriendly', 'friendly')",1.910155,1.9091005,1.2440372,1.1194495,1.4022881,1.3556363,-0.0466518
2,0.216111,0.13306129,"('unlikable', 'likable')",0.37660053,0.32949188,0.73614454,0.8116225,0.442952,0.4247252,-0.0182268
3,-1.6268721,-1.5383307,"('repellent', 'pleasant')",-2.064826,-2.0232975,0.43194437,0.38477117,-1.0865846,-1.0589524,0.0276322
4,0.034691952,0.06801714,"('disliked', 'liked')",0.69336927,0.68339044,-7.4323645,-7.3766575,-2.2347678,-2.2084166,0.0263512
5,0.470194,0.4830582,"('distant', 'outgoing')",1.9210652,1.9335169,-1.1609997,-1.0977674,0.4100865,0.4396025,0.029516
6,0.10428159,0.18845148,"('distant', 'open')",1.5876002,1.6360843,-0.92362046,-0.8318285,0.2560871,0.3309025,0.0748154
7,-0.5079787,-0.4280766,"('insensitive', 'sensitive')",-0.5862113,-0.5004048,0.071204334,0.10912849,-0.3409952,-0.2731176,0.0678776
8,0.6994409,0.6671541,"('unaffectionate', 'affectionate')",2.0819426,2.0184467,0.27272516,0.22088632,1.0180362,0.968829,-0.0492072
9,1.1168481,1.1150788,"('unaffectionate', 'caring')",2.0636857,2.0494149,0.68534315,0.67940015,1.2886257,1.2812979,-0.0073278
10,-1.0087552,-0.9614657,"('unsympathetic', 'sympathetic')",-1.0247933,-0.9625937,0.098742455,0.054138485,-0.6449353,-0.6233069,0.0216284
11,-0.68478477,-0.6877271,"('unhelpful', 'helpful')",-0.2967046,-0.3060018,2.4152727,2.3837814,0.4779278,0.4633509,-0.0145769
12,0.2552188,0.36053562,"('unsupportive', 'supportive')",1.1070377,1.1729999,-1.9413443,-1.8640846,-0.1930292,-0.110183,0.0828462
13,0.0015357528,-0.05298698,"('impolite', 'polite')",-0.071081966,-0.05344839,0.21646109,0.22719055,0.0489716,0.0402517,-0.0087199
14,-0.38107243,-0.44420296,"('antisocial', 'social')",-0.9081964,-1.0156602,0.105187565,0.0119908005,-0.3946938,-0.4826241,-0.0879303
15,0.71425194,0.5995861,"('boring', 'funny')",1.800566,1.7476106,0.32331413,0.37793708,0.946044,0.9083779,-0.0376661
16,-0.17386925,-0.28384483,"('unpopular', 'popular')",-0.19787705,-0.24697047,0.18931754,0.0018189698,-0.0608096,-0.1763321,-0.1155225
17,-1.5793753,-1.5440104,"('nasty', 'nice')",-0.26194048,-0.17943886,-0.6471585,-0.5825666,-0.8294915,-0.768672,0.0608195
18,-0.22804481,-0.2585003,"('disagreeable', 'welcoming')",0.34690142,0.33622345,-1.0118642,-1.0585344,-0.2976692,-0.3269371,-0.0292679
19,-0.18027198,-0.14070736,"('inhospitable', 'hospitable')",0.39939332,0.38319874,-0.46570736,-0.42950344,-0.0821953,-0.0623374,0.0198579
20,-0.5345827,-0.5159673,"('rough', 'thoughtful')",-0.6562296,-0.6422069,0.42378548,0.40284497,-0.2556756,-0.2517764,0.0038992
21,-0.1980004,-0.20521346,"('immoral', 'moral')",-0.3802748,-0.3429385,-0.35844508,-0.35463828,-0.3122401,-0.3009301,0.01131
22,-0.28494447,-0.30540702,"('untrustworthy', 'trustworthy')",-0.9367519,-0.9682772,-0.98559266,-0.91960514,-0.735763,-0.7310964,0.0046666
23,-0.14431605,-0.18895058,"('insincere', 'sincere')",-0.27425605,-0.22579657,6.315663,6.149325,1.965697,1.9115259,-0.0541711
24,0.48933765,0.47285053,"('dishonest', 'honest')",0.7339754,0.76832014,0.83960044,0.84673256,0.6876378,0.6959678,0.00833
25,1.4871787,1.4762732,"('egoistic', 'altruistic')",1.9849976,1.9616435,1.2206607,1.186927,1.5642789,1.5416145,-0.0226644
