,paramount_male,paramount_female,tuple,global_male,global_female,average_male,average_female,female-male
0,0.0050398186,-0.028121835,"('unsociable', 'sociable')",-0.33181185,-0.3244879,-0.163386,-0.1763049,-0.0129189
1,0.74519,0.8145924,"('unfriendly', 'friendly')",2.0501144,1.9618376,1.3976521,1.3882151,-0.009437
2,0.8830069,0.96473587,"('unlikable', 'likable')",0.48024264,0.5568758,0.6816248,0.7608058,0.079181
3,-0.6874413,-0.6302068,"('repellent', 'pleasant')",0.24747346,0.32598612,-0.2199839,-0.1521104,0.0678735
4,-0.7422492,-0.7201517,"('disliked', 'liked')",-7.64598,-7.892255,-4.1941147,-4.3062034,-0.1120887
5,-0.5417076,-0.4046317,"('distant', 'outgoing')",0.011576422,0.021451723,-0.2650656,-0.19159,0.0734756
6,-0.68804485,-0.47838342,"('distant', 'open')",0.18324438,0.21587805,-0.2524002,-0.1312527,0.1211475
7,0.42130834,0.39602932,"('insensitive', 'sensitive')",0.7707693,0.8627734,0.5960388,0.6294014,0.0333626
8,0.8346672,0.95815843,"('unaffectionate', 'affectionate')",1.372672,1.3443794,1.1036696,1.151269,0.0475994
9,1.2527386,1.3741395,"('unaffectionate', 'caring')",1.8423343,1.8431071,1.5475364,1.6086233,0.0610869
10,0.3183071,0.3114652,"('unsympathetic', 'sympathetic')",-0.14843082,-0.05955903,0.0849381,0.1259531,0.041015
11,-0.1604378,-0.21483923,"('unhelpful', 'helpful')",1.9367758,1.9910263,0.888169,0.8880935,-7.55e-05
12,1.2940292,1.4463018,"('unsupportive', 'supportive')",-1.1667129,-1.1809162,0.0636582,0.1326928,0.0690346
13,-0.25102156,-0.41146743,"('impolite', 'polite')",-0.2548178,-0.17305283,-0.2529197,-0.2922601,-0.0393404
14,0.4905134,0.37091595,"('antisocial', 'social')",-0.15606679,-0.1673346,0.1672233,0.1017907,-0.0654326
15,1.373153,1.3321795,"('boring', 'funny')",0.30047885,0.24436373,0.8368159,0.7882717,-0.0485442
16,-0.97663176,-0.8622217,"('unpopular', 'popular')",-0.11341077,-0.06151279,-0.5450213,-0.4618672,0.0831541
17,-0.53804874,-0.43235755,"('nasty', 'nice')",-0.75773,-0.6694717,-0.6478894,-0.5509146,0.0969748
18,0.5043124,0.54576504,"('disagreeable', 'welcoming')",-0.14357111,-0.16087478,0.1803706,0.1924451,0.0120745
19,-0.24914157,-0.10933455,"('inhospitable', 'hospitable')",0.23289719,0.31071684,-0.0081222,0.1006911,0.1088133
20,0.35011303,0.3100164,"('rough', 'thoughtful')",0.4017451,0.3605648,0.3759291,0.3352906,-0.0406385
21,0.45176846,0.36545354,"('immoral', 'moral')",-0.7332986,-0.6262788,-0.1407651,-0.1304126,0.0103525
22,-0.087007925,-0.12879007,"('untrustworthy', 'trustworthy')",-0.7814994,-0.8040294,-0.4342537,-0.4664097,-0.032156
23,0.49755895,0.40874398,"('insincere', 'sincere')",6.990943,7.1066065,3.744251,3.7576752,0.0134242
24,0.55278546,0.5090253,"('dishonest', 'honest')",1.256047,1.2041878,0.9044162,0.8566065,-0.0478097
25,0.6237971,0.672356,"('egoistic', 'altruistic')",1.201065,1.1680263,0.912431,0.9201912,0.0077602
26,1.5949181,1.6070762,"('hardhearted', 'benevolent')",1.4677676,1.3769146,1.5313429,1.4919953,-0.0393476
27,0.87588656,0.8860714,"('hardhearted', 'softhearted')",1.4538883,1.3789732,1.1648874,1.1325223,-0.0323651
28,0.4041423,0.31774572,"('disloyal', 'loyal')",0.8979585,0.80713373,0.6510504,0.5624397,-0.0886107
29,-1.2854106,-1.3468132,"('unfair', 'fair')",-0.22738907,-0.31239358,-0.7563999,-0.8296034,-0.0732035
30,0.061118565,-0.002498962,"('intolerant', 'tolerant')",1.037238,1.039495,0.5491783,0.518498,-0.0306803
31,-0.9019082,-0.6557882,"('evil', 'good')",-1.0645802,-1.0788422,-0.9832442,-0.8673152,0.115929
32,0.51843965,0.3705074,"('unkind', 'kind')",0.9118607,0.85150075,0.7151502,0.6110041,-0.1041461
33,0.44462526,0.5072136,"('wrong', 'right')",0.48218232,0.36622024,0.4634038,0.4367169,-0.0266869
34,0.24993797,0.36032408,"('mean', 'honorable')",5.609201,5.81111,2.9295695,3.085717,0.1561475
35,-0.4577591,-0.5046299,"('corrupt', 'incorrupt')",-0.4363555,-0.57935566,-0.4470573,-0.5419928,-0.0949355
36,0.042133145,0.16281578,"('hostile', 'amicable')",-0.21401192,-0.3121907,-0.0859394,-0.0746875,0.0112519
37,0.44340062,0.42317188,"('fake', 'genuine')",0.7284432,0.67520714,0.5859219,0.5491895,-0.0367324
38,-0.027427703,0.061008554,"('untruthful', 'truthful')",0.6549477,0.6538619,0.31376,0.3574352,0.0436752
